time,value
0,262.4
3600,262.45
7200,262.07
10800,261.73
14400,262.21
18000,262.44
21600,261.87
25200,261.31
28800,263.2
32400,265.66
36000,267.8
39600,269.25
43200,270.06
46800,270.34
50400,269.95
54000,268.7
57600,267.38
61200,266.52
64800,265.41
68400,265.33
72000,264.69
75600,263.7
79200,262.41
82800,261.3
86400,260.48
90000,259.73
93600,259.12
97200,258.59
100800,258.18
104400,258.09
108000,258.19
111600,258.56
115200,260.7
118800,263.6
122400,265.91
126000,267.34
129600,268.42
133200,269.2
136800,269.7
140400,269.34
144000,267.62
147600,266.72
151200,266.05
154800,265.44
158400,265.05
162000,264.55
165600,263.76
169200,262.77
172800,261.7
176400,260.87
180000,260.26
183600,259.73
187200,259.47
190800,259.35
194400,259.17
198000,259.26
201600,261.93
205200,264.77
208800,268
212400,270.09
216000,271.45
219600,272.07
223200,271.93
226800,270.59
230400,266.92
234000,264.97
237600,263.55
241200,262.52
244800,261.98
248400,261.92
252000,261.72
255600,261.33
259200,261.05
262800,260.91
266400,260.73
270000,260.55
273600,260.44
277200,260.41
280800,260.31
284400,260.26
288000,261.91
291600,264.41
295200,266.97
298800,268.78
302400,270.38
306000,271.8
309600,272.52
313200,271.66
316800,269.14
320400,267.95
324000,266.76
327600,265.28
331200,263.89
334800,262.88
338400,262.1
342000,261.38
345600,260.83
349200,260.45
352800,260.28
356400,260.2
360000,260.12
363600,260.4
367200,260.78
370800,261.53
374400,263.64
378000,266.25
381600,268.81
385200,270.58
388800,272.35
392400,273.7
396000,274.13
399600,273.24
403200,271.3
406800,269.79
410400,268.45
414000,267.34
417600,266.48
421200,266.03
424800,265.91
428400,265.6
432000,264.64
435600,263.77
439200,263.07
442800,262.48
446400,262.23
450000,262.47
453600,263.23
457200,264.17
460800,265.77
464400,268.09
468000,270.66
471600,272.96
475200,274.55
478800,275.49
482400,275.55
486000,273.55
489600,270.92
493200,269.35
496800,267.97
500400,266.95
504000,266.42
507600,265.99
511200,265.36
514800,264.91
518400,264.53
522000,264.1
525600,263.63
529200,263.3
532800,263.27
536400,263.27
540000,263.2
543600,263.22
547200,264.8
550800,267.42
554400,270.41
558000,272.24
561600,273.62
565200,274.48
568800,274.53
572400,273.51
576000,271.88
579600,270.91
583200,270.24
586800,269.62
590400,268.78
594000,268.03
597600,267.29
