time,value
0,214197861.9
3600,203661340.2
7200,236498877.6
10800,217318755.1
14400,232610263.5
18000,224087872.6
21600,219129681.9
25200,216344292
28800,205151995.9
32400,218520619
36000,218872077
39600,224089916
43200,239780978.1
46800,234569684.8
50400,242489504.9
54000,225614126.3
57600,242751670.4
61200,223272077.3
64800,213242429.9
68400,231474210.7
72000,228136705.9
75600,227057823.4
79200,219665572
82800,221023118.6
86400,206856098.9
90000,214608893.9
93600,200366160.7
97200,246635061.2
100800,230462927.1
104400,244592284.7
108000,221041242
111600,220009067.2
115200,227696705.9
118800,229812971.9
122400,225313941.1
126000,229360481.4
129600,206641084.3
133200,238079899.1
136800,232557174.8
140400,217554493.4
144000,215629818.9
147600,213712526.3
151200,207476536.9
154800,216717283.8
158400,241651702.5
162000,211678788.1
165600,203462048.2
169200,224736358.5
172800,206107567.1
176400,220131063.3
180000,204560710.6
183600,236027404
187200,217117145.4
190800,228315244.3
194400,232725618.6
198000,232625057.7
201600,235042835.5
205200,215055224.3
208800,204273190.7
212400,231671785.3
216000,213321730.8
219600,244712589
223200,215013448.5
226800,235752846.3
230400,216517615.7
234000,218243663
237600,229617405.6
241200,245259273.4
244800,213226441.9
248400,247491294
252000,236936449
255600,200223057.4
259200,242536838
262800,234778609.4
266400,228121606.1
270000,216885805.7
273600,216639967.4
277200,203866139.4
280800,222915046.6
284400,232859503.3
288000,228597692.3
291600,220105432.2
295200,246735058.5
298800,218026711.6
302400,247385700.4
306000,201506178.9
309600,222054833.4
313200,235035457.5
316800,235149640.8
320400,225508327.7
324000,230612194.3
327600,237318447.2
331200,240071780.5
334800,216836248.9
338400,228204650.3
342000,242763303.5
345600,229457930.2
349200,225412059.8
352800,242671525
356400,234189917.1
360000,205316912.8
363600,225097841.5
367200,200958333.3
370800,222130469.2
374400,245358771.6
378000,202233481.2
381600,247259540.2
385200,209019018
388800,218495407.3
392400,210261954.1
396000,204779292.2
399600,221637046.7
403200,213878047.1
406800,205042910.5
410400,224946022.7
414000,211951703.7
417600,217480066.6
421200,227913114.5
424800,227403345.6
428400,221063696.5
432000,219274983.3
435600,219033189
439200,214036418.1
442800,208995619.2
446400,206364201.2
450000,200784511.2
453600,237654398.5
457200,225247759.4
460800,236105512
464400,238055040.3
468000,213447444
471600,209681099.1
475200,203207439.5
478800,221268715.9
482400,235107349.5
486000,248866032.3
489600,227579136.6
493200,202190338.8
496800,229107438.5
500400,213918786.7
504000,227109712.5
507600,222166044.7
511200,205860271.5
514800,218997061
518400,238241644.3
522000,245918414.6
525600,234634952.8
529200,248531212.2
532800,206308248.3
536400,232320694.3
540000,219342497.8
543600,228117229.5
547200,209917529.2
550800,219696315.8
554400,217012113
558000,217823888.5
561600,218651994.5
565200,205768211.6
568800,225060487.9
572400,240845641
576000,217175349.7
579600,224926809.8
583200,205901199.1
586800,228775833.7
590400,225773212.3
594000,217763834
597600,243167446.6
601200,217200749.1
604800,222844069.1
608400,211904445.6
612000,238558154
615600,213670226.1
619200,226250105.6
622800,226555672.9
626400,243669209.3
630000,246880651.7
633600,202435874
637200,248942245.7
640800,231616293.2
644400,203631690.6
648000,210591200.6
651600,217994361.2
655200,221334064
658800,237907268.7
662400,245787538.3
666000,231487007.5
669600,247795455.6
673200,237755921.9
676800,226305558.6
680400,242505549.9
684000,240801546.2
687600,206606523.5
691200,238036208.4
694800,230861623.4
698400,219882360.9
702000,242063599.2
705600,201915985.4
709200,204810296.4
712800,247405111.8
716400,219800780.7
720000,226613104.9
723600,245182123.9
727200,217001762.1
730800,233194782.2
734400,236368053.3
738000,211150680
741600,227772701.6
745200,222761633.5
748800,230513226.9
752400,227199501.9
756000,225917816.9
759600,214302387.3
763200,243950808.2
766800,246827151.8
770400,240310464.1
774000,248454246.4
777600,226211746.1
781200,205643446.8
784800,232511721.9
788400,209544298.4
792000,242846791.8
795600,247142653.6
799200,205172345
802800,214821947.4
806400,239951701.5
810000,222085738
813600,224626028.1
817200,201475808.6
820800,228632169.3
824400,228623108.3
828000,237084568.4
831600,203830278.1
835200,239358323.3
838800,209674749.7
842400,226546385.2
846000,246206489.1
849600,249302823.2
853200,248764669.9
856800,215238442.8
860400,237681920.4
864000,210317755.8
867600,243069035.7
871200,232892208.2
874800,205110287.8
878400,229023240.2
882000,248174414
885600,242243632.5
889200,237655344.9
892800,235152490.6
896400,212331182.5
900000,201997074.8
903600,223105659
907200,205868690.6
910800,208080998.7
914400,220987792
918000,233305767.7
921600,248657719.7
925200,213982521.8
928800,226569648.3
932400,246534632.9
936000,208333120.3
939600,239462486.7
943200,205148267.4
946800,244181134.8
950400,226111880.7
954000,248706320.8
957600,237805209.7
961200,236128503.7
964800,200130059.4
968400,210280686.4
972000,213018459.4
975600,203997735.2
979200,236766386.7
982800,241132533.8
986400,217169531.8
990000,206806905
993600,233294471.3
997200,241522057
1.0008e+06,233681043.5
1.0044e+06,206972954.9
1.008e+06,218941344.2
1.0116e+06,233918147.1
1.0152e+06,225796254.6
1.0188e+06,248902768.7
1.0224e+06,213386234.9
1.026e+06,243345525
1.0296e+06,218687743.4
1.0332e+06,206831517.1
1.0368e+06,204134577.3
1.0404e+06,236941184.3
1.044e+06,218603390.2
1.0476e+06,219025815
1.0512e+06,215108688.2
