time,buy_yuan_per_kwh,sell_yuan_per_kwh
0,0.634570,0.187500
3600,0.634570,0.187500
7200,0.283590,0.187500
10800,0.283590,0.187500
14400,0.283590,0.187500
18000,0.283590,0.187500
21600,0.634570,0.187500
25200,0.985550,0.187500
28800,0.985550,0.187500
32400,0.634570,0.187500
36000,0.283590,0.187500
39600,0.183310,0.187500
43200,0.183310,0.187500
46800,0.183310,0.187500
50400,0.283590,0.187500
54000,0.634570,0.187500
57600,1.135970,0.187500
61200,1.135970,0.187500
64800,1.135970,0.187500
68400,0.985550,0.187500
72000,0.985550,0.187500
75600,0.634570,0.187500
79200,0.634570,0.187500
82800,0.634570,0.187500
86400,0.634570,0.187500
90000,0.634570,0.187500
93600,0.283590,0.187500
97200,0.283590,0.187500
100800,0.283590,0.187500
104400,0.283590,0.187500
108000,0.634570,0.187500
111600,0.985550,0.187500
115200,0.985550,0.187500
118800,0.634570,0.187500
122400,0.283590,0.187500
126000,0.183310,0.187500
129600,0.183310,0.187500
133200,0.183310,0.187500
136800,0.283590,0.187500
140400,0.634570,0.187500
144000,1.135970,0.187500
147600,1.135970,0.187500
151200,1.135970,0.187500
154800,0.985550,0.187500
158400,0.985550,0.187500
162000,0.634570,0.187500
165600,0.634570,0.187500
169200,0.634570,0.187500
172800,0.634570,0.187500
176400,0.634570,0.187500
180000,0.283590,0.187500
183600,0.283590,0.187500
187200,0.283590,0.187500
190800,0.283590,0.187500
194400,0.634570,0.187500
198000,0.985550,0.187500
201600,0.985550,0.187500
205200,0.634570,0.187500
208800,0.283590,0.187500
212400,0.183310,0.187500
216000,0.183310,0.187500
219600,0.183310,0.187500
223200,0.283590,0.187500
226800,0.634570,0.187500
230400,1.135970,0.187500
234000,1.135970,0.187500
237600,1.135970,0.187500
241200,0.985550,0.187500
244800,0.985550,0.187500
248400,0.634570,0.187500
252000,0.634570,0.187500
255600,0.634570,0.187500
259200,0.634570,0.187500
262800,0.634570,0.187500
266400,0.283590,0.187500
270000,0.283590,0.187500
273600,0.283590,0.187500
277200,0.283590,0.187500
280800,0.634570,0.187500
284400,0.985550,0.187500
288000,0.985550,0.187500
291600,0.634570,0.187500
295200,0.283590,0.187500
298800,0.183310,0.187500
302400,0.183310,0.187500
306000,0.183310,0.187500
309600,0.283590,0.187500
313200,0.634570,0.187500
316800,1.135970,0.187500
320400,1.135970,0.187500
324000,1.135970,0.187500
327600,0.985550,0.187500
331200,0.985550,0.187500
334800,0.634570,0.187500
338400,0.634570,0.187500
342000,0.634570,0.187500
345600,0.634570,0.187500
349200,0.634570,0.187500
352800,0.283590,0.187500
356400,0.283590,0.187500
360000,0.283590,0.187500
363600,0.283590,0.187500
367200,0.634570,0.187500
370800,0.985550,0.187500
374400,0.985550,0.187500
378000,0.634570,0.187500
381600,0.283590,0.187500
385200,0.183310,0.187500
388800,0.183310,0.187500
392400,0.183310,0.187500
396000,0.283590,0.187500
399600,0.634570,0.187500
403200,1.135970,0.187500
406800,1.135970,0.187500
410400,1.135970,0.187500
414000,0.985550,0.187500
417600,0.985550,0.187500
421200,0.634570,0.187500
424800,0.634570,0.187500
428400,0.634570,0.187500
432000,0.634570,0.187500
435600,0.634570,0.187500
439200,0.283590,0.187500
442800,0.283590,0.187500
446400,0.283590,0.187500
450000,0.283590,0.187500
453600,0.634570,0.187500
457200,0.985550,0.187500
460800,0.985550,0.187500
464400,0.634570,0.187500
468000,0.283590,0.187500
471600,0.183310,0.187500
475200,0.183310,0.187500
478800,0.183310,0.187500
482400,0.283590,0.187500
486000,0.634570,0.187500
489600,1.135970,0.187500
493200,1.135970,0.187500
496800,1.135970,0.187500
500400,0.985550,0.187500
504000,0.985550,0.187500
507600,0.634570,0.187500
511200,0.634570,0.187500
514800,0.634570,0.187500
518400,0.634570,0.187500
522000,0.634570,0.187500
525600,0.283590,0.187500
529200,0.283590,0.187500
532800,0.283590,0.187500
536400,0.283590,0.187500
540000,0.634570,0.187500
543600,0.985550,0.187500
547200,0.985550,0.187500
550800,0.634570,0.187500
554400,0.283590,0.187500
558000,0.183310,0.187500
561600,0.183310,0.187500
565200,0.183310,0.187500
568800,0.283590,0.187500
572400,0.634570,0.187500
576000,1.135970,0.187500
579600,1.135970,0.187500
583200,1.135970,0.187500
586800,0.985550,0.187500
590400,0.985550,0.187500
594000,0.634570,0.187500
597600,0.634570,0.187500
601200,0.634570,0.187500
604800,0.607908,0.097160
608400,0.571814,0.078957
612000,0.201575,0.102775
615600,0.198034,0.123740
619200,0.197494,0.103980
622800,0.187602,0.115303
626400,0.513316,0.125853
630000,0.848815,0.144350
633600,0.886006,0.165458
637200,0.586589,0.161391
640800,0.261180,0.167866
644400,0.159389,0.139389
648000,0.138614,0.118614
651600,0.141451,0.121451
655200,0.235365,0.130126
658800,0.571410,0.132401
662400,1.114561,0.159702
666000,1.144940,0.097797
669600,1.227239,0.138186
673200,1.090409,0.196971
676800,1.024093,0.202157
680400,0.586841,0.242609
684000,0.654138,0.222031
687600,0.718465,0.193011
691200,0.675417,0.148826
694800,0.665614,0.146638
698400,0.353317,0.163137
702000,0.302794,0.166980
705600,0.282384,0.165886
709200,0.261706,0.158389
712800,0.574928,0.126549
716400,0.941780,0.164768
720000,0.923020,0.194473
723600,0.585372,0.177824
727200,0.294195,0.174696
730800,0.181897,0.149193
734400,0.191957,0.148132
738000,0.162256,0.142256
741600,0.242578,0.133080
745200,0.573859,0.117509
748800,1.033950,0.148449
752400,0.991160,0.120347
756000,0.983410,0.102516
759600,0.893850,0.107131
763200,0.835117,0.105925
766800,0.510742,0.147431
770400,0.528462,0.142576
774000,0.536716,0.173541
777600,0.597157,0.193503
781200,0.616472,0.208964
784800,0.288823,0.164246
788400,0.282950,0.157486
792000,0.240008,0.139268
795600,0.243926,0.183274
799200,0.617488,0.200151
802800,0.947648,0.208511
806400,0.885317,0.188992
810000,0.549248,0.227642
813600,0.204893,0.184893
817200,0.162401,0.142401
820800,0.168767,0.148767
824400,0.154939,0.134939
828000,0.250676,0.139098
831600,0.578154,0.150792
835200,1.039515,0.119591
838800,1.067524,0.108637
842400,1.120782,0.103998
846000,0.927560,0.098895
849600,0.918976,0.107928
853200,0.495331,0.132466
856800,0.522480,0.151332
860400,0.486348,0.136053
864000,0.489348,0.165507
867600,0.459607,0.180201
871200,0.137626,0.117626
874800,0.114868,0.094868
878400,0.077405,0.057405
882000,0.148687,0.128687
885600,0.506063,0.152914
889200,0.853306,0.158223
892800,0.957375,0.168598
896400,0.738208,0.158980
900000,0.324398,0.142848
903600,0.180969,0.115049
907200,0.175359,0.106234
910800,0.177549,0.098179
914400,0.241228,0.089403
918000,0.580686,0.094066
921600,1.110733,0.111712
925200,1.146967,0.096985
928800,1.109199,0.127224
932400,0.946200,0.067780
936000,0.904811,0.116423
939600,0.528702,0.119330
943200,0.541633,0.142144
946800,0.536473,0.110524
950400,0.541185,0.131734
954000,0.552958,0.125117
957600,0.258724,0.174662
961200,0.269118,0.199289
964800,0.280276,0.202078
968400,0.249057,0.152613
972000,0.577564,0.139932
975600,0.889900,0.156645
979200,0.886639,0.160647
982800,0.543716,0.187629
986400,0.274583,0.194092
990000,0.198556,0.170638
993600,0.179339,0.144120
997200,0.167312,0.146152
1000800,0.259424,0.157717
1004400,0.638190,0.158153
1008000,1.119250,0.122034
1011600,1.126524,0.117930
1015200,1.031044,0.091400
1018800,0.932968,0.072035
1022400,0.977305,0.100352
1026000,0.559433,0.129592
1029600,0.562663,0.163176
1033200,0.565141,0.161184
1036800,0.548385,0.157728
1040400,0.534180,0.130357
1044000,0.195655,0.147089
1047600,0.186568,0.150084
1051200,0.188557,0.143466
1054800,0.219405,0.118711
1058400,0.501706,0.116965
1062000,0.845840,0.105410
1065600,0.865654,0.113812
1069200,0.559384,0.113673
1072800,0.196886,0.130705
1076400,0.083556,0.063556
1080000,0.080013,0.060013
1083600,0.133117,0.113117
1087200,0.225096,0.141008
1090800,0.612426,0.152666
1094400,1.103838,0.146597
1098000,1.072417,0.175390
1101600,1.007401,0.206915
1105200,0.849599,0.182025
1108800,0.894478,0.189513
1112400,0.555885,0.143941
1116000,0.611708,0.104867
1119600,0.670315,0.115771
1123200,0.675573,0.131026
1126800,0.724111,0.164461
1130400,0.359903,0.139698
1134000,0.376715,0.149747
1137600,0.345651,0.154844
1141200,0.344408,0.151969
1144800,0.638150,0.129112
1148400,0.990100,0.116865
1152000,0.932863,0.134575
1155600,0.603179,0.142785
1159200,0.220101,0.115166
1162800,0.138964,0.101841
1166400,0.140917,0.106123
1170000,0.161522,0.088358
1173600,0.254161,0.081475
1177200,0.554651,0.083736
1180800,1.057570,0.113074
1184400,0.996484,0.124872
1188000,0.958506,0.165418
1191600,0.920965,0.145401
1195200,0.932760,0.156830
1198800,0.536386,0.132498
1202400,0.507864,0.157789
1206000,0.528093,0.154322
1209600,0.477928,0.117442
1213200,0.494733,0.136413
1216800,0.160636,0.140636
1220400,0.175947,0.112443
1224000,0.204354,0.116528
1227600,0.143128,0.101651
1231200,0.522119,0.135367
1234800,0.908756,0.139054
1238400,0.939970,0.139007
1242000,0.655897,0.130974
1245600,0.216268,0.124014
1249200,0.092014,0.072014
1252800,0.106022,0.086022
1256400,0.064200,0.044200
1260000,0.184595,0.095790
1263600,0.554940,0.115443
1267200,1.070181,0.093940
1270800,1.023659,0.083755
1274400,1.079579,0.125417
1278000,0.993287,0.110009
1281600,1.001607,0.087189
1285200,0.675193,0.138933
1288800,0.681552,0.125365
1292400,0.629490,0.128480
1296000,0.615595,0.130654
1299600,0.598434,0.100902
1303200,0.274960,0.138873
1306800,0.304358,0.166484
1310400,0.255509,0.161108
1314000,0.253837,0.155778
1317600,0.651547,0.153441
1321200,0.971583,0.133854
1324800,0.921310,0.127603
1328400,0.563578,0.126464
1332000,0.240722,0.141593
1335600,0.129878,0.109878
1339200,0.168274,0.148274
1342800,0.172602,0.140237
1346400,0.299420,0.169203
1350000,0.658550,0.156178
1353600,1.224907,0.181133
1357200,1.206561,0.180486
1360800,1.089341,0.192902
1364400,1.031305,0.223578
1368000,0.978293,0.206842
1371600,0.635991,0.186273
1375200,0.670234,0.159658
1378800,0.591265,0.151857
1382400,0.542994,0.128067
1386000,0.540725,0.143776
1389600,0.168794,0.148794
1393200,0.175787,0.153632
1396800,0.188238,0.147133
1400400,0.185949,0.135717
1404000,0.503471,0.126491
1407600,0.781428,0.105849
1411200,0.821962,0.128349
1414800,0.464778,0.135904
1418400,0.123402,0.103402
1422000,0.050000,0.030000
1425600,0.076066,0.056066
1429200,0.089813,0.069813
1432800,0.215498,0.110606
1436400,0.584868,0.116682
1440000,1.050542,0.107927
1443600,1.041638,0.122277
1447200,1.047713,0.099014
1450800,0.957487,0.117924
1454400,0.952402,0.146715
1458000,0.619820,0.173448
1461600,0.594809,0.172369
1465200,0.572036,0.148415
1468800,0.590874,0.120151
1472400,0.522933,0.135615
1476000,0.149276,0.129276
1479600,0.131224,0.111224
1483200,0.077910,0.057910
1486800,0.064757,0.044757
1490400,0.443883,0.091715
1494000,0.820183,0.115967
1497600,0.831856,0.122811
1501200,0.543009,0.107903
1504800,0.261382,0.135705
1508400,0.178943,0.143789
1512000,0.199786,0.143793
1515600,0.207103,0.166622
1519200,0.297521,0.173982
1522800,0.635222,0.179206
1526400,1.088147,0.155587
1530000,1.020111,0.172556
1533600,1.008057,0.138160
1537200,0.910673,0.205163
1540800,1.008003,0.216247
1544400,0.564701,0.191847
1548000,0.566689,0.179929
1551600,0.556610,0.192283
1555200,0.591809,0.188356
1558800,0.576895,0.188486
1562400,0.170475,0.150475
1566000,0.211278,0.172795
1569600,0.186508,0.150752
1573200,0.183310,0.158493
1576800,0.490652,0.132934
1580400,0.833541,0.150244
1584000,0.866509,0.161908
1587600,0.530710,0.183780
1591200,0.181872,0.153032
1594800,0.112759,0.092759
1598400,0.157253,0.137253
1602000,0.142350,0.122350
1605600,0.222639,0.169451
1609200,0.596118,0.165157
1612800,1.080427,0.153745
1616400,1.126627,0.154565
1620000,1.132415,0.161105
1623600,0.945905,0.135467
1627200,0.951697,0.154988
1630800,0.673067,0.130627
1634400,0.732244,0.129810
1638000,0.724972,0.138556
1641600,0.690105,0.133774
1645200,0.727140,0.173613
1648800,0.345243,0.193088
1652400,0.350615,0.193194
1656000,0.329221,0.160828
1659600,0.324825,0.174246
1663200,0.637474,0.148996
1666800,0.918686,0.142959
1670400,0.805697,0.123210
1674000,0.438683,0.156506
1677600,0.071880,0.051880
1681200,0.050000,0.030000
1684800,0.050000,0.030000
1688400,0.062383,0.042383
1692000,0.182891,0.134417
1695600,0.567261,0.165911
1699200,1.036726,0.161698
1702800,1.032904,0.145955
1706400,1.045955,0.120214
1710000,0.928169,0.108634
1713600,0.930299,0.133463
1717200,0.644098,0.162403
1720800,0.625363,0.189937
1724400,0.604125,0.161015
1728000,0.703952,0.175241
1731600,0.686527,0.141589
1735200,0.360552,0.156038
1738800,0.358833,0.163749
1742400,0.343892,0.149038
1746000,0.318090,0.137367
1749600,0.627477,0.105966
1753200,0.947498,0.139950
1756800,0.968571,0.165899
1760400,0.563491,0.178309
1764000,0.224784,0.165449
1767600,0.158740,0.138740
1771200,0.184472,0.164472
1774800,0.183338,0.163338
1778400,0.264185,0.150485
1782000,0.600562,0.137072
1785600,1.130039,0.133659
1789200,1.019869,0.130077
1792800,0.987778,0.117345
1796400,0.733670,0.103503
1800000,0.715225,0.114708
1803600,0.457216,0.143948
1807200,0.529604,0.135465
1810800,0.509512,0.119962
1814400,0.453967,0.128297
1818000,0.392498,0.109929
1821600,0.050000,0.030000
1825200,0.114439,0.094439
1828800,0.161383,0.141383
1832400,0.177854,0.157854
1836000,0.545444,0.138426
1839600,0.865251,0.157863
1843200,0.853800,0.166499
1846800,0.508648,0.156434
1850400,0.154909,0.134909
1854000,0.059788,0.039788
1857600,0.094283,0.074283
1861200,0.121265,0.101265
1864800,0.203877,0.153417
1868400,0.577887,0.156218
1872000,1.141907,0.175331
1875600,1.071774,0.166118
1879200,1.008516,0.131775
1882800,0.946084,0.164676
1886400,0.951353,0.191546
1890000,0.669099,0.226545
1893600,0.654208,0.216931
1897200,0.704451,0.232420
1900800,0.695005,0.211842
1904400,0.683831,0.202018
1908000,0.347461,0.149890
1911600,0.326375,0.152918
1915200,0.271397,0.145386
1918800,0.236927,0.118614
