time,buy_yuan_per_kwh,sell_yuan_per_kwh
0,0.648024,0.195962
3600,0.570730,0.188035
7200,0.256041,0.196369
10800,0.269211,0.155837
14400,0.217778,0.162675
18000,0.182008,0.158112
21600,0.538212,0.135001
25200,0.867469,0.077916
28800,0.852350,0.059866
32400,0.471371,0.024196
36000,0.154058,0.030272
39600,0.079586,0.043884
43200,0.106104,0.086104
46800,0.143619,0.123619
50400,0.275830,0.159799
54000,0.586252,0.166021
57600,1.134651,0.173408
61200,1.055650,0.154537
64800,1.108759,0.117012
68400,0.959302,0.149480
72000,0.948562,0.189378
75600,0.570273,0.176519
79200,0.614335,0.161293
82800,0.598333,0.166280
86400,0.549144,0.152464
90000,0.526177,0.164763
93600,0.167585,0.147585
97200,0.211930,0.187799
100800,0.231553,0.194237
104400,0.265683,0.223465
108000,0.691034,0.187994
111600,0.995566,0.194475
115200,0.959378,0.189615
118800,0.576311,0.202723
122400,0.242460,0.189369
126000,0.166924,0.146924
129600,0.135852,0.115852
133200,0.132620,0.112620
136800,0.217247,0.179882
140400,0.586039,0.175431
144000,1.127762,0.127233
147600,1.145330,0.112684
151200,1.065761,0.137591
154800,0.919706,0.169730
158400,0.946853,0.207381
162000,0.585216,0.168968
165600,0.592413,0.152608
169200,0.598130,0.167899
172800,0.602876,0.148459
176400,0.595862,0.139528
180000,0.225640,0.122301
183600,0.256602,0.154808
187200,0.201764,0.144565
190800,0.200431,0.126059
194400,0.545703,0.131619
198000,0.874748,0.167788
201600,0.879373,0.169618
205200,0.583559,0.144347
208800,0.182499,0.109010
212400,0.116117,0.096117
216000,0.069902,0.049902
219600,0.095224,0.075224
223200,0.192666,0.103531
226800,0.584997,0.093123
230400,1.126237,0.035120
234000,1.168083,0.054406
237600,1.135064,0.071390
241200,0.974552,0.081589
244800,1.001497,0.107917
248400,0.658813,0.161491
252000,0.609832,0.187420
255600,0.529866,0.154086
259200,0.521614,0.131180
262800,0.561602,0.160003
266400,0.220730,0.169840
270000,0.231193,0.148192
273600,0.208495,0.121024
277200,0.190286,0.109868
280800,0.569216,0.110511
284400,0.913532,0.173817
288000,0.945660,0.142781
291600,0.559748,0.129539
295200,0.227323,0.152917
298800,0.110917,0.090917
302400,0.116136,0.096136
306000,0.099209,0.079209
309600,0.186860,0.113583
313200,0.556316,0.070908
316800,1.107671,0.095167
320400,1.136107,0.115698
324000,1.182156,0.136144
327600,1.025497,0.122866
331200,1.005306,0.163100
334800,0.629815,0.190416
338400,0.558310,0.211925
342000,0.524598,0.197556
345600,0.516542,0.188336
349200,0.491019,0.167473
352800,0.190126,0.170126
356400,0.185981,0.165981
360000,0.162597,0.142597
363600,0.213410,0.178895
367200,0.528003,0.161825
370800,0.928996,0.152803
374400,0.905780,0.213534
