time,band,buy_da,sell_da,buy_realized,sell_realized,eps_buy,eps_sell
0,F,0.634570,0.187500,0.648024,0.195962,0.013454,0.008462
3600,F,0.634570,0.187500,0.570730,0.188035,-0.063840,0.000535
7200,V,0.283590,0.187500,0.256041,0.196369,-0.027549,0.008869
10800,V,0.283590,0.187500,0.269211,0.155837,-0.014379,-0.031663
14400,V,0.283590,0.187500,0.217778,0.162675,-0.065812,-0.024825
18000,V,0.283590,0.187500,0.182008,0.158112,-0.101582,-0.029388
21600,F,0.634570,0.187500,0.538212,0.135001,-0.096358,-0.052499
25200,P,0.985550,0.187500,0.867469,0.077916,-0.118081,-0.109584
28800,P,0.985550,0.187500,0.852350,0.059866,-0.133200,-0.127634
32400,F,0.634570,0.187500,0.471371,0.024196,-0.163199,-0.163304
36000,V,0.283590,0.187500,0.154058,0.030272,-0.129532,-0.157228
39600,D,0.183310,0.187500,0.079586,0.043884,-0.103724,-0.143616
43200,D,0.183310,0.187500,0.106104,0.086104,-0.077206,-0.088680
46800,D,0.183310,0.187500,0.143619,0.123619,-0.039691,-0.061672
50400,V,0.283590,0.187500,0.275830,0.159799,-0.007760,-0.027701
54000,F,0.634570,0.187500,0.586252,0.166021,-0.048318,-0.021479
57600,S,1.135970,0.187500,1.134651,0.173408,-0.001319,-0.014092
61200,S,1.135970,0.187500,1.055650,0.154537,-0.080320,-0.032963
64800,S,1.135970,0.187500,1.108759,0.117012,-0.027211,-0.070488
68400,P,0.985550,0.187500,0.959302,0.149480,-0.026248,-0.038020
72000,P,0.985550,0.187500,0.948562,0.189378,-0.036988,0.001878
75600,F,0.634570,0.187500,0.570273,0.176519,-0.064297,-0.010981
79200,F,0.634570,0.187500,0.614335,0.161293,-0.020235,-0.026207
82800,F,0.634570,0.187500,0.598333,0.166280,-0.036237,-0.021220
86400,F,0.634570,0.187500,0.549144,0.152464,-0.085426,-0.035036
90000,F,0.634570,0.187500,0.526177,0.164763,-0.108393,-0.022737
93600,V,0.283590,0.187500,0.167585,0.147585,-0.116005,-0.029111
97200,V,0.283590,0.187500,0.211930,0.187799,-0.071660,0.000299
100800,V,0.283590,0.187500,0.231553,0.194237,-0.052037,0.006737
104400,V,0.283590,0.187500,0.265683,0.223465,-0.017907,0.035965
108000,F,0.634570,0.187500,0.691034,0.187994,0.056464,0.000494
111600,P,0.985550,0.187500,0.995566,0.194475,0.010016,0.006975
115200,P,0.985550,0.187500,0.959378,0.189615,-0.026172,0.002115
118800,F,0.634570,0.187500,0.576311,0.202723,-0.058259,0.015223
122400,V,0.283590,0.187500,0.242460,0.189369,-0.041130,0.001869
126000,D,0.183310,0.187500,0.166924,0.146924,-0.016386,-0.003420
129600,D,0.183310,0.187500,0.135852,0.115852,-0.047458,-0.041901
133200,D,0.183310,0.187500,0.132620,0.112620,-0.050690,-0.018717
136800,V,0.283590,0.187500,0.217247,0.179882,-0.066343,-0.007618
140400,F,0.634570,0.187500,0.586039,0.175431,-0.048531,-0.012069
144000,S,1.135970,0.187500,1.127762,0.127233,-0.008208,-0.060267
147600,S,1.135970,0.187500,1.145330,0.112684,0.009360,-0.074816
151200,S,1.135970,0.187500,1.065761,0.137591,-0.070209,-0.049909
154800,P,0.985550,0.187500,0.919706,0.169730,-0.065844,-0.017770
158400,P,0.985550,0.187500,0.946853,0.207381,-0.038697,0.019881
162000,F,0.634570,0.187500,0.585216,0.168968,-0.049354,-0.018532
165600,F,0.634570,0.187500,0.592413,0.152608,-0.042157,-0.034892
169200,F,0.634570,0.187500,0.598130,0.167899,-0.036440,-0.019601
172800,F,0.634570,0.187500,0.602876,0.148459,-0.031694,-0.039041
176400,F,0.634570,0.187500,0.595862,0.139528,-0.038708,-0.047972
180000,V,0.283590,0.187500,0.225640,0.122301,-0.057950,-0.065199
183600,V,0.283590,0.187500,0.256602,0.154808,-0.026988,-0.032692
187200,V,0.283590,0.187500,0.201764,0.144565,-0.081826,-0.042935
190800,V,0.283590,0.187500,0.200431,0.126059,-0.083159,-0.061441
194400,F,0.634570,0.187500,0.545703,0.131619,-0.088867,-0.055881
198000,P,0.985550,0.187500,0.874748,0.167788,-0.110802,-0.019712
201600,P,0.985550,0.187500,0.879373,0.169618,-0.106177,-0.017882
205200,F,0.634570,0.187500,0.583559,0.144347,-0.051011,-0.043153
208800,V,0.283590,0.187500,0.182499,0.109010,-0.101091,-0.078490
212400,D,0.183310,0.187500,0.116117,0.096117,-0.067193,-0.070872
216000,D,0.183310,0.187500,0.069902,0.049902,-0.113408,-0.084816
219600,D,0.183310,0.187500,0.095224,0.075224,-0.088086,-0.052257
223200,V,0.283590,0.187500,0.192666,0.103531,-0.090924,-0.083969
226800,F,0.634570,0.187500,0.584997,0.093123,-0.049573,-0.094377
230400,S,1.135970,0.187500,1.126237,0.035120,-0.009733,-0.152380
234000,S,1.135970,0.187500,1.168083,0.054406,0.032113,-0.133094
237600,S,1.135970,0.187500,1.135064,0.071390,-0.000906,-0.116110
241200,P,0.985550,0.187500,0.974552,0.081589,-0.010998,-0.105911
244800,P,0.985550,0.187500,1.001497,0.107917,0.015947,-0.079583
248400,F,0.634570,0.187500,0.658813,0.161491,0.024243,-0.026009
252000,F,0.634570,0.187500,0.609832,0.187420,-0.024738,-0.000080
255600,F,0.634570,0.187500,0.529866,0.154086,-0.104704,-0.033414
259200,F,0.634570,0.187500,0.521614,0.131180,-0.112956,-0.056320
262800,F,0.634570,0.187500,0.561602,0.160003,-0.072968,-0.027497
266400,V,0.283590,0.187500,0.220730,0.169840,-0.062860,-0.017660
270000,V,0.283590,0.187500,0.231193,0.148192,-0.052397,-0.039308
273600,V,0.283590,0.187500,0.208495,0.121024,-0.075095,-0.066476
277200,V,0.283590,0.187500,0.190286,0.109868,-0.093304,-0.077632
280800,F,0.634570,0.187500,0.569216,0.110511,-0.065354,-0.076989
284400,P,0.985550,0.187500,0.913532,0.173817,-0.072018,-0.013683
288000,P,0.985550,0.187500,0.945660,0.142781,-0.039890,-0.044719
291600,F,0.634570,0.187500,0.559748,0.129539,-0.074822,-0.057961
295200,V,0.283590,0.187500,0.227323,0.152917,-0.056267,-0.034583
298800,D,0.183310,0.187500,0.110917,0.090917,-0.072393,-0.048461
302400,D,0.183310,0.187500,0.116136,0.096136,-0.067174,-0.025589
306000,D,0.183310,0.187500,0.099209,0.079209,-0.084101,-0.061635
309600,V,0.283590,0.187500,0.186860,0.113583,-0.096730,-0.073917
313200,F,0.634570,0.187500,0.556316,0.070908,-0.078254,-0.116592
316800,S,1.135970,0.187500,1.107671,0.095167,-0.028299,-0.092333
320400,S,1.135970,0.187500,1.136107,0.115698,0.000137,-0.071802
324000,S,1.135970,0.187500,1.182156,0.136144,0.046186,-0.051356
327600,P,0.985550,0.187500,1.025497,0.122866,0.039947,-0.064634
331200,P,0.985550,0.187500,1.005306,0.163100,0.019756,-0.024400
334800,F,0.634570,0.187500,0.629815,0.190416,-0.004755,0.002916
338400,F,0.634570,0.187500,0.558310,0.211925,-0.076260,0.024425
342000,F,0.634570,0.187500,0.524598,0.197556,-0.109972,0.010056
345600,F,0.634570,0.187500,0.516542,0.188336,-0.118028,0.000836
349200,F,0.634570,0.187500,0.491019,0.167473,-0.143551,-0.020027
352800,V,0.283590,0.187500,0.190126,0.170126,-0.093464,0.007233
356400,V,0.283590,0.187500,0.185981,0.165981,-0.097609,0.009390
360000,V,0.283590,0.187500,0.162597,0.142597,-0.120993,-0.023592
363600,V,0.283590,0.187500,0.213410,0.178895,-0.070180,-0.008605
367200,F,0.634570,0.187500,0.528003,0.161825,-0.106567,-0.025675
370800,P,0.985550,0.187500,0.928996,0.152803,-0.056554,-0.034697
374400,P,0.985550,0.187500,0.905780,0.213534,-0.079770,0.026034
378000,F,0.634570,0.187500,0.527414,0.152768,-0.107156,-0.034732
381600,V,0.283590,0.187500,0.188769,0.168769,-0.094821,0.004892
