year,month,voltage,tariff,band_S,band_P,band_F,band_V,band_D,energy_avg,td_energy,evidence_grade,source_pdf,source_url,notes
2025,9,110kV,two-part,1.02226875,0.91726875,0.58276675,0.24816875,0.17826875,0.58276675,0.1191,O,data/official_tariffs/sd_2025_m09_jiyang.pdf,http://www.jiyang.gov.cn/resources/public/20250919/68cd0d3b795b9abfd15316ce.pdf,structure sample; not 2026 default
2026,1,110kV,two-part,1.18726875,1.02566875,0.64876875,0.27196875,0.16426875,0.64876875,0.1191,O,data/official_tariffs/sd_2026_m01_jiyang.jpg,http://www.jiyang.gov.cn/resources/public/20260103/6958f4de2e3aee8561e70a00.jpg,110-220kV two-part TOU; 第三监管周期 T&D 0.1191
2026,2,110kV,two-part,1.14786875,0.99356875,0.63296875,0.27256875,0.16956875,0.63296875,0.1191,O,data/official_tariffs/sd_2026_m02_jiyang.jpg,http://www.jiyang.gov.cn/resources/public/20260228/69a2e4b2122a6678feef8d76.jpg,110-220kV two-part TOU
2026,3,110kV,two-part,1.06476875,0.92056875,0.58406875,0.24766875,0.15146875,0.58406875,0.1191,O,data/official_tariffs/sd_2026_m03_jiyang.jpg,http://www.jiyang.gov.cn/resources/public/20260228/69a2e4ba711fe812787c6f53.jpg,110-220kV two-part TOU
2026,4,110kV,two-part,1.07586875,0.92746875,0.58106875,0.23486875,0.13586875,0.58106875,0.1191,O,data/official_tariffs/sd_2026_m04_juxian.jpg,http://www.juxian.gov.cn/art/2026/4/10/art_280188_10408671.html,莒县供电公司转载国网山东月度表
2026,5,110kV,two-part,1.04886875,0.90896875,0.58236875,0.25586875,0.16256875,0.58236875,0.1191,O,data/official_tariffs/sd_2026_m05_juxian.png,http://www.juxian.gov.cn/art/2026/5/1/art_280188_10409267.html,莒县供电公司转载国网山东月度表
2026,6,110kV,two-part,1.03026875,0.89456875,0.57756875,0.26076875,0.17026875,0.57756875,0.1191,O,data/official_tariffs/sd_2026_m06_juxian.png,http://www.juxian.gov.cn/art/2026/6/1/art_280188_10410330.html,莒县供电公司转载国网山东月度表
2026,7,110kV,two-part,1.10366875,0.95836875,0.61896875,0.27966875,0.18266875,0.61896875,0.1191,O,data/official_tariffs/sd_2026_m07_juxian.jpg,http://www.juxian.gov.cn/art/2026/7/17/art_280188_10411368.html,莒县+龙口/烟台同表互核
2026,8,110kV,two-part,1.01796875,0.88436875,0.57266875,0.26106875,0.17196875,0.57266875,0.1060,O,data/official_tariffs/sd_2026_m08_sgcc.jpg,https://csc-static.sgcc.com.cn:28888/omg-static/99307282292398426847300392195808.html,国网山东官方公告 2026-07-28；第四监管周期 T&D 0.106 自 2026-08-01
2026,9,110kV,two-part,1.01796875,0.88436875,0.57266875,0.26106875,0.17196875,0.57266875,0.1060,S,data/official_tariffs/sd_2026_m08_sgcc.jpg,https://csc-static.sgcc.com.cn:28888/omg-static/99307282292398426847300392195808.html,carry last published 2026-08 until official 09 table
2026,10,110kV,two-part,1.01796875,0.88436875,0.57266875,0.26106875,0.17196875,0.57266875,0.1060,S,data/official_tariffs/sd_2026_m08_sgcc.jpg,https://csc-static.sgcc.com.cn:28888/omg-static/99307282292398426847300392195808.html,carry last published 2026-08 until official 10 table
2026,11,110kV,two-part,1.01796875,0.88436875,0.57266875,0.26106875,0.17196875,0.57266875,0.1060,S,data/official_tariffs/sd_2026_m08_sgcc.jpg,https://csc-static.sgcc.com.cn:28888/omg-static/99307282292398426847300392195808.html,carry last published 2026-08 until official 11 table
2026,12,110kV,two-part,1.01796875,0.88436875,0.57266875,0.26106875,0.17196875,0.57266875,0.1060,S,data/official_tariffs/sd_2026_m08_sgcc.jpg,https://csc-static.sgcc.com.cn:28888/omg-static/99307282292398426847300392195808.html,carry last published 2026-08 until official 12 table
