time,value
0.0,103.73708
3600.0,103.73708
7200.0,103.73708
10800.0,103.73708
14400.0,103.73708
18000.0,103.73708
21600.0,103.73708
25200.0,103.73708
28800.0,103.73708
32400.0,103.73708
36000.0,103.73708
39600.0,103.73708
43200.0,103.73708
46800.0,103.73708
50400.0,103.73708
54000.0,103.73708
57600.0,103.73708
61200.0,103.73708
64800.0,103.73708
68400.0,103.73708
72000.0,103.73708
75600.0,103.73708
79200.0,103.73708
82800.0,103.73708
86400.0,0
90000.0,0
93600.0,0
97200.0,0
100800.0,0
104400.0,0
108000.0,0
111600.0,45.88
115200.0,198.72
118800.0,348.73
122400.0,444.05
126000.0,433.2
129600.0,398.46
133200.0,305.55
136800.0,230.09
140400.0,85.01
144000.0,0
147600.0,0
151200.0,0
154800.0,0
158400.0,0
162000.0,0
165600.0,0
169200.0,0
172800.0,0
176400.0,0
180000.0,0
183600.0,0
187200.0,0
190800.0,0
194400.0,0
198000.0,45.49
201600.0,211.03
205200.0,356.87
208800.0,434.05
212400.0,485.93
216000.0,468.43
219600.0,392.32
223200.0,269.2
226800.0,108.53
230400.0,0
234000.0,0
237600.0,0
241200.0,0
244800.0,0
248400.0,0
252000.0,0
255600.0,0
259200.0,0
262800.0,0
266400.0,0
270000.0,0
273600.0,0
277200.0,0
280800.0,0
284400.0,46.47
288000.0,223.7
291600.0,364.38
295200.0,468.05
298800.0,483.89
302400.0,434.79
306000.0,392.11
309600.0,261.01
313200.0,107.63
316800.0,0
320400.0,0
324000.0,0
327600.0,0
331200.0,0
334800.0,0
338400.0,0
342000.0,0
345600.0,0
349200.0,0
352800.0,0
356400.0,0
360000.0,0
363600.0,0
367200.0,0
370800.0,48.27
374400.0,214.79
378000.0,352.17
381600.0,440.59
385200.0,484.35
388800.0,464.98
392400.0,385.39
396000.0,258.97
399600.0,108.01
403200.0,0
406800.0,0
410400.0,0
414000.0,0
417600.0,0
421200.0,0
424800.0,0
428400.0,0
432000.0,0
435600.0,0
439200.0,0
442800.0,0
446400.0,0
450000.0,0
453600.0,0
457200.0,39.77
460800.0,207.65
464400.0,347.44
468000.0,442.98
471600.0,481.91
475200.0,459.35
478800.0,379.47
482400.0,258.95
486000.0,107.12
489600.0,0
493200.0,0
496800.0,0
500400.0,0
504000.0,0
507600.0,0
511200.0,0
514800.0,0
518400.0,0
522000.0,0
525600.0,0
529200.0,0
532800.0,0
536400.0,0
540000.0,0
543600.0,40
547200.0,179.09
550800.0,320.49
554400.0,407.59
558000.0,467.55
561600.0,445.34
565200.0,362.87
568800.0,228.15
572400.0,85.1
576000.0,0
579600.0,0
583200.0,0
586800.0,0
590400.0,0
594000.0,0
597600.0,0
601200.0,0
604800.0,5.8528571
608400.0,6.9480071
612000.0,8.0030336
615600.0,0
619200.0,7.7022438
622800.0,0
626400.0,3.4931188
630000.0,26.92186
633600.0,185.91182
637200.0,346.94535
640800.0,414.41614
644400.0,462.16769
648000.0,460.3418
651600.0,374.04035
655200.0,253.46163
658800.0,99.85049
662400.0,0.18299426
666000.0,0
669600.0,0
673200.0,0
676800.0,0
680400.0,4.6841664
684000.0,0
687600.0,0
691200.0,8.6733141
694800.0,0
698400.0,0
702000.0,9.0171986
705600.0,0
709200.0,9.9097338
712800.0,10.827479
716400.0,20.439621
720000.0,132.25759
723600.0,217.24394
727200.0,308.47971
730800.0,386.80126
734400.0,418.32675
738000.0,370.381
741600.0,265.12961
745200.0,103.345
748800.0,7.4705205
752400.0,6.7225623
756000.0,5.3913722
759600.0,7.9785786
763200.0,8.6918716
766800.0,0
770400.0,0
774000.0,0
777600.0,0
781200.0,3.7102969
784800.0,6.877605
788400.0,0
792000.0,7.7971091
795600.0,0
799200.0,0
802800.0,48.323713
806400.0,204.16274
810000.0,354.06666
813600.0,429.08698
817200.0,498.48086
820800.0,436.24715
824400.0,385.40821
828000.0,247.32152
831600.0,89.208369
835200.0,5.9433088
838800.0,0
842400.0,6.569171
846000.0,2.2999301
849600.0,0
853200.0,0
856800.0,0
860400.0,3.728339
864000.0,0
867600.0,5.9068022
871200.0,0
874800.0,0
878400.0,3.7437811
882000.0,3.2506664
885600.0,0
889200.0,10.12314
892800.0,86.101324
896400.0,110.31198
900000.0,183.56511
903600.0,202.23451
907200.0,242.33596
910800.0,207.83459
914400.0,196.44624
918000.0,85.990399
921600.0,0
925200.0,0
928800.0,9.3875322
932400.0,6.5026703
936000.0,0
939600.0,9.4084463
943200.0,2.2635672
946800.0,10.039212
950400.0,0
954000.0,0.20916714
957600.0,0
961200.0,0
964800.0,0
968400.0,4.9890394
972000.0,6.3398242
975600.0,56.643751
979200.0,216.19282
982800.0,340.30667
986400.0,433.83591
990000.0,402.921
993600.0,468.10097
997200.0,356.55733
1000800.0,260.43685
1004400.0,118.7756
1008000.0,6.9241958
1011600.0,7.7471499
1015200.0,0
1018800.0,3.7528465
1022400.0,0
1026000.0,5.1018839
1029600.0,0
1033200.0,0.60695547
1036800.0,7.4495072
1040400.0,8.5466528
1044000.0,2.5584028
1047600.0,7.4474196
1051200.0,7.6067572
1054800.0,2.6959445
1058400.0,4.9168959
1062000.0,45.128346
1065600.0,175.91407
1069200.0,317.34388
1072800.0,457.99259
1076400.0,492.92743
1080000.0,486.42039
1083600.0,391.48558
1087200.0,280.38298
1090800.0,116.37552
1094400.0,0
1098000.0,5.2366858
1101600.0,5.1845465
1105200.0,0
1108800.0,6.5736828
1112400.0,7.6650267
1116000.0,8.4106216
1119600.0,0
1123200.0,0
1126800.0,0
1130400.0,6.2858195
1134000.0,0
1137600.0,0
1141200.0,0
1144800.0,6.4301887
1148400.0,44.820563
1152000.0,137.64544
1155600.0,295.56046
1159200.0,411.14871
1162800.0,482.6315
1166400.0,394.32051
1170000.0,374.43788
1173600.0,263.5789
1177200.0,114.23857
1180800.0,5.4745259
1184400.0,0
1188000.0,10.333254
1191600.0,0
1195200.0,8.7760925
1198800.0,7.2287288
1202400.0,0.03405036
1206000.0,0.60836554
1209600.0,7.9421277
1213200.0,0
1216800.0,4.839242
1220400.0,8.1102924
1224000.0,0
1227600.0,7.9019437
1231200.0,0
1234800.0,20.529059
1238400.0,140.63909
1242000.0,309.78638
1245600.0,364.0443
1249200.0,387.62055
1252800.0,291.72918
1256400.0,259.67344
1260000.0,162.59361
1263600.0,68.16378
1267200.0,12.280822
1270800.0,12.436267
1274400.0,0
1278000.0,9.9922924
1281600.0,0
1285200.0,0
1288800.0,0
1292400.0,7.6092567
1296000.0,0
1299600.0,0
1303200.0,0
1306800.0,0
1310400.0,3.7303507
1314000.0,0
1317600.0,0
1321200.0,28.722136
1324800.0,159.62635
1328400.0,332.37227
1332000.0,416.32718
1335600.0,467.40707
1339200.0,374.13799
1342800.0,334.66022
1346400.0,243.53989
1350000.0,127.5592
1353600.0,0
1357200.0,0
1360800.0,0
1364400.0,0
1368000.0,5.9222746
1371600.0,0
1375200.0,6.5134883
1378800.0,7.6478524
1382400.0,4.5501418
1386000.0,0
1389600.0,8.8729944
1393200.0,9.8079042
1396800.0,8.4428177
1400400.0,11.030032
1404000.0,11.20593
1407600.0,50.095186
1411200.0,178.29397
1414800.0,327.93077
1418400.0,442.8749
1422000.0,464.92524
1425600.0,451.12066
1429200.0,396.94634
1432800.0,278.08378
1436400.0,130.22419
1440000.0,7.7925496
1443600.0,7.3730073
1447200.0,8.345006
1450800.0,0.84064716
1454400.0,0
1458000.0,7.6031876
1461600.0,8.3499279
1465200.0,8.3987427
1468800.0,8.2333288
1472400.0,4.9738312
1476000.0,0
1479600.0,0
1483200.0,4.6117663
1486800.0,5.0327463
1490400.0,5.4838462
1494000.0,28.573916
1497600.0,189.27391
1501200.0,333.34491
1504800.0,431.08627
1508400.0,480.7995
1512000.0,486.67298
1515600.0,378.43091
1519200.0,279.2303
1522800.0,118.47353
1526400.0,0
1530000.0,5.9480147
1533600.0,0
1537200.0,3.5212398
1540800.0,0
1544400.0,9.0964937
1548000.0,8.6866951
1551600.0,0
1555200.0,0
1558800.0,0.5806697
1562400.0,1.6946849
1566000.0,0
1569600.0,6.5930438
1573200.0,0
1576800.0,7.6613975
1580400.0,32.699732
1584000.0,143.88294
1587600.0,287.26352
1591200.0,379.12983
1594800.0,393.24409
1598400.0,382.28575
1602000.0,322.28619
1605600.0,236.34703
1609200.0,92.754786
1612800.0,7.5063739
1616400.0,5.947432
1620000.0,7.5313897
1623600.0,8.5801601
1627200.0,8.7503138
1630800.0,6.5550957
1634400.0,0
1638000.0,4.7929358
1641600.0,8.3845558
1645200.0,0
1648800.0,0
1652400.0,0
1656000.0,0
1659600.0,0
1663200.0,0
1666800.0,28.287149
1670400.0,146.76573
1674000.0,293.34837
1677600.0,390.04134
1681200.0,469.8455
1684800.0,396.76247
1688400.0,393.67998
1692000.0,262.82501
1695600.0,119.8748
1699200.0,7.723856
1702800.0,0
1706400.0,0
1710000.0,0
1713600.0,0
1717200.0,0
1720800.0,0
1724400.0,5.3083549
1728000.0,0
1731600.0,5.3006682
1735200.0,5.7102427
1738800.0,0
1742400.0,5.3975577
1746000.0,5.7892447
1749600.0,7.2450681
1753200.0,17.685766
1756800.0,171.17448
1760400.0,332.71747
1764000.0,445.04733
1767600.0,451.34081
1771200.0,408.13191
1774800.0,388.49708
1778400.0,281.02494
1782000.0,116.18712
1785600.0,0.1540855
1789200.0,5.3616767
1792800.0,7.8956637
1796400.0,8.0099812
1800000.0,0
1803600.0,0
1807200.0,0
1810800.0,5.4785213
1814400.0,9.993185
1818000.0,0
1821600.0,7.8652463
1825200.0,8.7582874
1828800.0,0
1832400.0,0
1836000.0,0
1839600.0,22.755929
1843200.0,179.33063
1846800.0,316.40508
1850400.0,417.8056
1854000.0,468.59126
1857600.0,448.46652
1861200.0,378.77338
1864800.0,266.55432
1868400.0,112.10541
1872000.0,1.1492044
1875600.0,6.1927314
1879200.0,6.0945258
1882800.0,0
1886400.0,0
1890000.0,0
1893600.0,4.635129
1897200.0,0
1900800.0,0
1904400.0,6.780107
1908000.0,7.8682995
1911600.0,0
1915200.0,7.1146584
1918800.0,7.6293206
1922400.0,8.1179628
1926000.0,30.455459
1929600.0,170.62455
1933200.0,307.35269
1936800.0,417.75579
1940400.0,462.21017
1944000.0,469.17265
1947600.0,384.77569
1951200.0,251.13231
1954800.0,114.14098
1958400.0,18.058786
1962000.0,9.1515341
1965600.0,6.3161874
1969200.0,8.3539734
1972800.0,9.4922037
1976400.0,9.0033998
1980000.0,0
1983600.0,6.5667233
1987200.0,7.3232226
1990800.0,0
1994400.0,0
1998000.0,7.0598989
2001600.0,0
2005200.0,0
2008800.0,0
2012400.0,19.583768
2016000.0,149.94617
2019600.0,304.71118
2023200.0,395.64902
2026800.0,473.10565
2030400.0,457.8818
2034000.0,349.71527
2037600.0,263.81638
