time,value
0.0,264.92417
3600.0,264.92417
7200.0,264.92417
10800.0,264.92417
14400.0,264.92417
18000.0,264.92417
21600.0,264.92417
25200.0,264.92417
28800.0,264.92417
32400.0,264.92417
36000.0,264.92417
39600.0,264.92417
43200.0,264.92417
46800.0,264.92417
50400.0,264.92417
54000.0,264.92417
57600.0,264.92417
61200.0,264.92417
64800.0,264.92417
68400.0,264.92417
72000.0,264.92417
75600.0,264.92417
79200.0,264.92417
82800.0,264.92417
86400.0,262.4
90000.0,262.45
93600.0,262.07
97200.0,261.73
100800.0,262.21
104400.0,262.44
108000.0,261.87
111600.0,261.31
115200.0,263.2
118800.0,265.66
122400.0,267.8
126000.0,269.25
129600.0,270.06
133200.0,270.34
136800.0,269.95
140400.0,268.7
144000.0,267.38
147600.0,266.52
151200.0,265.41
154800.0,265.33
158400.0,264.69
162000.0,263.7
165600.0,262.41
169200.0,261.3
172800.0,260.48
176400.0,259.73
180000.0,259.12
183600.0,258.59
187200.0,258.18
190800.0,258.09
194400.0,258.19
198000.0,258.56
201600.0,260.7
205200.0,263.6
208800.0,265.91
212400.0,267.34
216000.0,268.42
219600.0,269.2
223200.0,269.7
226800.0,269.34
230400.0,267.62
234000.0,266.72
237600.0,266.05
241200.0,265.44
244800.0,265.05
248400.0,264.55
252000.0,263.76
255600.0,262.77
259200.0,261.7
262800.0,260.87
266400.0,260.26
270000.0,259.73
273600.0,259.47
277200.0,259.35
280800.0,259.17
284400.0,259.26
288000.0,261.93
291600.0,264.77
295200.0,268
298800.0,270.09
302400.0,271.45
306000.0,272.07
309600.0,271.93
313200.0,270.59
316800.0,266.92
320400.0,264.97
324000.0,263.55
327600.0,262.52
331200.0,261.98
334800.0,261.92
338400.0,261.72
342000.0,261.33
345600.0,261.05
349200.0,260.91
352800.0,260.73
356400.0,260.55
360000.0,260.44
363600.0,260.41
367200.0,260.31
370800.0,260.26
374400.0,261.91
378000.0,264.41
381600.0,266.97
385200.0,268.78
388800.0,270.38
392400.0,271.8
396000.0,272.52
399600.0,271.66
403200.0,269.14
406800.0,267.95
410400.0,266.76
414000.0,265.28
417600.0,263.89
421200.0,262.88
424800.0,262.1
428400.0,261.38
432000.0,260.83
435600.0,260.45
439200.0,260.28
442800.0,260.2
446400.0,260.12
450000.0,260.4
453600.0,260.78
457200.0,261.53
460800.0,263.64
464400.0,266.25
468000.0,268.81
471600.0,270.58
475200.0,272.35
478800.0,273.7
482400.0,274.13
486000.0,273.24
489600.0,271.3
493200.0,269.79
496800.0,268.45
500400.0,267.34
504000.0,266.48
507600.0,266.03
511200.0,265.91
514800.0,265.6
518400.0,264.64
522000.0,263.77
525600.0,263.07
529200.0,262.48
532800.0,262.23
536400.0,262.47
540000.0,263.23
543600.0,264.17
547200.0,265.77
550800.0,268.09
554400.0,270.66
558000.0,272.96
561600.0,274.55
565200.0,275.49
568800.0,275.55
572400.0,273.55
576000.0,270.92
579600.0,269.35
583200.0,267.97
586800.0,266.95
590400.0,266.42
594000.0,265.99
597600.0,265.36
601200.0,264.91
604800.0,265.09097
608400.0,264.44277
612000.0,264.45791
615600.0,263.43265
619200.0,264.02462
622800.0,263.44468
626400.0,263.35909
630000.0,263.95744
633600.0,265.32558
637200.0,268.10554
640800.0,270.80504
644400.0,272.42022
648000.0,273.79449
651600.0,273.86942
655200.0,272.1172
658800.0,271.13233
662400.0,267.97695
666000.0,268.88658
669600.0,266.72711
673200.0,268.56498
676800.0,266.86306
680400.0,266.13563
684000.0,266.37619
687600.0,263.83042
691200.0,264.16768
694800.0,262.60067
698400.0,261.50418
702000.0,262.83979
705600.0,261.95836
709200.0,263.54413
712800.0,264.11082
716400.0,263.64318
720000.0,266.38951
723600.0,267.09124
727200.0,270.15958
730800.0,273.09144
734400.0,273.2609
738000.0,272.64205
741600.0,271.09538
745200.0,269.74456
748800.0,267.89518
752400.0,266.68553
756000.0,265.33786
759600.0,264.50102
763200.0,263.35622
766800.0,261.47273
770400.0,260.45325
774000.0,259.99708
777600.0,260.37805
781200.0,258.94593
784800.0,258.57368
788400.0,258.13172
792000.0,258.73909
795600.0,258.12504
799200.0,258.01135
802800.0,258.08246
806400.0,261.04325
810000.0,263.30168
813600.0,265.38834
817200.0,265.66902
820800.0,267.94398
824400.0,266.90513
828000.0,267.03406
831600.0,266.54957
835200.0,264.0309
838800.0,261.84493
842400.0,261.41415
846000.0,259.89814
849600.0,261.04544
853200.0,260.79326
856800.0,259.93644
860400.0,259.2021
864000.0,258.31763
867600.0,259.38656
871200.0,258.27745
874800.0,257.10129
878400.0,257.85599
882000.0,258.01645
885600.0,258.0423
889200.0,258.58897
892800.0,259.87748
896400.0,261.33064
900000.0,262.97593
903600.0,263.94592
907200.0,265.80977
910800.0,266.69429
914400.0,266.14231
918000.0,265.30676
921600.0,263.95632
925200.0,263.514
928800.0,263.50424
932400.0,263.22426
936000.0,261.94279
939600.0,261.10264
943200.0,260.99784
946800.0,260.01534
950400.0,259.35196
954000.0,259.74132
957600.0,259.74079
961200.0,259.5938
964800.0,259.01216
968400.0,259.28705
972000.0,258.79528
975600.0,258.40526
979200.0,259.90132
982800.0,262.3048
986400.0,264.7129
990000.0,266.31304
993600.0,267.66291
997200.0,267.00706
1000800.0,266.42869
1004400.0,265.96868
1008000.0,264.41541
1011600.0,263.79813
1015200.0,261.93737
1018800.0,261.42524
1022400.0,260.58247
1026000.0,260.69375
1029600.0,259.76548
1033200.0,258.57992
1036800.0,258.79777
1040400.0,258.37747
1044000.0,257.95649
1047600.0,257.05975
1051200.0,256.13077
1054800.0,255.31979
1058400.0,255.14988
1062000.0,255.1986
1065600.0,258.72717
1069200.0,261.34285
1072800.0,262.67766
1076400.0,264.29373
1080000.0,265.81111
1083600.0,266.00526
1087200.0,266.54974
1090800.0,264.95266
1094400.0,262.01073
1098000.0,260.40991
1101600.0,260.17488
1105200.0,260.37677
1108800.0,259.92176
1112400.0,260.40365
1116000.0,260.2678
1119600.0,259.91758
1123200.0,259.94023
1126800.0,260.09828
1130400.0,260.21463
1134000.0,260.05046
1137600.0,260.53599
1141200.0,260.66682
1144800.0,260.9638
1148400.0,261.54754
1152000.0,264.1455
1155600.0,267.2402
1159200.0,269.74786
1162800.0,270.70175
1166400.0,269.85716
1170000.0,270.21272
1173600.0,269.36843
1177200.0,267.93839
1180800.0,265.47552
1184400.0,263.96273
1188000.0,263.96858
1191600.0,263.24603
1195200.0,263.58149
1198800.0,263.14727
1202400.0,261.34633
1206000.0,261.21591
1209600.0,261.98253
1213200.0,260.83862
1216800.0,260.61317
1220400.0,261.53203
1224000.0,259.94498
1227600.0,260.82561
1231200.0,260.20505
1234800.0,260.99683
1238400.0,260.30402
1242000.0,260.87758
1245600.0,262.72696
1249200.0,262.77474
1252800.0,260.37882
1256400.0,262.06299
1260000.0,261.76685
1263600.0,259.81229
1267200.0,262.89142
1270800.0,262.64107
1274400.0,259.96271
1278000.0,259.73884
1281600.0,257.81252
1285200.0,258.87146
1288800.0,258.17499
1292400.0,258.97742
1296000.0,256.87392
1299600.0,255.90854
1303200.0,255.528
1306800.0,255.63488
1310400.0,255.34368
1314000.0,254.94884
1317600.0,254.86791
1321200.0,254.75866
1324800.0,256.0977
1328400.0,257.58112
