time,value
0.0,2.2414839e+08
3600.0,2.2414839e+08
7200.0,2.2414839e+08
10800.0,2.2414839e+08
14400.0,2.2414839e+08
18000.0,2.2414839e+08
21600.0,2.2414839e+08
25200.0,2.2414839e+08
28800.0,2.2414839e+08
32400.0,2.2414839e+08
36000.0,2.2414839e+08
39600.0,2.2414839e+08
43200.0,2.2414839e+08
46800.0,2.2414839e+08
50400.0,2.2414839e+08
54000.0,2.2414839e+08
57600.0,2.2414839e+08
61200.0,2.2414839e+08
64800.0,2.2414839e+08
68400.0,2.2414839e+08
72000.0,2.2414839e+08
75600.0,2.2414839e+08
79200.0,2.2414839e+08
82800.0,2.2414839e+08
86400.0,2.1419786e+08
90000.0,2.0366134e+08
93600.0,2.3649888e+08
97200.0,2.1731876e+08
100800.0,2.3261026e+08
104400.0,2.2408787e+08
108000.0,2.1912968e+08
111600.0,2.1634429e+08
115200.0,2.05152e+08
118800.0,2.1852062e+08
122400.0,2.1887208e+08
126000.0,2.2408992e+08
129600.0,2.3978098e+08
133200.0,2.3456968e+08
136800.0,2.424895e+08
140400.0,2.2561413e+08
144000.0,2.4275167e+08
147600.0,2.2327208e+08
151200.0,2.1324243e+08
154800.0,2.3147421e+08
158400.0,2.2813671e+08
162000.0,2.2705782e+08
165600.0,2.1966557e+08
169200.0,2.2102312e+08
172800.0,2.068561e+08
176400.0,2.1460889e+08
180000.0,2.0036616e+08
183600.0,2.4663506e+08
187200.0,2.3046293e+08
190800.0,2.4459228e+08
194400.0,2.2104124e+08
198000.0,2.2000907e+08
201600.0,2.2769671e+08
205200.0,2.2981297e+08
208800.0,2.2531394e+08
212400.0,2.2936048e+08
216000.0,2.0664108e+08
219600.0,2.380799e+08
223200.0,2.3255717e+08
226800.0,2.1755449e+08
230400.0,2.1562982e+08
234000.0,2.1371253e+08
237600.0,2.0747654e+08
241200.0,2.1671728e+08
244800.0,2.416517e+08
248400.0,2.1167879e+08
252000.0,2.0346205e+08
255600.0,2.2473636e+08
259200.0,2.0610757e+08
262800.0,2.2013106e+08
266400.0,2.0456071e+08
270000.0,2.360274e+08
273600.0,2.1711715e+08
277200.0,2.2831524e+08
280800.0,2.3272562e+08
284400.0,2.3262506e+08
288000.0,2.3504284e+08
291600.0,2.1505522e+08
295200.0,2.0427319e+08
298800.0,2.3167179e+08
302400.0,2.1332173e+08
306000.0,2.4471259e+08
309600.0,2.1501345e+08
313200.0,2.3575285e+08
316800.0,2.1651762e+08
320400.0,2.1824366e+08
324000.0,2.2961741e+08
327600.0,2.4525927e+08
331200.0,2.1322644e+08
334800.0,2.4749129e+08
338400.0,2.3693645e+08
342000.0,2.0022306e+08
345600.0,2.4253684e+08
349200.0,2.3477861e+08
352800.0,2.2812161e+08
356400.0,2.1688581e+08
360000.0,2.1663997e+08
363600.0,2.0386614e+08
367200.0,2.2291505e+08
370800.0,2.328595e+08
374400.0,2.2859769e+08
378000.0,2.2010543e+08
381600.0,2.4673506e+08
385200.0,2.1802671e+08
388800.0,2.473857e+08
392400.0,2.0150618e+08
396000.0,2.2205483e+08
399600.0,2.3503546e+08
403200.0,2.3514964e+08
406800.0,2.2550833e+08
410400.0,2.3061219e+08
414000.0,2.3731845e+08
417600.0,2.4007178e+08
421200.0,2.1683625e+08
424800.0,2.2820465e+08
428400.0,2.427633e+08
432000.0,2.2945793e+08
435600.0,2.2541206e+08
439200.0,2.4267152e+08
442800.0,2.3418992e+08
446400.0,2.0531691e+08
450000.0,2.2509784e+08
453600.0,2.0095833e+08
457200.0,2.2213047e+08
460800.0,2.4535877e+08
464400.0,2.0223348e+08
468000.0,2.4725954e+08
471600.0,2.0901902e+08
475200.0,2.1849541e+08
478800.0,2.1026195e+08
482400.0,2.0477929e+08
486000.0,2.2163705e+08
489600.0,2.1387805e+08
493200.0,2.0504291e+08
496800.0,2.2494602e+08
500400.0,2.119517e+08
504000.0,2.1748007e+08
507600.0,2.2791311e+08
511200.0,2.2740335e+08
514800.0,2.210637e+08
518400.0,2.1927498e+08
522000.0,2.1903319e+08
525600.0,2.1403642e+08
529200.0,2.0899562e+08
532800.0,2.063642e+08
536400.0,2.0078451e+08
540000.0,2.376544e+08
543600.0,2.2524776e+08
547200.0,2.3610551e+08
550800.0,2.3805504e+08
554400.0,2.1344744e+08
558000.0,2.096811e+08
561600.0,2.0320744e+08
565200.0,2.2126872e+08
568800.0,2.3510735e+08
572400.0,2.4886603e+08
576000.0,2.2757914e+08
579600.0,2.0219034e+08
583200.0,2.2910744e+08
586800.0,2.1391879e+08
590400.0,2.2710971e+08
594000.0,2.2216604e+08
597600.0,2.0586027e+08
601200.0,2.1899706e+08
604800.0,2.3824161e+08
608400.0,2.4591838e+08
612000.0,2.3463492e+08
615600.0,2.4853122e+08
619200.0,2.0630821e+08
622800.0,2.323207e+08
626400.0,2.1934247e+08
630000.0,2.2811725e+08
633600.0,2.0991756e+08
637200.0,2.196963e+08
640800.0,2.1701215e+08
644400.0,2.1782392e+08
648000.0,2.1865198e+08
651600.0,2.057682e+08
655200.0,2.2506049e+08
658800.0,2.4084564e+08
662400.0,2.1717537e+08
666000.0,2.2492685e+08
669600.0,2.0590122e+08
673200.0,2.2877587e+08
676800.0,2.2577324e+08
680400.0,2.1776383e+08
684000.0,2.4316748e+08
687600.0,2.1720077e+08
691200.0,2.2284405e+08
694800.0,2.1190447e+08
698400.0,2.3855817e+08
702000.0,2.1367019e+08
705600.0,2.2625012e+08
709200.0,2.2655563e+08
712800.0,2.4366916e+08
716400.0,2.4688065e+08
720000.0,2.0243583e+08
723600.0,2.4894224e+08
727200.0,2.3161628e+08
730800.0,2.0363164e+08
734400.0,2.105912e+08
738000.0,2.1799437e+08
741600.0,2.2133402e+08
745200.0,2.3790725e+08
748800.0,2.457875e+08
752400.0,2.3148697e+08
756000.0,2.4779542e+08
759600.0,2.3775588e+08
763200.0,2.2630552e+08
766800.0,2.4250556e+08
770400.0,2.4080156e+08
774000.0,2.0660653e+08
777600.0,2.3803623e+08
781200.0,2.308616e+08
784800.0,2.1988234e+08
788400.0,2.4206362e+08
792000.0,2.0191596e+08
795600.0,2.0481032e+08
799200.0,2.4740514e+08
802800.0,2.1980076e+08
806400.0,2.2661309e+08
810000.0,2.4518215e+08
813600.0,2.1700174e+08
817200.0,2.3319478e+08
820800.0,2.3636802e+08
824400.0,2.1115065e+08
828000.0,2.277727e+08
831600.0,2.2276164e+08
835200.0,2.3051319e+08
838800.0,2.2719951e+08
842400.0,2.2591778e+08
846000.0,2.1430236e+08
849600.0,2.4395083e+08
853200.0,2.4682717e+08
856800.0,2.4031049e+08
860400.0,2.4845422e+08
864000.0,2.2621174e+08
867600.0,2.0564342e+08
871200.0,2.3251175e+08
874800.0,2.0954431e+08
878400.0,2.4284677e+08
882000.0,2.4714264e+08
885600.0,2.0517237e+08
889200.0,2.1482198e+08
892800.0,2.3995174e+08
896400.0,2.2208575e+08
900000.0,2.2462602e+08
903600.0,2.014758e+08
907200.0,2.2863219e+08
910800.0,2.286231e+08
914400.0,2.3708456e+08
918000.0,2.0383026e+08
921600.0,2.3935836e+08
925200.0,2.0967478e+08
928800.0,2.2654637e+08
932400.0,2.4620648e+08
936000.0,2.4930285e+08
939600.0,2.4876464e+08
943200.0,2.1523843e+08
946800.0,2.3768188e+08
950400.0,2.1031776e+08
954000.0,2.4306902e+08
957600.0,2.3289221e+08
961200.0,2.0511028e+08
964800.0,2.2902325e+08
968400.0,2.4817437e+08
972000.0,2.4224359e+08
975600.0,2.376553e+08
979200.0,2.3515244e+08
982800.0,2.1233117e+08
986400.0,2.0199708e+08
990000.0,2.2310563e+08
993600.0,2.0586865e+08
997200.0,2.0808101e+08
1000800.0,2.2098781e+08
1004400.0,2.3330578e+08
1008000.0,2.4865769e+08
1011600.0,2.1398249e+08
1015200.0,2.2656966e+08
1018800.0,2.4653461e+08
1022400.0,2.0833314e+08
1026000.0,2.3946246e+08
1029600.0,2.0514829e+08
1033200.0,2.4418113e+08
1036800.0,2.2611186e+08
1040400.0,2.4870629e+08
1044000.0,2.378052e+08
1047600.0,2.3612847e+08
1051200.0,2.0013002e+08
1054800.0,2.1028066e+08
1058400.0,2.1301842e+08
1062000.0,2.039977e+08
1065600.0,2.3676639e+08
1069200.0,2.4113256e+08
1072800.0,2.1716951e+08
1076400.0,2.0680694e+08
1080000.0,2.3329446e+08
1083600.0,2.4152209e+08
1087200.0,2.3368107e+08
1090800.0,2.0697299e+08
1094400.0,2.1894138e+08
1098000.0,2.3391814e+08
1101600.0,2.2579625e+08
1105200.0,2.489028e+08
1108800.0,2.1338622e+08
1112400.0,2.4334551e+08
1116000.0,2.1868772e+08
1119600.0,2.0683154e+08
1123200.0,2.0413459e+08
1126800.0,2.3694122e+08
1130400.0,2.1860337e+08
1134000.0,2.1902585e+08
1137600.0,2.151087e+08
1141200.0,2.1472631e+08
1144800.0,2.1299066e+08
1148400.0,2.2317373e+08
1152000.0,2.4939264e+08
1155600.0,2.1925377e+08
1159200.0,2.4716168e+08
1162800.0,2.0835003e+08
1166400.0,2.4625017e+08
1170000.0,2.3771683e+08
1173600.0,2.4282993e+08
1177200.0,2.3011928e+08
1180800.0,2.0536831e+08
1184400.0,2.2277361e+08
1188000.0,2.3272944e+08
1191600.0,2.0287666e+08
1195200.0,2.010631e+08
1198800.0,2.1449005e+08
1202400.0,2.4657392e+08
1206000.0,2.2570095e+08
1209600.0,2.4376488e+08
1213200.0,2.1890498e+08
1216800.0,2.4422554e+08
1220400.0,2.2673865e+08
1224000.0,2.4463013e+08
1227600.0,2.0513813e+08
1231200.0,2.1060231e+08
1234800.0,2.3508031e+08
1238400.0,2.1806754e+08
1242000.0,2.0006978e+08
1245600.0,2.192154e+08
1249200.0,2.1600713e+08
1252800.0,2.1966728e+08
1256400.0,2.0906254e+08
1260000.0,2.1046882e+08
1263600.0,2.2968625e+08
1267200.0,2.2972329e+08
1270800.0,2.0862348e+08
1274400.0,2.4665009e+08
1278000.0,2.028108e+08
1281600.0,2.1008621e+08
1285200.0,2.2541262e+08
1288800.0,2.3796074e+08
1292400.0,2.0730257e+08
1296000.0,2.4655366e+08
1299600.0,2.2109742e+08
1303200.0,2.0282497e+08
1306800.0,2.3371006e+08
1310400.0,2.1399042e+08
1314000.0,2.3900439e+08
1317600.0,2.481421e+08
1321200.0,2.3441224e+08
1324800.0,2.2492112e+08
1328400.0,2.0495161e+08
1332000.0,2.143876e+08
1335600.0,2.2690561e+08
1339200.0,2.0056655e+08
1342800.0,2.141422e+08
1346400.0,2.2947861e+08
1350000.0,2.0860243e+08
1353600.0,2.0850495e+08
1357200.0,2.3381718e+08
1360800.0,2.2847976e+08
1364400.0,2.2758356e+08
1368000.0,2.4837204e+08
1371600.0,2.3142112e+08
1375200.0,2.1622747e+08
1378800.0,2.2605077e+08
1382400.0,2.4324683e+08
1386000.0,2.4970543e+08
1389600.0,2.4192439e+08
1393200.0,2.1736982e+08
1396800.0,2.3747046e+08
1400400.0,2.469706e+08
1404000.0,2.3340405e+08
1407600.0,2.2406009e+08
1411200.0,2.1430816e+08
1414800.0,2.2975775e+08
1418400.0,2.1682031e+08
