time,value
0.0,2.6445833
3600.0,2.6445833
7200.0,2.6445833
10800.0,2.6445833
14400.0,2.6445833
18000.0,2.6445833
21600.0,2.6445833
25200.0,2.6445833
28800.0,2.6445833
32400.0,2.6445833
36000.0,2.6445833
39600.0,2.6445833
43200.0,2.6445833
46800.0,2.6445833
50400.0,2.6445833
54000.0,2.6445833
57600.0,2.6445833
61200.0,2.6445833
64800.0,2.6445833
68400.0,2.6445833
72000.0,2.6445833
75600.0,2.6445833
79200.0,2.6445833
82800.0,2.6445833
86400.0,1.45
90000.0,1.33
93600.0,1.09
97200.0,1.02
100800.0,1.51
104400.0,1.74
108000.0,1.19
111600.0,1.43
115200.0,3.24
118800.0,4.63
122400.0,5.29
126000.0,5.45
129600.0,5.35
133200.0,5.11
136800.0,5.2
140400.0,5.14
144000.0,4.06
147600.0,2.48
151200.0,1.12
154800.0,0.88
158400.0,0.94
162000.0,1.11
165600.0,1.25
169200.0,1.46
172800.0,1.69
176400.0,1.82
180000.0,1.68
183600.0,1.44
187200.0,1.21
190800.0,1.04
194400.0,0.96
198000.0,0.8
201600.0,1.24
205200.0,0.86
208800.0,1.08
212400.0,1.23
216000.0,1.16
219600.0,1.17
223200.0,1.31
226800.0,0.93
230400.0,0.57
234000.0,0.59
237600.0,0.54
241200.0,0.39
244800.0,0.28
248400.0,0.24
252000.0,0.48
255600.0,0.82
259200.0,1.03
262800.0,1.15
266400.0,1.23
270000.0,1.31
273600.0,1.35
277200.0,1.37
280800.0,1.4
284400.0,1.37
288000.0,1.66
291600.0,2.09
295200.0,2.72
298800.0,3.08
302400.0,3.32
306000.0,3.43
309600.0,3.44
313200.0,2.58
316800.0,1.58
320400.0,1.6
324000.0,1.57
327600.0,1.45
331200.0,1.35
334800.0,1.28
338400.0,1.22
342000.0,1.17
345600.0,1.14
349200.0,1.08
352800.0,1.03
356400.0,0.97
360000.0,0.91
363600.0,0.85
367200.0,0.8
370800.0,0.79
374400.0,1
378000.0,1.23
381600.0,0.81
385200.0,0.94
388800.0,1.33
392400.0,1.65
396000.0,1.86
399600.0,1.2
403200.0,1.02
406800.0,1.04
410400.0,1.07
414000.0,1.13
417600.0,1.17
421200.0,1.18
424800.0,1.23
428400.0,1.3
432000.0,1.37
435600.0,1.46
439200.0,1.64
442800.0,1.81
446400.0,1.74
450000.0,1.58
453600.0,1.43
457200.0,1.16
460800.0,0.81
464400.0,0.43
468000.0,0.84
471600.0,1.65
475200.0,1.9
478800.0,1.7
482400.0,1.27
486000.0,0.75
489600.0,0.57
493200.0,0.7
496800.0,0.72
500400.0,0.7
504000.0,0.7
507600.0,0.68
511200.0,0.61
514800.0,0.56
518400.0,0.83
522000.0,1.05
525600.0,1.22
529200.0,1.39
532800.0,1.47
536400.0,1.43
540000.0,1.25
543600.0,0.95
547200.0,0.59
550800.0,0.67
554400.0,0.17
558000.0,0.84
561600.0,1.47
565200.0,2.18
568800.0,2.6
572400.0,1.62
576000.0,1.54
579600.0,1.47
583200.0,1.47
586800.0,1.45
590400.0,1.34
594000.0,1.33
597600.0,1.36
601200.0,1.35
604800.0,2.1043341
608400.0,1.8736301
612000.0,0.96169053
615600.0,0.9634995
619200.0,0.71913134
622800.0,1.2082389
626400.0,1.6970116
630000.0,1.4540124
633600.0,1.2863914
637200.0,1.5012106
640800.0,1.7315014
644400.0,2.5339625
648000.0,3.5350284
651600.0,4.040874
655200.0,4.5639445
658800.0,3.5423073
662400.0,3.4075192
666000.0,2.2843299
669600.0,2.8034908
673200.0,1.7336117
676800.0,2.0533582
680400.0,2.4293306
684000.0,1.8059557
687600.0,2.276534
691200.0,1.7901267
694800.0,1.2751495
698400.0,1.5353459
702000.0,1.7968405
705600.0,1.3392168
709200.0,2.3132059
712800.0,2.0062664
716400.0,1.741387
720000.0,2.7259977
723600.0,3.5501326
727200.0,4.6053146
730800.0,5.6061112
734400.0,6.1886096
738000.0,6.9241458
741600.0,7.5939533
745200.0,6.3385188
748800.0,5.1563187
752400.0,3.5444475
756000.0,2.7387711
759600.0,2.2974288
763200.0,2.0668817
766800.0,2.4200909
770400.0,3.0011935
774000.0,2.6267468
777600.0,2.3123914
781200.0,2.7492403
784800.0,1.5044246
788400.0,0.96272241
792000.0,0.45440248
795600.0,1.1650666
799200.0,1.5999488
802800.0,1.7934742
806400.0,2.4080078
810000.0,2.0161202
813600.0,1.420465
817200.0,1.7840317
820800.0,1.6401196
824400.0,2.0478953
828000.0,1.820914
831600.0,2.3125046
835200.0,2.1110026
838800.0,2.3912518
842400.0,2.6685416
846000.0,2.9663128
849600.0,2.1041514
853200.0,2.4014373
856800.0,2.2680836
860400.0,2.8387794
864000.0,2.9117004
867600.0,2.2587343
871200.0,1.5540903
874800.0,2.4878731
878400.0,2.6015858
882000.0,2.6216675
885600.0,2.2904976
889200.0,2.2432593
892800.0,2.9280835
896400.0,4.936068
900000.0,6.4614591
903600.0,7.7460015
907200.0,9.3510601
910800.0,9.8459098
914400.0,8.9982207
918000.0,7.8339189
921600.0,6.795324
925200.0,7.1889251
928800.0,8.1016517
932400.0,7.4117056
936000.0,6.2291269
939600.0,6.3737224
943200.0,5.7074361
946800.0,6.3221134
950400.0,5.695213
954000.0,5.7609685
957600.0,4.7627613
961200.0,3.9642184
964800.0,4.0216133
968400.0,3.609386
972000.0,3.1251511
975600.0,3.5029596
979200.0,5.3036574
982800.0,6.5536478
986400.0,7.2635222
990000.0,8.1497317
993600.0,8.3533748
997200.0,8.2822875
1000800.0,8.5471734
1004400.0,7.1736363
1008000.0,5.0317055
