time,value
0,0.97
3600,0.94
7200,0.91
10800,0.89
14400,0.94
18000,1.06
21600,1.28
25200,2.03
28800,3.21
32400,3.34
36000,3.25
39600,3.14
43200,3.05
46800,2.99
50400,2.99
54000,2.81
57600,1.46
61200,1.64
64800,1.69
68400,1.45
72000,1.16
75600,0.94
79200,0.92
82800,1.13
86400,1.25
90000,1.13
93600,1.01
97200,1.12
100800,1.28
104400,1.4
108000,1.59
111600,2.13
115200,3.67
118800,5.2
122400,6.13
126000,6.27
129600,5.95
133200,5.51
136800,4.93
140400,2.84
144000,1.72
147600,1.51
151200,1.38
154800,1.28
158400,1.31
162000,1.44
165600,1.55
169200,1.61
172800,1.69
176400,1.78
180000,1.78
183600,1.77
187200,1.75
190800,1.84
194400,2.1
198000,2.63
201600,3.8
205200,5.92
208800,8.24
212400,9.05
216000,9.07
219600,8.72
223200,8.02
226800,6.31
230400,3.77
234000,3.01
237600,2.89
241200,2.79
244800,2.85
248400,3.53
252000,3.6
255600,3.04
259200,2.66
262800,2.88
266400,3.57
270000,4.24
273600,4.26
277200,3.83
280800,3.55
284400,3.85
288000,5.64
291600,6.32
295200,6.6
298800,6.66
302400,6.54
306000,6.43
309600,6.13
313200,5.37
316800,2.48
320400,1.04
324000,0.37
327600,0.86
331200,1.28
334800,1.59
338400,1.75
342000,1.73
345600,1.71
349200,1.73
352800,1.77
356400,1.81
360000,1.73
363600,1.61
367200,1.67
370800,1.87
374400,3.42
378000,6.91
381600,8.95
385200,9.12
388800,8.79
392400,8.19
396000,7.57
399600,6.99
403200,5.8
406800,4.29
410400,2.76
414000,1.77
417600,1.59
421200,1.68
424800,1.87
428400,1.96
432000,1.94
435600,1.86
439200,1.73
442800,1.63
446400,1.51
450000,1.48
453600,1.5
457200,1.86
460800,3.13
464400,3.28
468000,3.56
471600,3.9
475200,4.33
478800,4.79
482400,5.06
486000,4.84
489600,2.74
493200,1.43
496800,1.3
500400,1.54
504000,1.92
507600,2.24
511200,2.47
514800,2.62
518400,2.59
522000,2.34
525600,2.12
529200,1.98
532800,1.81
536400,1.62
540000,1.48
543600,1.46
547200,2.77
550800,3.48
554400,4.84
558000,5.62
561600,6.14
565200,6.4
568800,6.3
572400,5.67
576000,3.08
579600,1.62
583200,1.13
586800,1.1
590400,1.19
594000,1.32
597600,1.53
601200,1.76
604800,1.46
608400,1.45
612000,1.42
615600,1.44
619200,1.38
622800,1.35
626400,1.38
630000,1.43
633600,2.16
637200,2.99
640800,4.3
644400,5.48
648000,6.83
651600,8.08
655200,8.6
658800,8.08
662400,6.67
666000,5.18
669600,4.24
673200,3.69
676800,3.33
680400,3.27
684000,3.1
687600,2.61
691200,2.2
694800,1.87
698400,1.61
702000,1.49
705600,1.41
709200,1.34
712800,1.34
716400,1.33
720000,2.03
723600,1.59
727200,0.64
730800,0.17
734400,0.46
738000,0.76
741600,1.07
745200,1.32
748800,1.05
752400,1.35
756000,1.45
759600,1.38
763200,1.29
766800,1.22
770400,1.14
774000,1.08
777600,1.04
781200,0.96
784800,0.93
788400,0.93
792000,0.81
795600,0.71
799200,0.67
802800,1.08
806400,1.99
810000,3.31
813600,4.8
817200,6.19
820800,8.17
824400,9.51
828000,9.97
831600,9.59
835200,8.94
838800,9.31
842400,9.9
846000,9.56
849600,8.67
853200,7.95
856800,7.68
860400,7.48
864000,7.02
867600,6.59
871200,5.77
874800,4.98
878400,4.3
882000,3.92
885600,3.56
889200,3.76
892800,5.42
896400,7.29
900000,8.33
903600,8.9
907200,9.41
910800,9.56
914400,9.06
918000,7.78
921600,5.54
925200,4.21
928800,3.89
932400,3.31
936000,2.98
939600,3.01
943200,2.87
946800,2.28
950400,1.98
954000,1.64
957600,1.49
961200,1.43
964800,1.4
968400,1.42
972000,1.46
975600,1.5
979200,2.63
982800,3.34
986400,3.63
990000,4.18
993600,4.61
997200,4.8
1000800,4.71
1004400,3.92
1008000,1.68
1011600,1.44
1015200,1.5
1018800,1.65
1022400,1.82
1026000,2.14
1029600,2.49
1033200,2.47
1036800,2.2
1040400,2.17
1044000,2.15
1047600,2.14
1051200,2.2
1054800,2.38
1058400,2.57
1062000,3.08
1065600,4.75
1069200,5.64
1072800,7.54
1076400,8.22
1080000,8.47
1083600,8.28
1087200,7.56
1090800,6.02
1094400,2.91
