time,buy_yuan_per_kwh,sell_yuan_per_kwh,band
0,0.63457,0.1875,F
3600,0.63457,0.1875,F
7200,0.28359,0.1875,V
10800,0.28359,0.1875,V
14400,0.28359,0.1875,V
18000,0.28359,0.1875,V
21600,0.63457,0.1875,F
25200,0.98555,0.1875,P
28800,0.98555,0.1875,P
32400,0.63457,0.1875,F
36000,0.28359,0.1875,V
39600,0.18331,0.1875,D
43200,0.18331,0.1875,D
46800,0.18331,0.1875,D
50400,0.28359,0.1875,V
54000,0.63457,0.1875,F
57600,1.13597,0.1875,S
61200,1.13597,0.1875,S
64800,1.13597,0.1875,S
68400,0.98555,0.1875,P
72000,0.98555,0.1875,P
75600,0.63457,0.1875,F
79200,0.63457,0.1875,F
82800,0.63457,0.1875,F
86400,0.63457,0.1875,F
90000,0.63457,0.1875,F
93600,0.28359,0.1875,V
97200,0.28359,0.1875,V
100800,0.28359,0.1875,V
104400,0.28359,0.1875,V
108000,0.63457,0.1875,F
111600,0.98555,0.1875,P
115200,0.98555,0.1875,P
118800,0.63457,0.1875,F
122400,0.28359,0.1875,V
126000,0.18331,0.1875,D
129600,0.18331,0.1875,D
133200,0.18331,0.1875,D
136800,0.28359,0.1875,V
140400,0.63457,0.1875,F
144000,1.13597,0.1875,S
147600,1.13597,0.1875,S
151200,1.13597,0.1875,S
154800,0.98555,0.1875,P
158400,0.98555,0.1875,P
162000,0.63457,0.1875,F
165600,0.63457,0.1875,F
169200,0.63457,0.1875,F
172800,0.63457,0.1875,F
176400,0.63457,0.1875,F
180000,0.28359,0.1875,V
183600,0.28359,0.1875,V
187200,0.28359,0.1875,V
190800,0.28359,0.1875,V
194400,0.63457,0.1875,F
198000,0.98555,0.1875,P
201600,0.98555,0.1875,P
205200,0.63457,0.1875,F
208800,0.28359,0.1875,V
212400,0.18331,0.1875,D
216000,0.18331,0.1875,D
219600,0.18331,0.1875,D
223200,0.28359,0.1875,V
226800,0.63457,0.1875,F
230400,1.13597,0.1875,S
234000,1.13597,0.1875,S
237600,1.13597,0.1875,S
241200,0.98555,0.1875,P
244800,0.98555,0.1875,P
248400,0.63457,0.1875,F
252000,0.63457,0.1875,F
255600,0.63457,0.1875,F
259200,0.63457,0.1875,F
262800,0.63457,0.1875,F
266400,0.28359,0.1875,V
270000,0.28359,0.1875,V
273600,0.28359,0.1875,V
277200,0.28359,0.1875,V
280800,0.63457,0.1875,F
284400,0.98555,0.1875,P
288000,0.98555,0.1875,P
291600,0.63457,0.1875,F
295200,0.28359,0.1875,V
298800,0.18331,0.1875,D
302400,0.18331,0.1875,D
306000,0.18331,0.1875,D
309600,0.28359,0.1875,V
313200,0.63457,0.1875,F
316800,1.13597,0.1875,S
320400,1.13597,0.1875,S
324000,1.13597,0.1875,S
327600,0.98555,0.1875,P
331200,0.98555,0.1875,P
334800,0.63457,0.1875,F
338400,0.63457,0.1875,F
342000,0.63457,0.1875,F
345600,0.63457,0.1875,F
349200,0.63457,0.1875,F
352800,0.28359,0.1875,V
356400,0.28359,0.1875,V
360000,0.28359,0.1875,V
