time,value
0,0.0
3600,0.0
7200,0.0
10800,0.0
14400,0.0
18000,0.0
21600,0.0
25200,26.53
28800,192.27
32400,351.97
36000,453.1
39600,518.4
43200,527.68
46800,431.46
50400,336.99
54000,188.09
57600,32.04
61200,0.0
64800,0.0
68400,0.0
72000,0.0
75600,0.0
79200,0.0
82800,0.0
86400,0.0
90000,0.0
93600,0.0
97200,0.0
100800,0.0
104400,0.0
108000,0.0
111600,29.4
115200,174.9
118800,346.29
122400,472.27
126000,525.73
129600,490.48
133200,454.65
136800,338.41
140400,185.75
144000,34.88
147600,0.0
151200,0.0
154800,0.0
158400,0.0
162000,0.0
165600,0.0
169200,0.0
172800,0.0
176400,0.0
180000,0.0
183600,0.0
187200,0.0
190800,0.0
194400,0.0
198000,27.88
201600,158.57
205200,318.15
208800,442.85
212400,427.55
216000,350.2
219600,370.62
223200,260.83
226800,131.77
230400,23.41
234000,0.0
237600,0.0
241200,0.0
244800,0.0
248400,0.0
252000,0.0
255600,0.0
259200,0.0
262800,0.0
266400,0.0
270000,0.0
273600,0.0
277200,0.0
280800,0.0
284400,37.24
288000,222.68
291600,383.43
295200,496.1
298800,547.98
302400,479.55
306000,351.16
309600,289.72
313200,167.74
316800,37.24
320400,0.0
324000,0.0
327600,0.0
331200,0.0
334800,0.0
338400,0.0
342000,0.0
345600,0.0
349200,0.0
352800,0.0
356400,0.0
360000,0.0
363600,0.0
367200,0.0
370800,34.59
374400,225.71
378000,400.05
381600,503.55
385200,582.75
388800,578.27
392400,504.91
396000,408.71
399600,242.25
403200,53.73
406800,0.0
410400,0.0
414000,0.0
417600,0.0
421200,0.0
424800,0.0
428400,0.0
432000,0.0
435600,0.0
439200,0.0
442800,0.0
446400,0.0
450000,0.0
453600,0.0
457200,37.07
460800,169.54
464400,319.86
468000,439.88
471600,524.29
475200,535.91
478800,472.92
482400,377.87
486000,220.84
489600,50.06
493200,0.0
496800,0.0
500400,0.0
504000,0.0
507600,0.0
511200,0.0
514800,0.0
518400,0.0
522000,0.0
525600,0.0
529200,0.0
532800,0.0
536400,0.0
540000,0.0
543600,41.09
547200,198.76
550800,376.48
554400,491.05
