time,value
0,260.63
3600,260.42
7200,259.98
10800,259.51
14400,259.22
18000,258.98
21600,258.7
25200,258.5
28800,259.77
32400,262.2
36000,265.39
39600,267.77
43200,269.5
46800,270.63
50400,271.03
54000,269.24
57600,265.61
61200,264.09
64800,262.99
68400,261.99
72000,261.17
75600,260.57
79200,260.13
82800,259.75
86400,259.35
90000,258.95
93600,258.6
97200,258.3
100800,258.07
104400,257.95
108000,257.89
111600,258.04
115200,260.84
118800,263.35
122400,266.55
126000,269.59
129600,271.78
133200,272.97
136800,273.26
140400,270.98
144000,267.63
147600,266.08
151200,264.69
154800,263.45
158400,262.52
162000,261.79
165600,261.23
169200,260.76
172800,260.31
176400,259.89
180000,259.52
183600,259.39
187200,259.49
190800,259.55
194400,259.34
198000,259.4
201600,262.02
205200,264.26
208800,266.6
212400,268.53
216000,269.88
219600,270.61
223200,270.73
226800,269.51
230400,266.96
234000,265.09
237600,263.91
241200,262.83
244800,261.97
248400,261.16
252000,260.45
255600,259.89
259200,259.5
262800,259.27
266400,259.09
270000,258.81
273600,258.69
277200,258.8
280800,259.02
284400,259.41
288000,261.35
291600,263.74
295200,265.69
298800,268.64
302400,270.59
306000,271.41
309600,271.6
313200,270.33
316800,267.3
320400,265.86
324000,264.84
327600,264.07
331200,263.54
334800,263.1
338400,262.52
342000,261.93
345600,261.45
349200,261.16
352800,260.75
356400,260.21
360000,259.87
363600,260.02
367200,260.4
370800,261.08
374400,262.95
378000,265.44
381600,268.23
385200,270.42
388800,272.27
392400,273.41
396000,273.45
399600,271.45
403200,267.56
406800,265.58
410400,264.2
414000,263.28
417600,262.62
421200,262.09
424800,261.61
428400,261.21
432000,260.99
435600,261.1
439200,261.55
442800,262.0
446400,262.28
450000,262.39
453600,262.13
457200,261.69
460800,262.78
464400,265.7
468000,268.67
471600,271.14
475200,272.91
478800,273.94
482400,274.07
486000,272.13
489600,268.37
493200,266.79
496800,265.73
500400,264.8
504000,264.01
507600,263.45
511200,262.94
514800,262.52
518400,262.33
522000,262.44
525600,262.7
529200,263.05
532800,263.46
536400,263.5
540000,263.2
543600,262.43
547200,263.37
550800,265.71
554400,268.94
558000,271.88
561600,272.7
565200,271.34
568800,269.54
572400,268.66
576000,267.27
579600,266.59
583200,266.31
586800,266.14
590400,265.66
594000,265.26
597600,264.67
601200,263.88
604800,256.48
608400,256.05
612000,255.76
615600,255.4
619200,255.16
622800,255.06
626400,254.97
630000,255.16
633600,257.06
637200,259.99
640800,263.41
644400,266.22
648000,268.73
651600,270.16
655200,270.66
658800,269.88
662400,266.66
666000,265.21
669600,264.47
673200,262.97
676800,261.77
680400,260.91
684000,260.11
687600,259.32
691200,258.64
694800,258.05
698400,257.51
702000,256.98
705600,256.64
709200,256.47
712800,256.4
716400,257.28
720000,260.89
723600,264.52
727200,267.98
730800,269.61
734400,270.35
738000,270.06
741600,269.07
745200,267.72
748800,265.2
752400,263.01
756000,261.85
759600,261.03
763200,260.44
766800,260.01
770400,259.54
774000,258.85
777600,258.14
781200,257.61
784800,257.24
788400,257.71
792000,258.05
795600,258.2
799200,257.57
802800,258.14
806400,261.59
810000,264.73
813600,267.08
817200,267.77
820800,267.66
824400,267.14
828000,266.45
831600,265.41
835200,263.7
838800,262.13
842400,261.04
846000,260.08
849600,259.4
853200,258.9
856800,259.34
860400,257.86
864000,256.68
867600,255.72
871200,254.88
874800,254.15
878400,253.54
882000,253.01
885600,252.55
889200,253.0
892800,254.61
896400,256.02
900000,257.23
903600,258.05
907200,258.45
910800,258.43
914400,257.77
918000,256.48
921600,254.85
925200,254.0
928800,253.63
932400,252.8
936000,251.99
939600,251.42
943200,250.94
946800,250.63
950400,250.59
954000,250.48
957600,250.28
961200,249.73
964800,249.09
968400,248.6
972000,248.36
975600,249.37
979200,252.39
982800,255.33
986400,257.66
990000,259.55
993600,261.15
997200,262.19
1000800,262.6
1004400,262.19
1008000,259.31
1011600,257.34
1015200,256.38
1018800,255.59
1022400,255.05
1026000,254.77
1029600,254.57
1033200,254.48
1036800,254.13
1040400,254.14
1044000,254.06
1047600,253.76
1051200,253.24
1054800,252.69
1058400,252.92
1062000,253.58
1065600,255.8
1069200,258.64
1072800,263.27
1076400,266.05
1080000,267.56
1083600,268.0
1087200,267.2
1090800,265.32
1094400,262.66
1098000,260.48
1101600,259.47
1105200,258.74
1108800,258.23
1112400,257.68
1116000,256.99
1119600,256.35
