time,step,reward,terminated,truncated,fmu_status,fmu_error,failure_type,transition_valid,requested_u_tp,requested_u_battery,requested_caes_mode,requested_caes_magnitude,decoded_u_tp,decoded_u_battery,decoded_u_caes,rt_economic_cashflow_total,rt_economic_cashflow_delta,rt_economic_reward,rt_raw_total_cost,rt_normalized_cost,rt_cost_reference,rt_cost_reference_missing,rt_terminal_soc_bonus,rt_reward,rt_terminal_soc_l1_error,rt_terminal_soc_l2_error,rt_terminal_soc_tolerance,rt_terminal_soc_satisfied,rt_soc_shaping_reward,rt_soc_shaping_coef,rt_soc_l1_prev,rt_economic_cashflow_wind,rt_economic_cashflow_delta_wind,rt_raw_wind_cost,rt_economic_cashflow_pv,rt_economic_cashflow_delta_pv,rt_raw_pv_cost,rt_economic_cashflow_thermal,rt_economic_cashflow_delta_thermal,rt_raw_thermal_cost,rt_economic_cashflow_battery,rt_economic_cashflow_delta_battery,rt_raw_battery_cost,rt_economic_cashflow_caes,rt_economic_cashflow_delta_caes,rt_raw_caes_cost,rt_economic_cashflow_load,rt_economic_cashflow_delta_load,rt_raw_load_cost,rt_economic_cashflow_grid,rt_economic_cashflow_delta_grid,rt_raw_grid_cost,obs_battery_soc,obs_caes_gas_soc,obs_caes_hot_soc,obs_caes_cold_soc,obs_caes_gas_pressure,obs_caes_gas_temperature,obs_caes_hot_temperature,obs_caes_cold_temperature,obs_p_thermal,obs_p_battery,obs_p_caes,obs_p_grid,obs_p_wind_available,obs_p_wind_actual,obs_p_pv_available,obs_p_pv_actual,obs_p_load_actual,obs_p_curtailment,obs_p_unserved,u_tp_dynamic_low,u_tp_dynamic_high,u_battery_dynamic_low,u_battery_dynamic_high,caes_discharge_allowed,caes_idle_allowed,caes_charge_allowed,caes_locked_mode,caes_locked_steps_completed,caes_locked_steps_remaining
3600.0,0,0.0075146289280235146,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,8580.213810000014,8580.213810000014,0.05481169560324767,-8580.213810000014,-0.05481169560324767,156539.83544146415,0.0,0.0,0.0075146289280235146,0.023648533337612077,0.0005592531290201498,0.05,1.0,-0.04729706667522415,2.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-59999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,107098.93095000001,107098.93095000001,-107098.93095000001,-38518.71714,-38518.71714,38518.71714,0.5,0.8263514637947083,0.5,0.5,8263514.5,272.8417053222656,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-53661340.0,0.0,0.0,-0.0,-0.0,203661344.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
7200.0,1,0.034079413916553815,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,18214.079790000025,9633.865980000011,0.0615425840510894,-9633.865980000011,-0.0615425840510894,156539.83544146415,0.0,0.0,0.034079413916553815,0.03738011840487987,0.0013972732519628387,0.05,1.0,-0.027463170134535586,2.0,0.023648533337612077,0.0,0.0,-0.0,0.0,0.0,-0.0,-119999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,208929.60105,101830.67009999999,-101830.67009999999,-70715.52126000001,-32196.804120000008,32196.804120000008,0.5,0.8126198649406433,0.5,0.5,8126199.0,268.3078308105469,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-86498880.0,0.0,0.0,-0.0,-0.0,236498880.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
10800.0,2,0.023934101933376653,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,24564.192030000042,6350.112240000017,0.04056547154334113,-6350.112240000017,-0.04056547154334113,156539.83544146415,0.0,0.0,0.023934101933376653,0.04569580320986211,0.002088106430994444,0.05,1.0,-0.016631369609964475,2.0,0.03738011840487987,0.0,0.0,-0.0,0.0,0.0,-0.0,-179999.99999999997,-59999.999999999985,59999.999999999985,0.0,0.0,-0.0,0.0,0.0,-0.0,327179.0398499999,118249.43879999989,-118249.43879999989,-122614.84782000005,-51899.326560000045,51899.326560000045,0.5,0.8043041825294495,0.5,0.5,8043042.0,265.5621643066406,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-67318752.0,0.0,0.0,-0.0,-0.0,217318752.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
14400.0,3,0.043486908521934965,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,32832.31652000005,8268.12449000001,0.05281802211355816,-8268.12449000001,-0.05281802211355816,156539.83544146415,0.0,0.0,0.043486908521934965,0.050361360005673705,0.002536266581621071,0.05,0.0,-0.009331113591623197,2.0,0.04569580320986211,0.0,0.0,-0.0,0.0,0.0,-0.0,-239999.99999999997,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,435838.4174000001,108659.37755000021,-108659.37755000021,-163006.10088000007,-40391.25306000002,40391.25306000002,0.5,0.7996386289596558,0.5,0.5,7996386.5,264.0216979980469,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-82610264.0,0.0,0.0,-0.0,-0.0,232610256.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
18000.0,4,0.03864197729621043,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,39571.290170000095,6738.973650000044,0.04304957668439601,-6738.973650000044,-0.04304957668439601,156539.83544146415,0.0,0.0,0.03864197729621043,0.052565159699766495,0.002763096014261956,0.05,0.0,-0.004407599388185579,2.0,0.050361360005673705,0.0,0.0,-0.0,0.0,0.0,-0.0,-299999.99999999994,-59999.99999999997,59999.99999999997,0.0,0.0,-0.0,0.0,0.0,-0.0,552143.5491499999,116305.13174999977,-116305.13174999977,-212572.25897999996,-49566.158099999884,49566.158099999884,0.5,0.7974348664283752,0.5,0.5,7974348.5,263.2940673828125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-74087872.0,0.0,0.0,-0.0,-0.0,224087872.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
21600.0,5,0.04554241275373322,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,47162.50291000014,7591.212740000046,0.04849380810061393,-7591.212740000046,-0.04849380810061393,156539.83544146415,0.0,0.0,0.04554241275373322,0.05404085737320685,0.0029204142656312853,0.05,0.0,-0.002951395346880714,2.0,0.052565159699766495,0.0,0.0,-0.0,0.0,0.0,-0.0,-359999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,664187.4854499993,112043.93629999948,-112043.93629999948,-257024.98253999997,-44452.72356000001,44452.72356000001,0.5,0.7959591150283813,0.5,0.5,7959591.5,262.80682373046875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-69129680.0,0.0,0.0,-0.0,-0.0,219129680.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
25200.0,6,0.061984370461210164,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,57359.16512213951,10196.662212139367,0.0651378109819993,-10196.662212139367,-0.0651378109819993,156539.83544146415,0.0,0.0,0.061984370461210164,0.05561757763360142,0.0030933149418296813,0.05,0.0,-0.0031534405207891414,2.0,0.05404085737320685,0.0,0.0,-0.0,-1506.8788586709795,-1506.8788586709795,1506.8788586709795,-419999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,773752.326399999,109564.84094999963,-109564.84094999963,-294886.2824191897,-37861.299879189726,37861.299879189726,0.5,0.7943823933601379,0.5,0.5,7943824.0,262.2862243652344,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-52945856.0,0.0,0.0,-13398437.0,-13398437.0,216344288.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
28800.0,7,0.1277254858254403,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,77369.10443103759,20009.93930889808,0.12782650021617348,-20009.93930889808,-0.12782650021617348,156539.83544146415,0.0,0.0,0.1277254858254403,0.05566808482896801,0.0030989356685251785,0.05,0.0,-0.00010101439073317842,2.0,0.05561757763360142,-17.53094653597131,-17.53094653597131,17.53094653597131,-9815.340575977785,-8308.461717306805,8308.461717306805,-479999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,881924.4723999985,108172.14599999948,-108172.14599999948,-314722.49644644884,-19836.21402725915,19836.21402725915,0.5,0.7943319082260132,0.5,0.5,7943319.0,262.2695617675781,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,4269194.5,-2162042.25,-2162042.25,-57259148.0,-57259148.0,205152000.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
32400.0,8,0.15336494584266308,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,100502.80332618534,23133.698895147754,0.14778154601930876,-23133.698895147754,-0.14778154601930876,156539.83544146415,0.0,0.0,0.15336494584266308,0.05287638491729085,0.0027959120819215037,0.05,0.0,0.005583399823354318,2.0,0.05566808482896801,-3536.2840041798554,-3518.753057643884,3518.753057643884,-28838.181282107827,-19022.840706130042,19022.840706130042,-539999.9999999999,-59999.99999999994,59999.99999999994,0.0,0.0,-0.0,0.0,0.0,-0.0,984500.4703499989,102575.99795000046,-102575.99795000046,-311623.2017375272,3099.2947089216323,-3099.2947089216323,0.5,0.7971236109733582,0.5,0.5,7971236.0,263.1913146972656,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,52603944.0,-22277342.0,-22277342.0,-98847216.0,-98847216.0,218520624.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
36000.0,9,0.12852820722896005,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,119187.91715819252,18685.113832007177,0.11936331592091273,-18685.113832007177,-0.11936331592091273,156539.83544146415,0.0,0.0,0.12852820722896005,0.048293939263267194,0.0023323045695641405,0.05,1.0,0.009164891308047318,2.0,0.05287638491729085,-13586.902433676249,-10050.618429496393,10050.618429496393,-56411.71562221917,-27573.534340111342,27573.534340111342,-599999.9999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1093760.7798499994,109260.30950000044,-109260.30950000044,-304574.24463591224,7048.957101614971,-7048.957101614971,0.5,0.801706075668335,0.5,0.5,8017060.5,264.7043151855469,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,92590248.0,-37318364.0,-37318364.0,-124143960.0,-124143960.0,218872080.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
