time,step,reward,terminated,truncated,fmu_status,fmu_error,failure_type,transition_valid,requested_u_tp,requested_u_battery,requested_caes_mode,requested_caes_magnitude,decoded_u_tp,decoded_u_battery,decoded_u_caes,rt_economic_cashflow_total,rt_economic_cashflow_delta,rt_economic_reward,rt_raw_total_cost,rt_normalized_cost,rt_cost_reference,rt_cost_reference_missing,rt_terminal_soc_bonus,rt_reward,rt_terminal_soc_l1_error,rt_terminal_soc_l2_error,rt_terminal_soc_tolerance,rt_terminal_soc_satisfied,rt_economic_cashflow_wind,rt_economic_cashflow_delta_wind,rt_raw_wind_cost,rt_economic_cashflow_pv,rt_economic_cashflow_delta_pv,rt_raw_pv_cost,rt_economic_cashflow_thermal,rt_economic_cashflow_delta_thermal,rt_raw_thermal_cost,rt_economic_cashflow_battery,rt_economic_cashflow_delta_battery,rt_raw_battery_cost,rt_economic_cashflow_caes,rt_economic_cashflow_delta_caes,rt_raw_caes_cost,rt_economic_cashflow_load,rt_economic_cashflow_delta_load,rt_raw_load_cost,rt_economic_cashflow_grid,rt_economic_cashflow_delta_grid,rt_raw_grid_cost,obs_battery_soc,obs_caes_gas_soc,obs_caes_hot_soc,obs_caes_cold_soc,obs_caes_gas_pressure,obs_caes_gas_temperature,obs_caes_hot_temperature,obs_caes_cold_temperature,obs_p_thermal,obs_p_battery,obs_p_caes,obs_p_grid,obs_p_wind_available,obs_p_wind_actual,obs_p_pv_available,obs_p_pv_actual,obs_p_load_actual,obs_p_curtailment,obs_p_unserved,u_tp_dynamic_low,u_tp_dynamic_high,u_battery_dynamic_low,u_battery_dynamic_high,caes_discharge_allowed,caes_idle_allowed,caes_charge_allowed,caes_locked_mode,caes_locked_steps_completed,caes_locked_steps_remaining
5446800.0,0,0.03904878022109438,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,6112.6896300000135,6112.6896300000135,0.03904878022109438,-6112.6896300000135,-0.03904878022109438,156539.83544146415,0.0,0.0,0.03904878022109438,0.022478970430656275,0.0005053041116223192,0.05,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-59999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,119436.55184999997,119436.55184999997,-119436.55184999997,-53323.86221999999,-53323.86221999999,53323.86221999999,0.5,0.827521026134491,0.5,0.5,8275210.5,273.2278747558594,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-67880296.0,0.0,0.0,-0.0,-0.0,217880304.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
5450400.0,1,0.052459300323404005,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,14324.659870000023,8211.97024000001,0.052459300323404005,-8211.97024000001,-0.052459300323404005,156539.83544146415,0.0,0.0,0.052459300323404005,0.035667344166564474,0.0012721594398961609,0.05,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-119999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,228376.70064999998,108940.14880000001,-108940.14880000001,-94052.04077999995,-40728.178559999964,40728.178559999964,0.5,0.8143326640129089,0.5,0.5,8143326.5,268.87335205078125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-51266188.0,0.0,0.0,-0.0,-0.0,201266192.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
5454000.0,2,0.06307264270564548,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,24198.04098000003,9873.381110000008,0.06307264270564548,-9873.381110000008,-0.06307264270564548,156539.83544146415,0.0,0.0,0.06307264270564548,0.04355557905681273,0.0018970884669742638,0.05,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-179999.99999999997,-59999.999999999985,59999.999999999985,0.0,0.0,-0.0,0.0,0.0,-0.0,329009.7951000001,100633.09445000012,-100633.09445000012,-124811.75411999997,-30759.713340000017,30759.713340000017,0.5,0.8064444065093994,0.5,0.5,8064444.0,266.2688293457031,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-91688984.0,0.0,0.0,-0.0,-0.0,241688976.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
5457600.0,3,0.037249955792757104,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,30029.14293000004,5831.101950000011,0.037249955792757104,-5831.101950000011,-0.037249955792757104,156539.83544146415,0.0,0.0,0.037249955792757104,0.04840751279315081,0.0023432872948190592,0.05,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-239999.99999999997,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,449854.2853499999,120844.4902499998,-120844.4902499998,-179825.1424199999,-55013.38829999993,55013.38829999993,0.5,0.8015924692153931,0.5,0.5,8015925.0,264.6668395996094,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-68159888.0,0.0,0.0,-0.0,-0.0,218159888.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
5461200.0,4,0.05228069204825691,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,38213.15386000004,8184.01093,0.05228069204825691,-8184.01093,-0.05228069204825691,156539.83544146415,0.0,0.0,0.05228069204825691,0.051504676007648076,0.002652731650652799,0.05,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-299999.99999999994,-59999.99999999997,59999.99999999997,0.0,0.0,-0.0,0.0,0.0,-0.0,558934.2306999997,109079.94534999982,-109079.94534999982,-220721.07684000002,-40895.93442000012,40895.93442000012,0.5,0.798495352268219,0.5,0.5,7984953.0,263.64422607421875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-89428088.0,0.0,0.0,-0.0,-0.0,239428096.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
5464800.0,5,0.03869424650229056,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,44270.344840000056,6057.190980000014,0.03869424650229056,-6057.190980000014,-0.03869424650229056,156539.83544146415,0.0,0.0,0.03869424650229056,0.05352801564889009,0.0028652484593078226,0.05,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-359999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,678648.2758,119714.04510000022,-119714.04510000022,-274377.93095999997,-53656.854119999945,53656.854119999945,0.5,0.7964720129966736,0.5,0.5,7964720.0,262.9761657714844,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-93982984.0,0.0,0.0,-0.0,-0.0,243982976.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
5468400.0,6,0.049852907818928684,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,52074.31082625363,7803.965986253577,0.049852907818928684,-7803.965986253577,-0.049852907818928684,156539.83544146415,0.0,0.0,0.049852907818928684,0.05393887325781077,0.002909402048322174,0.05,0.0,0.0,0.0,-0.0,-1573.0459330382805,-1573.0459330382805,1573.0459330382805,-419999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,800639.7674000002,121991.4916000003,-121991.4916000003,-326992.41064070805,-52614.479680708086,52614.479680708086,0.5,0.796061098575592,0.5,0.5,7960611.5,262.84051513671875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-69881072.0,0.0,0.0,-13944320.0,-13944320.0,233825392.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
5472000.0,7,0.12635860920954908,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,71854.46671852873,19780.155892275092,0.12635860920954908,-19780.155892275092,-0.12635860920954908,156539.83544146415,0.0,0.0,0.12635860920954908,0.05090857329668008,0.0025916828351034483,0.05,0.0,0.0,0.0,-0.0,-10974.970998949066,-9401.925065910786,9401.925065910786,-479999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,917552.4634000002,116912.696,-116912.696,-354723.02568252216,-27730.615041814104,27730.615041814104,0.5,0.7990913987159729,0.5,0.5,7990914.5,263.8410339355469,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-11222743.0,0.0,0.0,-66039460.0,-66039460.0,227262208.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
5475600.0,8,0.20411011185854275,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,103805.83004080385,31951.363322275123,0.20411011185854275,-31951.363322275123,-0.20411011185854275,156539.83544146415,0.0,0.0,0.20411011185854275,0.04457337654715343,0.0019867858968143277,0.05,1.0,0.0,0.0,-0.0,-32569.71513267569,-21594.744133726625,21594.744133726625,-539999.9999999999,-59999.99999999994,59999.99999999994,0.0,0.0,-0.0,0.0,0.0,-0.0,1031183.5649500003,113631.10155000002,-113631.10155000002,-354808.01977652044,-84.9940939982771,84.9940939982771,0.5,0.8054265975952148,0.5,0.5,8054266.0,265.9327697753906,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,15822616.0,0.0,0.0,-110767056.0,-110767056.0,244944448.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
5479200.0,9,0.22200711837315862,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,138558.78781777175,34752.9577769679,0.22200711837315862,-34752.9577769679,-0.22200711837315862,156539.83544146415,0.0,0.0,0.22200711837315862,0.036875765446607645,0.0013598220772732222,0.05,1.0,0.0,0.0,-0.0,-62944.41397106252,-30374.698838386827,30374.698838386827,-599999.9999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1153655.7862999998,122472.22134999954,-122472.22134999954,-352152.5845111657,2655.435265354754,-2655.435265354754,0.5,0.8131242394447327,0.5,0.5,8131242.5,268.4743347167969,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,79427872.0,0.0,0.0,-134402544.0,-134402544.0,204974672.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
