time,step,reward,terminated,truncated,fmu_status,fmu_error,failure_type,transition_valid,requested_u_tp,requested_u_battery,requested_caes_mode,requested_caes_magnitude,decoded_u_tp,decoded_u_battery,decoded_u_caes,rt_economic_cashflow_total,rt_economic_cashflow_delta,rt_economic_reward,rt_raw_total_cost,rt_normalized_cost,rt_cost_reference,rt_cost_reference_missing,rt_terminal_soc_bonus,rt_reward,rt_terminal_soc_l1_error,rt_terminal_soc_l1_full,rt_terminal_soc_l1_energy,rt_terminal_soc_l2_error,rt_terminal_soc_tolerance,rt_terminal_soc_satisfied,rt_soc_shaping_reward,rt_soc_shaping_potential,rt_soc_shaping_absolute,rt_soc_shaping_coef,rt_soc_recovery_scale,rt_soc_l1_prev,rt_market_settlement_enabled,rt_market_grid_cashflow,rt_market_grid_cost,rt_market_buy_cost,rt_market_sell_revenue,rt_market_energy_buy_mwh,rt_market_energy_sell_mwh,rt_market_buy_yuan_per_kwh,rt_market_sell_yuan_per_kwh,rt_p_grid_mw,rt_fmu_grid_cashflow_delta,rt_economic_cashflow_wind,rt_economic_cashflow_delta_wind,rt_raw_wind_cost,rt_economic_cashflow_pv,rt_economic_cashflow_delta_pv,rt_raw_pv_cost,rt_economic_cashflow_thermal,rt_economic_cashflow_delta_thermal,rt_raw_thermal_cost,rt_economic_cashflow_battery,rt_economic_cashflow_delta_battery,rt_raw_battery_cost,rt_economic_cashflow_caes,rt_economic_cashflow_delta_caes,rt_raw_caes_cost,rt_economic_cashflow_load,rt_economic_cashflow_delta_load,rt_raw_load_cost,rt_economic_cashflow_grid,rt_economic_cashflow_delta_grid,rt_raw_grid_cost,obs_battery_soc,obs_caes_gas_soc,obs_caes_hot_soc,obs_caes_cold_soc,obs_caes_gas_pressure,obs_caes_gas_temperature,obs_caes_hot_temperature,obs_caes_cold_temperature,obs_p_thermal,obs_p_battery,obs_p_caes,obs_p_grid,obs_p_wind_available,obs_p_wind_actual,obs_p_pv_available,obs_p_pv_actual,obs_p_load_actual,obs_p_curtailment,obs_p_unserved,u_tp_dynamic_low,u_tp_dynamic_high,u_battery_dynamic_low,u_battery_dynamic_high,caes_discharge_allowed,caes_idle_allowed,caes_charge_allowed,caes_locked_mode,caes_locked_steps_completed,caes_locked_steps_remaining
15728400.0,0,0.3914094410966279,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,7898.192009999992,64204.63809375001,0.4101488794381569,-64204.63809375001,-0.4101488794381569,156539.83544146415,0.0,0.0,0.3914094410966279,0.0036888658152616216,0.0036888658152616216,0.0036888658152616216,1.3607731003005788e-05,0.06,1.0,-0.01873943834152904,-0.018444329076308108,-0.00029510926522092974,5.0,1.0,0.0,1.0,13695.598143749998,-13695.598143749998,0.0,13695.598143749998,0.0,73.04319009999999,0.63457,0.1875,-73.04319009999999,-42610.847940000014,0.0,0.0,-0.0,0.0,0.0,-0.0,-59999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,110509.03994999999,110509.03994999999,-110509.03994999999,-42610.847940000014,13695.598143749998,-13695.598143749998,0.5,0.8536888360977173,0.5,0.5,8536889.0,281.86798095703125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-73043192.0,0.0,0.0,-0.0,-0.0,223043184.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
15732000.0,1,0.41476530740678913,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,15593.872999999992,65916.93233749995,0.4210872724607447,-65916.93233749995,-0.4210872724607447,156539.83544146415,0.0,0.0,0.41476530740678913,0.004875254750051905,0.004875254750051905,0.004875254750051905,2.376810887790366e-05,0.06,1.0,-0.00632196505395557,-0.005931944673951417,-0.0003900203800041524,5.0,1.0,0.0036888658152616216,1.0,14395.337287499997,-14395.337287499997,0.0,14395.337287499997,0.0,76.77513219999999,0.28359,0.1875,-76.77513219999999,-43825.91405999996,0.0,0.0,-0.0,0.0,0.0,-0.0,-119999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,222030.6349999999,111521.5950499999,-111521.5950499999,-86436.76199999997,14395.337287499997,-14395.337287499997,0.5,0.8548752665519714,0.5,0.5,8548753.0,282.2596740722656,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-76775136.0,0.0,0.0,-0.0,-0.0,226775136.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
15735600.0,2,0.4504401611421467,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,22916.35977999999,70529.02990624995,0.4505500450243113,-70529.02990624995,-0.4505500450243113,156539.83544146415,0.0,0.0,0.4504401611421467,0.004820109770162229,0.004820109770162229,0.004820109770162229,2.3233458196413373e-05,0.06,1.0,-0.00010988388216459644,0.00027572489944838185,-0.0003856087816129783,5.0,1.0,0.004875254750051905,1.0,17141.46380625,-17141.46380625,0.0,17141.46380625,0.0,91.4211403,0.28359,0.1875,-91.4211403,-46065.079319999946,0.0,0.0,-0.0,0.0,0.0,-0.0,-179999.99999999997,-59999.999999999985,59999.999999999985,0.0,0.0,-0.0,0.0,0.0,-0.0,335418.20109999983,113387.56609999994,-113387.56609999994,-132501.84131999992,17141.46380625,-17141.46380625,0.5,0.8548201322555542,0.5,0.5,8548201.0,282.2414855957031,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-91421144.0,0.0,0.0,-0.0,-0.0,241421136.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
15739200.0,3,0.502152708534845,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,29380.92073059676,78289.82656252236,0.5001271806740701,-78289.82656252236,-0.5001271806740701,156539.83544146415,0.0,0.0,0.502152708534845,0.004345476572841789,0.004345476572841789,0.004345476572841789,1.888316664511682e-05,0.06,1.0,0.002025527860774856,0.0023731659866021992,-0.0003476381258273431,5.0,1.0,0.004820109770162229,1.0,18012.595684377164,-18012.595684377164,0.0,18012.595684377164,0.0,96.06717698334488,0.28359,0.1875,-96.06717698334488,-53812.66992754841,0.0,0.0,-0.0,-433.33927185483145,-433.33927185483145,433.33927185483145,-239999.99999999997,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,456128.7712500001,120710.57015000028,-120710.57015000028,-186314.51124754833,18012.595684377164,-18012.595684377164,0.5,0.8543455004692078,0.5,0.5,8543455.0,282.08477783203125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-96067176.0,0.0,0.0,-3851327.5,-3851327.5,249918512.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
15742800.0,4,0.414857279502728,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,40991.5548640318,66283.13061453197,0.42342660210165867,-66283.13061453197,-0.42342660210165867,156539.83544146415,0.0,0.0,0.414857279502728,0.00596391839825583,0.00596391839825583,0.00596391839825583,3.556832266105438e-05,0.06,1.0,-0.008569322598930671,-0.008092209127070205,-0.0004771134718604664,5.0,1.0,0.004345476572841789,1.0,6039.938738414146,-6039.938738414146,0.0,6039.938738414146,0.0,32.213006604875446,0.28359,0.1875,-32.213006604875446,-48632.55774268278,0.0,0.0,-0.0,-5149.399695737009,-4716.060423882178,4716.060423882178,-299999.99999999994,-59999.99999999997,59999.99999999997,0.0,0.0,-0.0,0.0,0.0,-0.0,581088.0235500003,124959.25230000017,-124959.25230000017,-234947.0689902311,6039.938738414146,-6039.938738414146,0.5,0.855963945388794,0.5,0.5,8559639.0,282.619140625,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-32213006.0,0.0,0.0,-36907268.0,-36907268.0,219120272.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
15746400.0,5,0.14545040305782125,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,68765.27916308894,26899.798891405168,0.17183995891872497,-26899.798891405168,-0.17183995891872497,156539.83544146415,0.0,0.0,0.14545040305782125,0.011064792884287966,0.011064792884287966,0.011064792884287966,0.0001224296415721896,0.06,1.0,-0.02638955586090372,-0.025504372430160682,-0.0008851834307430373,5.0,1.0,0.00596391839825583,1.0,-7742.322382056575,7742.322382056575,7742.322382056575,0.0,27.30111210570392,0.0,0.28359,0.1875,27.30111210570392,-6868.396974404604,0.0,0.0,-0.0,-20067.414872275232,-14918.015176538223,14918.015176538223,-359999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,690648.1600000008,109560.13645000057,-109560.13645000057,-241815.46596463572,-7742.322382056575,7742.322382056575,0.5,0.8610647916793823,0.5,0.5,8610648.0,284.3033142089844,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,27301112.0,0.0,0.0,-86805112.0,-86805112.0,209504000.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
15750000.0,6,-0.06608298085967981,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,91314.62303917402,-3981.6875499240377,-0.025435618599541285,3981.6875499240377,0.025435618599541285,156539.83544146415,0.0,0.0,-0.06608298085967981,0.018891993441255583,0.018891993441255583,0.018891993441255583,0.000356907416184444,0.06,1.0,-0.040647362260138535,-0.039136002784838086,-0.0015113594753004467,5.0,1.0,0.011064792884287966,1.0,-21646.594160065823,21646.594160065823,21646.594160065823,0.0,34.112224277961175,0.0,0.63457,0.1875,34.112224277961175,4884.437265943299,0.0,0.0,-0.0,-47154.507812133415,-27087.092939858183,27087.092939858183,-419999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,795400.1595500004,104751.9995499996,-104751.9995499996,-236931.02869869242,-21646.594160065823,21646.594160065823,0.5,0.8688920140266418,0.5,0.5,8688920.0,286.8876647949219,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,34112224.0,0.0,0.0,-133731792.0,-133731792.0,249619568.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
15753600.0,7,-0.2143807955936455,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,123713.11687666518,-26240.429930721766,-0.1676278108809818,26240.429930721766,0.1676278108809818,156539.83544146415,0.0,0.0,-0.2143807955936455,0.02779782518089402,0.02779782518089402,0.02779782518089402,0.0007727190847875456,0.06,1.0,-0.0467529847126637,-0.044529158698192184,-0.0022238260144715216,5.0,1.0,0.018891993441255583,1.0,-53634.65854320698,53634.65854320698,53634.65854320698,0.0,84.52126407363566,0.0,0.63457,0.1875,84.52126407363566,5004.265225005947,0.0,0.0,-0.0,-84570.06254964812,-37415.55473751471,37415.55473751471,-479999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,920209.9429000004,124809.78334999993,-124809.78334999993,-231926.76347368647,-53634.65854320698,53634.65854320698,0.5,0.8777978420257568,0.5,0.5,8777978.0,289.828125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,84521264.0,0.0,0.0,-168518112.0,-168518112.0,233996848.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
15757200.0,8,-0.37194534088088194,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,145106.29594051334,-51749.54670943771,-0.3305838834153414,51749.54670943771,0.3305838834153414,156539.83544146415,0.0,0.0,-0.37194534088088194,0.03550208334055327,0.03550208334055327,0.03550208334055327,0.00126039792151959,0.06,1.0,-0.04136145746554051,-0.03852129079829625,-0.0028401666672442615,5.0,1.0,0.02779782518089402,1.0,-63405.37178251796,63405.37178251796,63405.37178251796,0.0,99.91864062675192,0.0,0.63457,0.1875,99.91864062675192,9737.353990767908,0.0,0.0,-0.0,-129912.65757656781,-45342.59502691969,45342.59502691969,-539999.9999999999,-59999.99999999994,59999.99999999994,0.0,0.0,-0.0,0.0,0.0,-0.0,1037208.3630000006,116998.42010000022,-116998.42010000022,-222189.40948291856,-63405.37178251796,63405.37178251796,0.5,0.8855020999908447,0.5,0.5,8855021.0,292.37188720703125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,99918640.0,0.0,-0.0,-196663440.0,-196663440.0,246744800.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
15760800.0,9,-0.4364018613071244,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,168881.53139835017,-63331.88355006238,-0.4045735922198822,63331.88355006238,0.4045735922198822,156539.83544146415,0.0,0.0,-0.4364018613071244,0.041208402714568604,0.041208402714568604,0.041208402714568604,0.0016981324542860651,0.06,1.0,-0.03182826908724216,-0.02853159687007667,-0.0032966722171654883,5.0,1.0,0.03550208334055327,1.0,-76833.1424464571,76833.1424464571,76833.1424464571,0.0,121.07906526696362,0.0,0.63457,0.1875,121.07906526696362,10273.976561442105,0.0,0.0,-0.0,-179783.7992801731,-49871.14170360527,49871.14170360527,-599999.9999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1160580.7636000004,123372.40059999982,-123372.40059999982,-211915.43292147646,-76833.1424464571,76833.1424464571,0.5,0.8912084102630615,0.5,0.5,8912084.0,294.2559814453125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,121079064.0,0.0,-0.0,-202899568.0,-202899568.0,231820512.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
