time,step,reward,terminated,truncated,fmu_status,fmu_error,failure_type,transition_valid,requested_u_tp,requested_u_battery,requested_caes_mode,requested_caes_magnitude,decoded_u_tp,decoded_u_battery,decoded_u_caes,rt_economic_cashflow_total,rt_economic_cashflow_delta,rt_economic_reward,rt_raw_total_cost,rt_normalized_cost,rt_cost_reference,rt_cost_reference_missing,rt_terminal_soc_bonus,rt_reward,rt_terminal_soc_l1_error,rt_terminal_soc_l1_full,rt_terminal_soc_l1_energy,rt_terminal_soc_l2_error,rt_terminal_soc_tolerance,rt_terminal_soc_satisfied,rt_soc_shaping_reward,rt_soc_shaping_potential,rt_soc_shaping_absolute,rt_soc_shaping_coef,rt_soc_recovery_scale,rt_soc_l1_prev,rt_market_settlement_enabled,rt_market_grid_cashflow,rt_market_grid_cost,rt_market_buy_cost,rt_market_sell_revenue,rt_market_energy_buy_mwh,rt_market_energy_sell_mwh,rt_market_buy_yuan_per_kwh,rt_market_sell_yuan_per_kwh,rt_p_grid_mw,rt_fmu_grid_cashflow_delta,rt_economic_cashflow_wind,rt_economic_cashflow_delta_wind,rt_raw_wind_cost,rt_economic_cashflow_pv,rt_economic_cashflow_delta_pv,rt_raw_pv_cost,rt_economic_cashflow_thermal,rt_economic_cashflow_delta_thermal,rt_raw_thermal_cost,rt_economic_cashflow_battery,rt_economic_cashflow_delta_battery,rt_raw_battery_cost,rt_economic_cashflow_caes,rt_economic_cashflow_delta_caes,rt_raw_caes_cost,rt_economic_cashflow_load,rt_economic_cashflow_delta_load,rt_raw_load_cost,rt_economic_cashflow_grid,rt_economic_cashflow_delta_grid,rt_raw_grid_cost,obs_battery_soc,obs_caes_gas_soc,obs_caes_hot_soc,obs_caes_cold_soc,obs_caes_gas_pressure,obs_caes_gas_temperature,obs_caes_hot_temperature,obs_caes_cold_temperature,obs_p_thermal,obs_p_battery,obs_p_caes,obs_p_grid,obs_p_wind_available,obs_p_wind_actual,obs_p_pv_available,obs_p_pv_actual,obs_p_load_actual,obs_p_curtailment,obs_p_unserved,u_tp_dynamic_low,u_tp_dynamic_high,u_battery_dynamic_low,u_battery_dynamic_high,caes_discharge_allowed,caes_idle_allowed,caes_charge_allowed,caes_locked_mode,caes_locked_steps_completed,caes_locked_steps_remaining
15728400.0,0,-1.2377154265407442,False,False,ok,,,True,1.0,-0.5101807713508606,0,0.5,1.0,-0.5101807713508606,-0.665,-851.0528614732307,-53089.349384485526,-0.3391427443038135,53089.349384485526,0.3391427443038135,156539.83544146415,0.0,0.0,-1.2377154265407442,0.1768843862671123,0.18305110971893768,0.1768843862671123,0.017728244124105726,0.06,0.0,-0.8985726822369305,-0.8844219313355616,-0.014150750901368985,5.0,1.0,0.0,1.0,-49321.88156585455,49321.88156585455,49321.88156585455,0.0,77.72488703508606,0.0,0.63457,0.1875,77.72488703508606,2916.4149571577436,0.0,0.0,-0.0,0.0,0.0,-0.0,-59999.99999999999,-59999.99999999999,59999.99999999999,-18366.507768630978,-18366.507768630978,18366.507768630978,-35909.99999999999,-35909.99999999999,35909.99999999999,110509.03994999999,110509.03994999999,-110509.03994999999,2916.4149571577436,-49321.88156585455,49321.88156585455,0.3919617235660553,0.8351730108261108,0.4911904036998749,0.5088096261024475,8351730.5,280.3705749511719,469.81109619140625,313.6086120605469,-150000000.0,-51018076.0,-99750000.0,77724888.0,0.0,0.0,-0.0,-0.0,223043184.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,0,1,3
15732000.0,1,-0.17378775137805005,False,False,ok,,,True,1.0,0.0,0,0.5,1.0,0.0,-0.665,11910.680864474183,3065.4292051945476,0.0195824225606831,-3065.4292051945476,-0.0195824225606831,156539.83544146415,0.0,0.0,-0.17378775137805005,0.2121638002508454,0.2251828772752885,0.2121638002508454,0.02264572502051204,0.06,0.0,-0.19337017393873315,-0.17639706991866552,-0.016973104020067634,5.0,1.0,0.1768843862671123,1.0,-6515.442759402004,6515.442759402004,6515.442759402004,0.0,22.974867800000013,0.0,0.28359,0.1875,22.974867800000013,3180.8617613508613,0.0,0.0,-0.0,0.0,0.0,-0.0,-119999.99999999999,-59999.99999999999,59999.99999999999,-20407.23085403442,-2040.7230854034424,2040.7230854034424,-75809.99999999999,-39899.99999999999,39899.99999999999,222030.6349999999,111521.5950499999,-111521.5950499999,6097.276718508605,-6515.442759402004,6515.442759402004,0.3799574673175812,0.8179000020027161,0.48140132427215576,0.5185986757278442,8179000.0,279.7762756347656,466.0780944824219,314.09405517578125,-150000000.0,0.0,-99750000.0,22974868.0,0.0,0.0,-0.0,-0.0,226775136.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,False,False,0,2,2
15735600.0,2,0.2302246218287654,False,False,ok,,,True,1.0,0.1608111560344696,0,0.5,1.0,0.1608111560344696,-0.665,29143.034148784413,17835.714890516763,0.11393722780030759,-17835.714890516763,-0.11393722780030759,156539.83544146415,0.0,0.0,0.2302246218287654,0.18593141874523017,0.2058033121150235,0.18593141874523017,0.01487703748935805,0.06,0.0,0.11628739402845781,0.13116190752807622,-0.014874513499618413,5.0,1.0,0.2121638002508454,1.0,1453.5479818963072,-1453.5479818963072,0.0,1453.5479818963072,0.0,7.752255903446972,0.28359,0.1875,-7.752255903446972,850.1863756897728,0.0,0.0,-0.0,0.0,0.0,-0.0,-179999.99999999997,-59999.999999999985,59999.999999999985,-17512.630045413967,2894.600808620453,-2894.600808620453,-115709.99999999999,-39900.0,39900.0,335418.20109999983,113387.56609999994,-113387.56609999994,6947.463094198378,1453.5479818963072,-1453.5479818963072,0.40890347957611084,0.8007133603096008,0.4716115891933441,0.5283884406089783,8007133.5,279.1894836425781,462.3297424316406,314.5704650878906,-150000000.0,16081116.0,-99750000.0,-7752256.0,0.0,0.0,-0.0,-0.0,241421136.0,-0.0,0.0,0.85,1.0,-0.9773192286491394,1.0,True,False,False,0,3,1
15739200.0,3,0.3808477729020893,False,False,ok,,,True,1.0,0.8888031244277954,0,0.5,1.0,0.8888031244277954,-0.665,22917.437995842687,52671.83869731278,0.3364756232735958,-52671.83869731278,-0.3364756232735958,156539.83544146415,0.0,0.0,0.3808477729020893,0.17426868978300342,0.20099384994726743,0.17426868978300342,0.012169372632870375,0.06,0.0,0.04437214962849349,0.05831364481113377,-0.013941495182640274,5.0,1.0,0.18593141874523017,1.0,15974.52926739833,-15974.52926739833,0.0,15974.52926739833,0.0,85.19748942612442,0.28359,0.1875,-85.19748942612442,-42922.905582856176,0.0,0.0,-0.0,-433.33927185483145,-433.33927185483145,433.33927185483145,-239999.99999999997,-60000.0,60000.0,-1192.5514936447107,16320.078551769257,-16320.078551769257,-155609.99999999997,-39899.999999999985,39899.999999999985,456128.7712500001,120710.57015000028,-120710.57015000028,-35975.4424886578,15974.52926739833,-15974.52926739833,0.572104275226593,0.7838876843452454,0.46182119846343994,0.5381788015365601,7838877.0,278.70806884765625,458.5666809082031,315.03814697265625,-150000000.0,88880312.0,-99750000.0,-85197488.0,0.0,0.0,-3851327.5,-3851327.5,249918512.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,False,False,,0,0
15742800.0,4,-1.2176315829460076,False,False,ok,,,True,1.0,0.928798496723175,0,0.5,1.0,0.928798496723175,-0.665,17486.113749532244,43590.9566179642,0.27846558350487355,-43590.9566179642,-0.27846558350487355,156539.83544146415,0.0,0.0,-1.2176315829460076,0.46603161719801145,0.4996099719634231,0.46603161719801145,0.10559276571774742,0.06,0.0,-1.496097166450881,-1.45881463707504,-0.037282529375840916,5.0,1.0,0.17426868978300342,1.0,4751.785551973679,-4751.785551973679,0.0,4751.785551973679,0.0,25.34285627719295,0.28359,0.1875,-25.34285627719295,-44270.49531230097,0.0,0.0,-0.0,-5149.399695737009,-4716.060423882178,4716.060423882178,-299999.99999999994,-59999.99999999997,59999.99999999997,17303.42769622803,18495.97918987274,-18495.97918987274,-195509.99999999997,-39900.0,39900.0,581088.0235500003,124959.25230000017,-124959.25230000017,-80245.93780095877,4751.785551973679,-4751.785551973679,0.7570640444755554,0.7695644497871399,0.4520309269428253,0.5479691028594971,7695644.5,279.11309814453125,454.7897644042969,315.49737548828125,-150000000.0,92879848.0,-99750000.0,-25342856.0,0.0,0.0,-36907268.0,-36907268.0,219120272.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,0,1,3
15746400.0,5,-1.132852185486017,False,False,ok,,,True,1.0,0.4646797478199005,0,0.20000000298023224,1.0,0.4646797478199005,-0.8659999980032445,16961.68729772055,-37292.85649320189,-0.23823237317217588,37292.85649320189,0.23823237317217588,156539.83544146415,0.0,0.0,-1.132852185486017,0.6347987988787201,0.6767807103227093,0.6347987988787201,0.20281779891051846,0.06,0.0,-0.8946198123138411,-0.8438359084035435,-0.05078390391029761,5.0,1.0,0.46603161719801145,1.0,-31402.810328693035,31402.810328693035,31402.810328693035,0.0,110.73313702420054,0.0,0.28359,0.1875,110.73313702420054,5365.619712697167,0.0,0.0,-0.0,-20067.414872275232,-14918.015176538223,14918.015176538223,-359999.99999999994,-60000.0,60000.0,27525.26015043259,10221.83245420456,-10221.83245420456,-246263.99989217517,-50753.9998921752,50753.9998921752,690648.1600000008,109560.13645000057,-109560.13645000057,-74880.3180882616,-31402.810328693035,31402.810328693035,0.859282374382019,0.7541247606277466,0.44002583622932434,0.5599741339683533,7541247.5,280.4200744628906,450.1402587890625,316.0495300292969,-150000000.0,46467976.0,-129900000.0,110733136.0,0.0,0.0,-86805112.0,-86805112.0,209504000.0,-0.0,0.0,0.85,1.0,-1.0,0.4646797446643608,True,False,False,0,2,2
15750000.0,6,-1.0202742228913337,False,False,ok,,,True,1.0,-0.04641187936067581,0,0.20000000298023224,1.0,-0.04641187936067581,-0.8659999980032445,-247.40973125870073,-142058.95702999143,-0.9074939719296713,142058.95702999143,0.9074939719296713,156539.83544146415,0.0,0.0,-1.0202742228913337,0.647002804203792,0.6975705952984194,0.647002804203792,0.20490490038852077,0.06,0.0,-0.11278025096166247,-0.0610200266253591,-0.05176022433630336,5.0,1.0,0.6347987988787201,1.0,-107022.39559859404,107022.39559859404,107022.39559859404,0.0,168.65341191451543,0.0,0.63457,0.1875,168.65341191451543,17827.46440241814,0.0,0.0,-0.0,-47154.507812133415,-27087.092939858183,27087.092939858183,-419999.99999999994,-60000.0,60000.0,26783.791989088062,-741.4681613445282,741.4681613445282,-298223.99977236986,-51959.99988019469,51959.99988019469,795400.1595500004,104751.9995499996,-104751.9995499996,-57052.85368584346,-107022.39559859404,107022.39559859404,0.8587476015090942,0.7411185503005981,0.4277603030204773,0.5722396969795227,7411185.5,282.8792419433594,445.37017822265625,316.6015625,-150000000.0,-4641188.0,-129900000.0,168653408.0,0.0,0.0,-133731792.0,-133731792.0,249619568.0,-0.0,0.0,0.85,1.0,-1.0,-0.04641187804586833,True,False,False,0,3,1
15753600.0,7,-1.0896621128947228,False,False,ok,,,True,1.0,-0.04373786225914955,0,0.20000000298023224,1.0,-0.04373786225914955,-0.8659999980032445,-8139.0737229926,-165166.75670500513,-1.055110069837571,165166.75670500513,1.055110069837571,156539.83544146415,0.0,0.0,-1.0896621128947228,0.6436153669441165,0.702778024357014,0.6436153669441165,0.19671405209070036,0.06,0.0,-0.034552043057151836,0.016937186298377482,-0.05148922935552932,5.0,1.0,0.647002804203792,1.0,-138840.77487852366,138840.77487852366,138840.77487852366,0.0,218.7950500000373,0.0,0.63457,0.1875,218.7950500000373,18434.317834747562,0.0,0.0,-0.0,-84570.06254964814,-37415.55473751472,37415.55473751472,-479999.99999999994,-60000.0,60000.0,25023.581430315975,-1760.210558772087,1760.210558772087,-350183.9996525645,-51959.999880194664,51959.999880194664,920209.9429000004,124809.78334999993,-124809.78334999993,-38618.5358510959,-138840.77487852366,138840.77487852366,0.8483933806419373,0.7289746999740601,0.41548192501068115,0.5845180749893188,7289747.0,285.81732177734375,440.5762023925781,317.1424255371094,-150000000.0,-4373786.0,-129900000.0,218795056.0,0.0,0.0,-168518112.0,-168518112.0,233996848.0,-0.0,0.0,0.85,1.0,-1.0,-0.04373786291655357,True,False,False,,0,0
15757200.0,8,0.34684407222426616,False,False,ok,,,True,1.0,0.0,2,0.5,1.0,0.0,0.9299999999999999,3466.598513221147,38816.37851850826,0.24796486088694716,-38816.37851850826,-0.24796486088694716,156539.83544146415,0.0,0.0,0.34684407222426616,0.6140152801935558,0.668238093707396,0.6140152801935558,0.18963611331086502,0.06,0.0,0.098879211337319,0.14800043375280347,-0.049121222415484465,5.0,1.0,0.6436153669441165,1.0,7421.504882484013,-7421.504882484013,0.0,7421.504882484013,0.0,39.58135937324807,0.63457,0.1875,-39.58135937324807,-19789.201399810496,0.0,0.0,-0.0,-129912.65757656784,-45342.595026919706,45342.595026919706,-539999.9999999999,-59999.99999999994,59999.99999999994,24848.629981279377,-174.9514490365982,174.9514490365982,-330269.999640584,19914.000011980534,-19914.000011980534,1037208.3630000006,116998.42010000022,-116998.42010000022,-58407.73725090639,7421.504882484013,-7421.504882484013,0.8473642468452454,0.7570311427116394,0.4225388467311859,0.5774611830711365,7570311.0,292.288818359375,443.954833984375,316.5668029785156,-150000000.0,0.0,139500000.0,-39581360.0,0.0,-0.0,-196663440.0,-196663440.0,246744800.0,-0.0,0.0,0.85,1.0,-1.0,0.00803303587086135,True,True,True,2,1,3
15760800.0,9,0.3668508980398998,False,False,ok,,,True,1.0,0.0,2,0.5,1.0,0.0,0.9299999999999999,22811.716778268543,44855.18415883905,0.286541659075731,-44855.18415883905,-0.286541659075731,156539.83544146415,0.0,0.0,0.3668508980398998,0.5885368429140965,0.636374408988365,0.5885368429140965,0.1855478605102723,0.06,0.0,0.08030923896416883,0.12739218639729655,-0.04708294743312772,5.0,1.0,0.6140152801935558,1.0,3453.9252624443193,-3453.9252624443193,0.0,3453.9252624443193,0.0,18.42093473303637,0.63457,0.1875,-18.42093473303637,-22056.140631347334,0.0,0.0,-0.0,-179783.79928017312,-49871.14170360527,49871.14170360527,-599999.9999999999,-60000.0,60000.0,24848.629981279377,0.0,-0.0,-302369.999640584,27900.0,-27900.0,1160580.7636000004,123372.40059999982,-123372.40059999982,-80463.87788225373,3453.9252624443193,-3453.9252624443193,0.8473642468452454,0.7825095653533936,0.43166062235832214,0.5683394074440002,7825095.5,296.2666931152344,448.13134765625,315.8741760253906,-150000000.0,0.0,139500000.0,-18420934.0,0.0,-0.0,-202899568.0,-202899568.0,231820512.0,-0.0,0.0,0.85,1.0,-1.0,0.013178666724878994,False,False,True,2,2,2
15764400.0,10,0.30897129926630895,False,False,ok,,,True,1.0,0.0,2,0.5,1.0,0.0,0.9299999999999999,43712.57997713992,38809.00806919342,0.2479177773487918,-38809.00806919342,-0.2479177773487918,156539.83544146415,0.0,0.0,0.30897129926630895,0.5672501363490089,0.6088382504084605,0.5672501363490089,0.18312768587739664,0.06,0.0,0.06105352191751717,0.10643353282543788,-0.04538001090792071,5.0,1.0,0.5885368429140965,1.0,4915.120868387248,-4915.120868387248,0.0,4915.120868387248,0.0,26.21397796473199,0.63457,0.1875,-26.21397796473199,-12993.024001934798,0.0,0.0,-0.0,-229700.16647936698,-49916.36719919386,49916.36719919386,-659999.9999999999,-60000.0,60000.0,24848.629981279377,0.0,-0.0,-274469.999640584,27900.0,-27900.0,1276491.0180000004,115910.25439999998,-115910.25439999998,-93456.90188418853,4915.120868387248,-4915.120868387248,0.8473642468452454,0.8037962913513184,0.44071221351623535,0.5595353841781616,8037962.5,298.5752868652344,458.54071044921875,315.2056884765625,-150000000.0,0.0,139500000.0,-26213978.0,0.0,0.0,-195721248.0,-195721248.0,232435232.0,-0.0,0.0,0.85,1.0,-1.0,0.013178666724878994,False,False,True,2,3,1
15768000.0,11,0.30060011512277707,False,False,ok,,,True,1.0,0.0,2,0.5,1.0,0.0,0.9299999999999999,62506.803439626405,38872.87763825653,0.24832578575689437,-38872.87763825653,-0.24832578575689437,156539.83544146415,0.0,0.0,0.30060011512277707,0.54802684101952,0.5836305206195594,0.54802684101952,0.1817208448217243,0.06,0.0,0.052274329365882666,0.09611647664744427,-0.043842147281561605,5.0,1.0,0.5672501363490089,1.0,3210.795354318302,-3210.795354318302,0.0,3210.795354318302,0.0,17.12424188969761,0.63457,0.1875,-17.12424188969761,-16867.858821451737,0.0,0.0,-0.0,-278155.69974542875,-48455.53326606177,48455.53326606177,-719999.9999999999,-60000.0,60000.0,24848.629981279377,0.0,-0.0,-246569.999640584,27900.0,-27900.0,1392708.6335500001,116217.61554999975,-116217.61554999975,-110324.76070564026,3210.795354318302,-3210.795354318302,0.8473642468452454,0.8230195641517639,0.44970014691352844,0.5514249801635742,8230195.5,300.0816650390625,471.2233581542969,314.58984375,-150000000.0,0.0,139500000.0,-17124242.0,0.0,-0.0,-191506352.0,-191506352.0,219130592.0,-0.0,0.0,0.85,1.0,-1.0,0.013178666724878994,False,False,True,,0,0
15771600.0,12,0.22525416883184857,False,False,ok,,,True,1.0,0.0,2,0.5,1.0,0.0,0.9299999999999999,82085.16379763912,27948.57865930264,0.17853972172951219,-27948.57865930264,-0.17853972172951219,156539.83544146415,0.0,0.0,0.22525416883184857,0.5302007397628472,0.5599977124855607,0.5302007397628472,0.1810767025599875,0.06,0.0,0.04671444710233639,0.08913050628336416,-0.042416059181027775,5.0,1.0,0.54802684101952,1.0,-1451.4150421168852,1451.4150421168852,1451.4150421168852,0.0,2.287241820629537,0.0,0.63457,0.1875,2.287241820629537,-9821.633343406807,0.0,0.0,-0.0,-326220.9989940092,-48065.29924858047,48065.29924858047,-779999.9999999999,-60000.0,60000.0,24848.629981279377,0.0,-0.0,-218669.999640584,27900.0,-27900.0,1502273.9265000003,109565.29295000015,-109565.29295000015,-120146.39404904707,-1451.4150421168852,1451.4150421168852,0.8473642468452454,0.8408456444740295,0.4586314558982849,0.543765664100647,8408457.0,301.0650329589844,474.53436279296875,314.0082702636719,-150000000.0,0.0,139500000.0,2287241.75,0.0,0.0,-193180928.0,-193180928.0,201393680.0,-0.0,0.0,0.85,1.0,-1.0,0.013178666724878994,True,True,True,,0,0
