time,step,reward,terminated,truncated,fmu_status,fmu_error,failure_type,transition_valid,requested_u_tp,requested_u_battery,requested_caes_mode,requested_caes_magnitude,decoded_u_tp,decoded_u_battery,decoded_u_caes,rt_economic_cashflow_total,rt_economic_cashflow_delta,rt_economic_reward,rt_raw_total_cost,rt_normalized_cost,rt_cost_reference,rt_cost_reference_missing,rt_terminal_soc_bonus,rt_reward,rt_terminal_soc_l1_error,rt_terminal_soc_l1_full,rt_terminal_soc_l1_energy,rt_terminal_soc_l2_error,rt_terminal_soc_tolerance,rt_terminal_soc_satisfied,rt_soc_shaping_reward,rt_soc_shaping_potential,rt_soc_shaping_absolute,rt_soc_shaping_coef,rt_soc_recovery_scale,rt_soc_l1_prev,rt_market_settlement_enabled,rt_market_grid_cashflow,rt_market_grid_cost,rt_market_buy_cost,rt_market_sell_revenue,rt_market_energy_buy_mwh,rt_market_energy_sell_mwh,rt_market_buy_yuan_per_kwh,rt_market_sell_yuan_per_kwh,rt_p_grid_mw,rt_fmu_grid_cashflow_delta,rt_economic_cashflow_wind,rt_economic_cashflow_delta_wind,rt_raw_wind_cost,rt_economic_cashflow_pv,rt_economic_cashflow_delta_pv,rt_raw_pv_cost,rt_economic_cashflow_thermal,rt_economic_cashflow_delta_thermal,rt_raw_thermal_cost,rt_economic_cashflow_battery,rt_economic_cashflow_delta_battery,rt_raw_battery_cost,rt_economic_cashflow_caes,rt_economic_cashflow_delta_caes,rt_raw_caes_cost,rt_economic_cashflow_load,rt_economic_cashflow_delta_load,rt_raw_load_cost,rt_economic_cashflow_grid,rt_economic_cashflow_delta_grid,rt_raw_grid_cost,obs_battery_soc,obs_caes_gas_soc,obs_caes_hot_soc,obs_caes_cold_soc,obs_caes_gas_pressure,obs_caes_gas_temperature,obs_caes_hot_temperature,obs_caes_cold_temperature,obs_p_thermal,obs_p_battery,obs_p_caes,obs_p_grid,obs_p_wind_available,obs_p_wind_actual,obs_p_pv_available,obs_p_pv_actual,obs_p_load_actual,obs_p_curtailment,obs_p_unserved,u_tp_dynamic_low,u_tp_dynamic_high,u_battery_dynamic_low,u_battery_dynamic_high,caes_discharge_allowed,caes_idle_allowed,caes_charge_allowed,caes_locked_mode,caes_locked_steps_completed,caes_locked_steps_remaining
7866000.0,0,0.4705907008399104,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,5976.925169794449,83755.16454741778,0.5350405812757918,-83755.16454741778,-0.5350405812757918,156539.83544146415,0.0,0.0,0.4705907008399104,0.012686984337771934,0.012686984337771934,0.012686984337771934,0.00016095957158687035,0.06,1.0,-0.06444988043588143,-0.06343492168885967,-0.0010149587470217546,5.0,1.0,0.0,1.0,20301.95895713001,-20301.95895713001,0.0,20301.95895713001,0.0,108.27711443802671,0.63457,0.1875,-108.27711443802671,-57476.28042049332,-1298.0455597122304,-1298.0455597122304,1298.0455597122304,0.0,0.0,-0.0,-59999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,124751.25115000001,124751.25115000001,-124751.25115000001,-57476.28042049332,20301.95895713001,-20301.95895713001,0.5,0.8373129963874817,0.5,0.5,8373130.0,276.4610290527344,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-108277112.0,-3475669.0,-3475669.0,-0.0,-0.0,261752784.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
7869600.0,1,0.5180201496211679,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,10421.152597009237,87410.04044304338,0.5583884779010716,-87410.04044304338,-0.5583884779010716,156539.83544146415,0.0,0.0,0.5180201496211679,0.020433710623772305,0.020433710623772305,0.020433710623772305,0.0004175365298560652,0.06,1.0,-0.040368328279903644,-0.03873363143000186,-0.0016346968499017845,5.0,1.0,0.012686984337771934,1.0,17400.95681714414,-17400.95681714414,0.0,17400.95681714414,0.0,92.80510302476874,0.63457,0.1875,-92.80510302476874,-65564.85619868446,-2165.3536338129497,-867.3080741007193,867.3080741007193,0.0,0.0,-0.0,-119999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,255627.6428500001,130876.39170000008,-130876.39170000008,-123041.13661917778,17400.95681714414,-17400.95681714414,0.5,0.8295662999153137,0.5,0.5,8295663.0,273.9032287597656,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-92805104.0,-1312191.625,-1312191.625,-0.0,-0.0,244117296.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
7873200.0,2,0.457273294938244,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,16127.184225282637,75576.04159991724,0.4827911143945071,-75576.04159991724,-0.4827911143945071,156539.83544146415,0.0,0.0,0.457273294938244,0.025135112711638707,0.025135112711638707,0.025135112711638707,0.0006317738910267817,0.06,1.0,-0.025517819456263108,-0.02350701043933201,-0.002010809016931097,5.0,1.0,0.020433710623772305,1.0,13682.259787499996,-13682.259787499996,0.0,13682.259787499996,0.0,72.97205219999998,0.63457,0.1875,-72.97205219999998,-56187.75018414385,-2330.219171395683,-164.8655375827334,164.8655375827334,0.0,0.0,-0.0,-179999.99999999997,-59999.999999999985,59999.999999999985,0.0,0.0,-0.0,0.0,0.0,-0.0,377686.29020000016,122058.64735000007,-122058.64735000007,-179228.88680332163,13682.259787499996,-13682.259787499996,0.5,0.8248648643493652,0.5,0.5,8248649.0,272.3509216308594,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-72972056.0,0.0,0.0,-0.0,-0.0,222972048.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
7876800.0,3,0.4238946338512019,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,23829.97900528264,68926.6786499999,0.44031398433259533,-68926.6786499999,-0.44031398433259533,156539.83544146415,0.0,0.0,0.4238946338512019,0.027971439771572237,0.027971439771572237,0.027971439771572237,0.0007824014428946931,0.06,1.0,-0.016419350481393428,-0.01418163529966765,-0.002237715181725779,5.0,1.0,0.025135112711638707,1.0,17440.65255,-17440.65255,0.0,17440.65255,0.0,93.01681359999999,0.63457,0.1875,-93.01681359999999,-43783.231319999904,-2330.219171395683,0.0,-0.0,0.0,0.0,-0.0,-239999.99999999997,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,489172.3163000002,111486.02610000002,-111486.02610000002,-223012.11812332153,17440.65255,-17440.65255,0.5,0.8220285773277283,0.5,0.5,8220285.5,271.4144287109375,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-93016816.0,0.0,0.0,-0.0,-0.0,243016816.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
7880400.0,4,0.4845936971232975,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,29528.297645282673,77621.31798124999,0.4958566473661292,-77621.31798124999,-0.4958566473661292,156539.83544146415,0.0,0.0,0.4845936971232975,0.029748060846593094,0.029748060846593094,0.029748060846593094,0.000884947124132605,0.06,1.0,-0.011262950242831731,-0.008883105375104283,-0.0023798448677274475,5.0,1.0,0.027971439771572237,1.0,16112.911181250001,-16112.911181250001,0.0,16112.911181250001,0.0,85.9355263,0.63457,0.1875,-85.9355263,-55810.088159999956,-2330.219171395683,0.0,-0.0,0.0,0.0,-0.0,-299999.99999999994,-59999.99999999997,59999.99999999997,0.0,0.0,-0.0,0.0,0.0,-0.0,610680.7231000004,121508.40680000023,-121508.40680000023,-278822.2062833215,16112.911181250001,-16112.911181250001,0.5,0.8202519416809082,0.5,0.5,8202519.5,270.82781982421875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-85935528.0,0.0,0.0,-0.0,-0.0,235935520.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
7884000.0,5,0.4941508029590812,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,36617.75851461289,78325.47639080512,0.5003549171360527,-78325.47639080512,-0.5003549171360527,156539.83544146415,0.0,0.0,0.4941508029590812,0.030500869765735628,0.030500869765735628,0.030500869765735628,0.0009303030564663657,0.06,1.0,-0.0062041141769715175,-0.003764044595712668,-0.00244006958125885,5.0,1.0,0.029748060846593094,1.0,20845.580026040927,-20845.580026040927,0.0,20845.580026040927,0.0,111.17642680555161,0.63457,0.1875,-111.17642680555161,-50390.43549543398,-2330.219171395683,0.0,-0.0,-487.86678523585795,-487.86678523585795,487.86678523585795,-359999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,728648.4862500007,117967.76315000025,-117967.76315000025,-329212.64177875547,20845.580026040927,-20845.580026040927,0.5,0.819499135017395,0.5,0.5,8194991.5,270.57928466796875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-111176424.0,0.0,0.0,-4331595.5,-4331595.5,265508016.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
7887600.0,6,0.51032162083237,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,48143.2730296921,78424.80381694916,0.5009894356652432,-78424.80381694916,-0.5009894356652432,156539.83544146415,0.0,0.0,0.51032162083237,0.028183496783769968,0.028183496783769968,0.028183496783769968,0.0007943094909607721,0.06,1.0,0.009332185167126701,0.011586864909828298,-0.0022546797427015976,5.0,1.0,0.030500869765735628,1.0,11881.293762383959,-11881.293762383959,0.0,11881.293762383959,0.0,63.36690006604778,0.63457,0.1875,-63.36690006604778,-55017.995539486,-3232.0304088345306,-901.8112374388475,901.8112374388475,-5796.556693231799,-5308.689907995941,5308.689907995941,-419999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,861402.4974500012,132754.01120000053,-132754.01120000053,-384230.63731824147,11881.293762383959,-11881.293762383959,0.5,0.8218165040016174,0.5,0.5,8218165.0,271.34442138671875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-63366900.0,-9964748.0,-9964748.0,-41561408.0,-41561408.0,264893056.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
7891200.0,7,0.36323759233019115,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,76956.83370815412,52659.6456818224,0.336397732457779,-52659.6456818224,-0.336397732457779,156539.83544146415,0.0,0.0,0.36323759233019115,0.022456225205991664,0.022456225205991664,0.022456225205991664,0.0005042820505022154,0.06,1.0,0.026839859872412185,0.028636357888891517,-0.0017964980164793332,5.0,1.0,0.028183496783769968,1.0,-174.34607221986235,174.34607221986235,174.34607221986235,0.0,0.2747467926625311,0.0,0.63457,0.1875,0.2747467926625311,-24020.431075580243,-6374.279375741003,-3142.248966906472,3142.248966906472,-22266.844422283,-16470.2877290512,16470.2877290512,-479999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,993849.0259000015,132446.52845000033,-132446.52845000033,-408251.0683938217,-174.34607221986235,174.34607221986235,0.5,0.8275437951087952,0.5,0.5,8275437.5,273.23541259765625,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,274746.78125,-7804817.5,-7804817.5,-95028336.0,-95028336.0,252558400.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
7894800.0,8,-0.11795590193363317,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,111443.6394730992,-24696.268404234856,-0.15776347493012202,24696.268404234856,0.15776347493012202,156539.83544146415,0.0,0.0,-0.11795590193363317,0.01426644744753336,0.01426644744753336,0.01426644744753336,0.0002035315227732311,0.06,1.0,0.039807572996488856,0.04094888879229153,-0.0011413157958026687,5.0,1.0,0.022456225205991664,1.0,-56157.90253971201,56157.90253971201,56157.90253971201,0.0,88.49756928268279,0.0,0.63457,0.1875,88.49756928268279,3025.171629467921,-12026.911993726608,-5652.632617985605,5652.632617985605,-51431.779868820246,-29164.935446537245,29164.935446537245,-539999.9999999999,-59999.99999999994,59999.99999999994,0.0,0.0,-0.0,0.0,0.0,-0.0,1120128.2281000013,126279.20219999983,-126279.20219999983,-405225.8967643538,-56157.90253971201,56157.90253971201,0.5,0.8357335329055786,0.5,0.5,8357335.5,275.9394836425781,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,88497568.0,-28395320.0,-28395320.0,-142404912.0,-142404912.0,232302656.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
7898400.0,9,-0.42701199314369753,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,128271.94109894037,-73833.7185228199,-0.4716608926705367,73833.7185228199,0.4716608926705367,156539.83544146415,0.0,0.0,-0.42701199314369753,0.005252625533627486,0.005252625533627486,0.005252625533627486,2.7590074996515435e-05,0.06,1.0,0.04464889952683917,0.045069109569529364,-0.0004202100426901989,5.0,1.0,0.01426644744753336,1.0,-80124.83960780357,80124.83960780357,80124.83960780357,0.0,126.26635297572149,0.0,0.63457,0.1875,126.26635297572149,10537.180540857487,-22322.482551280562,-10295.570557553954,10295.570557553954,-90996.41627628263,-39564.636407462385,39564.636407462385,-599999.9999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1236279.556150002,116151.3280500006,-116151.3280500006,-394688.7162234963,-80124.83960780357,80124.83960780357,0.5,0.8447473645210266,0.5,0.5,8447474.0,278.9156188964844,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,126266352.0,-30680166.0,-30680166.0,-177287408.0,-177287408.0,231701232.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
