time,step,reward,terminated,truncated,fmu_status,fmu_error,failure_type,transition_valid,requested_u_tp,requested_u_battery,requested_caes_mode,requested_caes_magnitude,decoded_u_tp,decoded_u_battery,decoded_u_caes,rt_economic_cashflow_total,rt_economic_cashflow_delta,rt_economic_reward,rt_raw_total_cost,rt_normalized_cost,rt_cost_reference,rt_cost_reference_missing,rt_terminal_soc_bonus,rt_reward,rt_terminal_soc_l1_error,rt_terminal_soc_l1_full,rt_terminal_soc_l1_energy,rt_terminal_soc_l2_error,rt_terminal_soc_tolerance,rt_terminal_soc_satisfied,rt_soc_shaping_reward,rt_soc_shaping_potential,rt_soc_shaping_absolute,rt_soc_shaping_coef,rt_soc_recovery_scale,rt_soc_l1_prev,rt_market_settlement_enabled,rt_market_grid_cashflow,rt_market_grid_cost,rt_market_buy_cost,rt_market_sell_revenue,rt_market_energy_buy_mwh,rt_market_energy_sell_mwh,rt_market_buy_yuan_per_kwh,rt_market_sell_yuan_per_kwh,rt_p_grid_mw,rt_fmu_grid_cashflow_delta,rt_economic_cashflow_wind,rt_economic_cashflow_delta_wind,rt_raw_wind_cost,rt_economic_cashflow_pv,rt_economic_cashflow_delta_pv,rt_raw_pv_cost,rt_economic_cashflow_thermal,rt_economic_cashflow_delta_thermal,rt_raw_thermal_cost,rt_economic_cashflow_battery,rt_economic_cashflow_delta_battery,rt_raw_battery_cost,rt_economic_cashflow_caes,rt_economic_cashflow_delta_caes,rt_raw_caes_cost,rt_economic_cashflow_load,rt_economic_cashflow_delta_load,rt_raw_load_cost,rt_economic_cashflow_grid,rt_economic_cashflow_delta_grid,rt_raw_grid_cost,obs_battery_soc,obs_caes_gas_soc,obs_caes_hot_soc,obs_caes_cold_soc,obs_caes_gas_pressure,obs_caes_gas_temperature,obs_caes_hot_temperature,obs_caes_cold_temperature,obs_p_thermal,obs_p_battery,obs_p_caes,obs_p_grid,obs_p_wind_available,obs_p_wind_actual,obs_p_pv_available,obs_p_pv_actual,obs_p_load_actual,obs_p_curtailment,obs_p_unserved,u_tp_dynamic_low,u_tp_dynamic_high,u_battery_dynamic_low,u_battery_dynamic_high,caes_discharge_allowed,caes_idle_allowed,caes_charge_allowed,caes_locked_mode,caes_locked_steps_completed,caes_locked_steps_remaining
7866000.0,0,0.5256765295817872,False,False,ok,,,True,0.8949999809265137,0.0,1,0.0,0.8949999809265137,0.0,0.0,3141.924654810317,92378.29111382784,0.5901264100176686,-92378.29111382784,-0.5901264100176686,156539.83544146415,0.0,0.0,0.5256765295817872,0.012686984337771934,0.012686984337771934,0.012686984337771934,0.00016095957158687035,0.06,1.0,-0.06444988043588143,-0.06343492168885967,-0.0010149587470217546,5.0,1.0,0.0,1.0,23255.084493571812,-23255.084493571812,0.0,23255.084493571812,0.0,124.02711729904966,0.63457,0.1875,-124.02711729904966,-65981.28196544571,-1298.0455597122304,-1298.0455597122304,1298.0455597122304,0.0,0.0,-0.0,-54329.99897003174,-54329.99897003174,54329.99897003174,0.0,0.0,-0.0,0.0,0.0,-0.0,124751.25115000001,124751.25115000001,-124751.25115000001,-65981.28196544571,23255.084493571812,-23255.084493571812,0.5,0.8373129963874817,0.5,0.5,8373130.0,276.4610290527344,473.1572265625,313.16363525390625,-134250000.0,0.0,0.0,-124027120.0,-3475669.0,-3475669.0,-0.0,-0.0,261752784.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
7869600.0,1,0.615690575153437,False,False,ok,,,True,0.8215000033378601,0.0,1,0.0,0.8215000033378601,0.0,0.0,2451.652114926874,102699.35278336256,0.6560589034333406,-102699.35278336256,-0.6560589034333406,156539.83544146415,0.0,0.0,0.615690575153437,0.020433710623772305,0.020433710623772305,0.020433710623772305,0.0004175365298560652,0.06,1.0,-0.040368328279903644,-0.03873363143000186,-0.0016346968499017845,5.0,1.0,0.012686984337771934,1.0,22421.269223266823,-22421.269223266823,0.0,22421.269223266823,0.0,119.58010252408972,0.63457,0.1875,-119.58010252408972,-80968.35609997918,-2165.3536338129475,-867.308074100717,867.308074100717,0.0,0.0,-0.0,-104060.99903583527,-49731.00006580353,49731.00006580353,0.0,0.0,-0.0,0.0,0.0,-0.0,255627.6428500001,130876.39170000008,-130876.39170000008,-146949.6380654249,22421.269223266823,-22421.269223266823,0.5,0.8295662999153137,0.5,0.5,8295663.0,273.9032287597656,473.1572265625,313.16363525390625,-123225000.0,0.0,0.0,-119580104.0,-1312191.625,-1312191.625,-0.0,-0.0,244117296.0,-0.0,0.0,0.7449999809265136,1.0,-1.0,1.0,True,True,False,,0,0
7873200.0,2,0.5892385058597607,False,False,ok,,,True,0.7615000009536743,0.0,1,0.0,0.7615000009536743,0.0,0.0,1182.6837789630522,96233.85400156956,0.6147563253160238,-96233.85400156956,-0.6147563253160238,156539.83544146415,0.0,0.0,0.5892385058597607,0.025135112711638707,0.025135112711638707,0.025135112711638707,0.0006317738910267817,0.06,1.0,-0.025517819456263108,-0.02350701043933201,-0.002010809016931097,5.0,1.0,0.020433710623772305,1.0,20390.072260677905,-20390.072260677905,0.0,20390.072260677905,0.0,108.74705205694883,0.63457,0.1875,-108.74705205694883,-77112.75007685547,-2330.219171395681,-164.8655375827334,164.8655375827334,0.0,0.0,-0.0,-150110.99910736084,-46050.000071525574,46050.000071525574,0.0,0.0,-0.0,0.0,0.0,-0.0,377686.29020000016,122058.64735000007,-122058.64735000007,-224062.38814228037,20390.072260677905,-20390.072260677905,0.5,0.8248648643493652,0.5,0.5,8248649.0,272.3509216308594,473.1572265625,313.16363525390625,-114225000.0,0.0,0.0,-108747056.0,0.0,0.0,-0.0,-0.0,222972048.0,-0.0,0.0,0.6715000033378601,0.9715000033378601,-1.0,1.0,True,True,False,,0,0
7876800.0,3,0.5896371909363639,False,False,ok,,,True,0.7014999985694885,0.0,1,0.0,0.7014999985694885,0.0,0.0,110.47852320025663,94871.99126175864,0.6060565414177573,-94871.99126175864,-0.6060565414177573,156539.83544146415,0.0,0.0,0.5896371909363639,0.027971439771572237,0.027971439771572237,0.027971439771572237,0.0007824014428946931,0.06,1.0,-0.016419350481393428,-0.01418163529966765,-0.002237715181725779,5.0,1.0,0.025135112711638707,1.0,25835.96509023313,-25835.96509023313,0.0,25835.96509023313,0.0,137.7918138145767,0.63457,0.1875,-137.7918138145767,-70108.2314272883,-2330.219171395681,0.0,-0.0,0.0,0.0,-0.0,-192560.99903583527,-42449.999928474426,42449.999928474426,0.0,0.0,-0.0,0.0,0.0,-0.0,489172.3163000002,111486.02610000002,-111486.02610000002,-294170.61956956866,25835.96509023313,-25835.96509023313,0.5,0.8220285773277283,0.5,0.5,8220285.5,271.4144287109375,473.1572265625,313.16363525390625,-105225000.0,0.0,0.0,-137791808.0,0.0,0.0,-0.0,-0.0,243016816.0,-0.0,0.0,0.6115000009536743,0.9115000009536743,-1.0,1.0,True,True,True,,0,0
7880400.0,4,0.6841136003721056,False,False,ok,,,True,0.6414999961853027,0.0,1,0.0,0.6414999961853027,0.0,0.0,-4766.202944088092,108854.13080311526,0.6953765506149373,-108854.13080311526,-0.6953765506149373,156539.83544146415,0.0,0.0,0.6841136003721056,0.029748060846593094,0.029748060846593094,0.029748060846593094,0.000884947124132605,0.06,1.0,-0.011262950242831731,-0.008883105375104283,-0.0023798448677274475,5.0,1.0,0.027971439771572237,1.0,26195.72378853836,-26195.72378853836,0.0,26195.72378853836,0.0,139.71052687220458,0.63457,0.1875,-139.71052687220458,-87535.08848186524,-2330.219171395681,0.0,-0.0,0.0,0.0,-0.0,-231410.99882125854,-38849.99978542328,38849.99978542328,0.0,0.0,-0.0,0.0,0.0,-0.0,610680.7231000004,121508.40680000023,-121508.40680000023,-381705.7080514339,26195.72378853836,-26195.72378853836,0.5,0.8202519416809082,0.5,0.5,8202519.5,270.82781982421875,473.1572265625,313.16363525390625,-96225000.0,0.0,0.0,-139710528.0,0.0,0.0,-0.0,-0.0,235935520.0,-0.0,0.0,0.5514999985694885,0.8514999985694885,-1.0,1.0,True,True,True,,0,0
7884000.0,5,0.7274480523715329,False,False,ok,,,True,0.5814999938011169,0.0,1,0.0,0.5814999938011169,0.0,0.0,-10051.742253571805,114845.78942277652,0.7336521665485044,-114845.78942277652,-0.7336521665485044,156539.83544146415,0.0,0.0,0.7274480523715329,0.030500869765735628,0.030500869765735628,0.030500869765735628,0.0009303030564663657,0.06,1.0,-0.0062041141769715175,-0.003764044595712668,-0.00244006958125885,5.0,1.0,0.029748060846593094,1.0,32615.892700384513,-32615.892700384513,0.0,32615.892700384513,0.0,173.95142773538407,0.63457,0.1875,-173.95142773538407,-87515.43603187572,-2330.219171395681,0.0,-0.0,-487.86678523585795,-487.86678523585795,487.86678523585795,-266660.9984636307,-35249.99964237213,35249.99964237213,0.0,0.0,-0.0,0.0,0.0,-0.0,728648.4862500007,117967.76315000025,-117967.76315000025,-469221.1440833096,32615.892700384513,-32615.892700384513,0.5,0.819499135017395,0.5,0.5,8194991.5,270.57928466796875,473.1572265625,313.16363525390625,-87225000.0,0.0,0.0,-173951424.0,0.0,0.0,-4331595.5,-4331595.5,265508016.0,-0.0,0.0,0.4914999961853027,0.7914999961853028,-1.0,1.0,True,True,True,,0,0
7887600.0,6,0.777396216408467,False,False,ok,,,True,0.5214999914169312,0.0,1,0.0,0.5214999914169312,0.0,0.0,-12701.227988832099,120232.61705902699,0.7680640312413403,-120232.61705902699,-0.7680640312413403,156539.83544146415,0.0,0.0,0.777396216408467,0.028183496783769968,0.028183496783769968,0.028183496783769968,0.0007943094909607721,0.06,1.0,0.009332185167126701,0.011586864909828298,-0.0022546797427015976,5.0,1.0,0.030500869765735628,1.0,25339.10650378277,-25339.10650378277,0.0,25339.10650378277,0.0,135.1419013535081,0.63457,0.1875,-135.1419013535081,-97542.99629050452,-3232.0304088345283,-901.8112374388475,901.8112374388475,-5796.556693231798,-5308.68990799594,5308.68990799594,-298310.99796295166,-31649.999499320984,31649.999499320984,0.0,0.0,-0.0,0.0,0.0,-0.0,861402.4974500012,132754.01120000053,-132754.01120000053,-566764.1403738142,25339.10650378277,-25339.10650378277,0.5,0.8218165040016174,0.5,0.5,8218165.0,271.34442138671875,473.1572265625,313.16363525390625,-78225000.0,0.0,0.0,-135141904.0,-9964748.0,-9964748.0,-41561408.0,-41561408.0,264893056.0,-0.0,0.0,0.4314999938011169,0.731499993801117,-1.0,1.0,True,True,True,,0,0
7891200.0,7,0.6648741972724301,False,False,ok,,,True,0.46149998903274536,0.0,1,0.0,0.46149998903274536,0.0,0.0,137.33236776483704,99877.79018260242,0.6380343374000179,-99877.79018260242,-0.6380343374000179,156539.83544146415,0.0,0.0,0.6648741972724301,0.022456225205991664,0.022456225205991664,0.022456225205991664,0.0005042820505022154,0.06,1.0,0.026839859872412185,0.028636357888891517,-0.0017964980164793332,5.0,1.0,0.028183496783769968,1.0,15093.79778482981,-15093.79778482981,0.0,15093.79778482981,0.0,80.50025485242566,0.63457,0.1875,-80.50025485242566,-71945.43204117566,-6374.279375740999,-3142.2489669064707,3142.2489669064707,-22266.844422283,-16470.287729051204,16470.287729051204,-326360.9973192215,-28049.999356269836,28049.999356269836,0.0,0.0,-0.0,0.0,0.0,-0.0,993849.0259000015,132446.52845000033,-132446.52845000033,-638709.5724149898,15093.79778482981,-15093.79778482981,0.5,0.8275437951087952,0.5,0.5,8275437.5,273.23541259765625,473.1572265625,313.16363525390625,-69225000.0,0.0,0.0,-80500256.0,-7804817.5,-7804817.5,-95028336.0,-95028336.0,252558400.0,-0.0,0.0,0.37149999141693113,0.6714999914169312,-1.0,1.0,True,True,True,,0,0
7894800.0,8,0.4585010102139884,False,False,ok,,,True,0.41678333282470703,0.0,1,0.0,0.41678333282470703,0.0,0.0,32387.646233414886,65542.20176244839,0.4186934372174996,-65542.20176244839,-0.4186934372174996,156539.83544146415,0.0,0.0,0.4585010102139884,0.01426644744753336,0.01426644744753336,0.01426644744753336,0.0002035315227732311,0.06,1.0,0.039807572996488856,0.04094888879229153,-0.0011413157958026687,5.0,1.0,0.022456225205991664,1.0,-644.1324662981699,644.1324662981699,644.1324662981699,0.0,1.015069206388846,0.0,0.63457,0.1875,1.015069206388846,-33936.0203630965,-12026.911993726608,-5652.632617985609,5652.632617985609,-51431.779868820246,-29164.935446537245,29164.935446537245,-351636.29722595215,-25275.299906730652,25275.299906730652,0.0,0.0,-0.0,0.0,0.0,-0.0,1120128.2281000013,126279.20219999983,-126279.20219999983,-672645.5927780863,-644.1324662981699,644.1324662981699,0.5,0.8357335329055786,0.5,0.5,8357335.5,275.9394836425781,473.1572265625,313.16363525390625,-62517500.0,0.0,0.0,1015069.1875,-28395320.0,-28395320.0,-142404912.0,-142404912.0,232302656.0,-0.0,0.0,0.3333333333333333,0.6114999890327454,-1.0,1.0,True,True,False,,0,0
7898400.0,9,0.16394362295167295,False,False,ok,,,True,0.4033683240413666,0.0,1,0.0,0.4033683240413666,0.0,0.0,76004.00573786953,18674.376373958457,0.11929472342483377,-18674.376373958457,-0.11929472342483377,156539.83544146415,0.0,0.0,0.16394362295167295,0.005252625533627486,0.005252625533627486,0.005252625533627486,2.7590074996515435e-05,0.06,1.0,0.04464889952683917,0.045069109569529364,-0.0004202100426901989,5.0,1.0,0.01426644744753336,1.0,-23334.155215843082,23334.155215843082,23334.155215843082,0.0,36.771601581926475,0.0,0.63457,0.1875,36.771601581926475,1607.827914653113,-22322.482551280562,-10295.570557553954,10295.570557553954,-90996.41627628263,-39564.636407462385,39564.636407462385,-375918.8867211342,-24282.589495182037,24282.589495182037,0.0,0.0,-0.0,0.0,0.0,-0.0,1236279.556150002,116151.3280500006,-116151.3280500006,-671037.7648634332,-23334.155215843082,23334.155215843082,0.5,0.8447473645210266,0.5,0.5,8447474.0,278.9156188964844,473.1572265625,313.16363525390625,-60505248.0,0.0,0.0,36771600.0,-30680166.0,-30680166.0,-177287408.0,-177287408.0,231701232.0,-0.0,0.0,0.3333333333333333,0.566783332824707,-1.0,1.0,True,True,False,,0,0
