time,step,reward,terminated,truncated,fmu_status,fmu_error,failure_type,transition_valid,requested_u_tp,requested_u_battery,requested_caes_mode,requested_u_caes,decoded_u_tp,decoded_u_battery,decoded_u_caes,rt_economic_cashflow_total,rt_economic_cashflow_delta,rt_cashflow_delta,rt_generalized_cashflow_delta,rt_economic_reward,rt_raw_total_cost,rt_raw_generalized_cost,rt_normalized_cost,rt_cost_reference,rt_cost_reference_missing,rt_terminal_soc_bonus,rt_reward,rt_external_cost_cny,rt_terminal_soc_l1_error,rt_terminal_soc_l1_full,rt_terminal_soc_l1_energy,rt_terminal_soc_l2_error,rt_terminal_soc_tolerance,rt_terminal_soc_satisfied,rt_soc_shaping_reward,rt_soc_shaping_potential,rt_soc_shaping_absolute,rt_soc_shaping_coef,rt_soc_recovery_scale,rt_soc_l1_prev,rt_market_settlement_enabled,rt_market_grid_cashflow,rt_market_grid_cost,rt_market_buy_cost,rt_market_sell_revenue,rt_market_energy_buy_mwh,rt_market_energy_sell_mwh,rt_market_buy_yuan_per_kwh,rt_market_sell_yuan_per_kwh,rt_p_grid_mw,rt_fmu_grid_cashflow_delta,rt_carbon_enabled,rt_carbon_mode,rt_carbon_mass_t,rt_carbon_mass_thermal_t,rt_carbon_mass_grid_t,rt_carbon_cost_cny,rt_carbon_thermal_step_cny,rt_carbon_grid_step_cny,rt_carbon_settlement_cny,rt_carbon_price_cny_per_t,rt_carbon_eta_thermal,rt_carbon_eta_grid,rt_carbon_beta_t_per_mwh,rt_carbon_e_thermal_mwh,rt_carbon_e_grid_buy_mwh,rt_carbon_allowance_t,rt_carbon_emissions_t,rt_carbon_position_t,rt_curtailment_enabled,rt_curtailment_energy_mwh,rt_unserved_energy_mwh,rt_curtailment_cost_cny,rt_unserved_cost_cny,rt_cut_total_cost_cny,rt_nu_curt_cny_per_mwh,rt_nu_uns_cny_per_mwh,rt_battery_deg_enabled,rt_battery_deg_mode,rt_battery_deg_cost_cny,rt_battery_discharge_mwh,rt_battery_deg_delta_mwh,rt_battery_deg_delta_prev_mwh,rt_battery_deg_delta_offset_mwh,rt_battery_deg_a0,rt_battery_deg_power_exp,rt_battery_deg_e_life_mwh,rt_battery_deg_capex_total_cny,rt_battery_deg_marginal_cny_per_mwh,rt_c_lin_cny_per_mwh,rt_battery_deg_capex_cny_per_kwh,rt_battery_deg_n_cycles,rt_battery_deg_dod_eq,rt_battery_deg_e_cap_mwh,rt_caes_startup_enabled,rt_caes_startup_cost_cny,rt_caes_startup_events,rt_caes_startup_c_su_cny,rt_caes_startup_c_su_usd_ref,rt_caes_startup_p_ref_w,rt_caes_startup_usd_cny,rt_caes_mode,rt_caes_mode_prev,rt_caes_mode_idle,rt_grid_contract_enabled,rt_grid_contract_cost_cny,rt_grid_contract_excess_mwh,rt_grid_contract_p_lim_w,rt_grid_contract_nu_cny_per_mwh,rt_grid_contract_p_abs_w,rt_economic_cashflow_wind,rt_economic_cashflow_delta_wind,rt_raw_wind_cost,rt_economic_cashflow_pv,rt_economic_cashflow_delta_pv,rt_raw_pv_cost,rt_economic_cashflow_thermal,rt_economic_cashflow_delta_thermal,rt_raw_thermal_cost,rt_economic_cashflow_battery,rt_economic_cashflow_delta_battery,rt_raw_battery_cost,rt_economic_cashflow_caes,rt_economic_cashflow_delta_caes,rt_raw_caes_cost,rt_economic_cashflow_load,rt_economic_cashflow_delta_load,rt_raw_load_cost,rt_economic_cashflow_grid,rt_economic_cashflow_delta_grid,rt_raw_grid_cost,obs_battery_soc,obs_caes_gas_soc,obs_caes_hot_soc,obs_caes_cold_soc,obs_caes_gas_pressure,obs_caes_gas_temperature,obs_caes_hot_temperature,obs_caes_cold_temperature,obs_p_thermal,obs_p_battery,obs_p_caes,obs_p_grid,obs_p_wind_available,obs_p_wind_actual,obs_p_pv_available,obs_p_pv_actual,obs_p_load_actual,obs_p_curtailment,obs_p_unserved,u_tp_dynamic_low,u_tp_dynamic_high,u_battery_dynamic_low,u_battery_dynamic_high,caes_discharge_allowed,caes_idle_allowed,caes_charge_allowed,caes_locked_mode,caes_locked_steps_completed,caes_locked_steps_remaining
18752400.0,0,0.3024406048867192,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,8620.827080000015,58856.81382499999,58856.81382499999,58856.81382499999,0.37598617411993296,-58856.81382499999,-58856.81382499999,-0.37598617411993296,156539.83544146415,0.0,0.0,0.3024406048867192,0.0,0.01447747425850665,0.01447747425850665,0.01447747425850665,0.0002095972609057227,0.06,1.0,-0.07354556923321379,-0.07238737129253325,-0.001158197940680532,5.0,1.0,0.0,1.0,11960.949224999997,-11960.949224999997,0.0,11960.949224999997,0.0,63.791729199999985,0.63457,0.1875,-63.791729199999985,-38275.037519999976,1.0,2.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,80.0,0.85,0.5703,0.82,150.0,0.0,122.99999999999999,127.5,-4.500000000000014,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,63791729.19999999,0.0,0.0,-0.0,0.0,0.0,-0.0,-59999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,106895.86459999997,106895.86459999997,-106895.86459999997,-38275.037519999976,11960.949224999997,-11960.949224999997,0.5,0.8644774556159973,0.5,0.5,8644775.0,285.4300537109375,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-63791728.0,0.0,0.0,-0.0,-0.0,213791728.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
18756000.0,1,0.48370737504869865,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,14000.528125000043,81814.78990625004,81814.78990625004,81814.78990625004,0.5226451763892618,-81814.78990625004,-81814.78990625004,-0.5226451763892618,156539.83544146415,0.0,0.0,0.48370737504869865,0.0,0.02191440406163314,0.02191440406163314,0.02191440406163314,0.0004802411053765231,0.06,1.0,-0.03893780134056311,-0.037184649015632454,-0.0017531523249306514,5.0,1.0,0.01447747425850665,1.0,18713.295131249997,-18713.295131249997,0.0,18713.295131249997,0.0,99.80424069999998,0.28359,0.1875,-99.80424069999998,-57721.79373000001,1.0,2.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,80.0,0.85,0.5703,0.82,150.0,0.0,245.99999999999997,255.0,-9.000000000000028,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,99804240.69999999,0.0,0.0,-0.0,0.0,0.0,-0.0,-119999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,229997.359375,123101.49477500003,-123101.49477500003,-95996.83124999999,18713.295131249997,-18713.295131249997,0.5,0.8719143867492676,0.5,0.5,8719144.0,287.88555908203125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-99804240.0,0.0,0.0,-0.0,-0.0,249804240.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
18759600.0,2,0.3730915864787768,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,22150.477413000044,61441.93752875007,61441.93752875007,61441.93752875007,0.3925003329374612,-61441.93752875007,-61441.93752875007,-0.3925003329374612,156539.83544146415,0.0,0.0,0.3730915864787768,0.0,0.025389914717883877,0.025389914717883877,0.025389914717883877,0.0006446477693814164,0.06,1.0,-0.019408746458684387,-0.017377553281253677,-0.00203119317743071,5.0,1.0,0.02191440406163314,1.0,12191.68396875,-12191.68396875,0.0,12191.68396875,0.0,65.0223145,0.28359,0.1875,-65.0223145,-41100.30427200007,1.0,2.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,80.0,0.85,0.5703,0.82,150.0,0.0,368.99999999999994,382.5,-13.500000000000057,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,65022314.5,0.0,0.0,-0.0,0.0,0.0,-0.0,-179999.99999999997,-59999.999999999985,59999.999999999985,0.0,0.0,-0.0,0.0,0.0,-0.0,339247.61293499987,109250.25355999987,-109250.25355999987,-137097.13552200006,12191.68396875,-12191.68396875,0.5,0.8753899335861206,0.5,0.5,8753899.0,289.0330810546875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-65022316.0,0.0,0.0,-0.0,-0.0,215022320.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
18763200.0,3,0.41373907118811487,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,29744.56013000005,66103.94920250005,66103.94920250005,66103.94920250005,0.422281964306898,-66103.94920250005,-66103.94920250005,-0.422281964306898,156539.83544146415,0.0,0.0,0.41373907118811487,0.0,0.026671745415000503,0.026671745415000503,0.026671745415000503,0.0007113820034826004,0.06,1.0,-0.00854289311878317,-0.00640915348558313,-0.00213373963320004,5.0,1.0,0.025389914717883877,1.0,14074.362787499997,-14074.362787499997,0.0,14074.362787499997,0.0,75.06326819999998,0.28359,0.1875,-75.06326819999998,-44435.503698000044,1.0,2.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,80.0,0.85,0.5703,0.82,150.0,0.0,491.99999999999994,510.0,-18.000000000000057,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,75063268.19999999,0.0,0.0,-0.0,0.0,0.0,-0.0,-239999.99999999997,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,451277.19934999966,112029.5864149998,-112029.5864149998,-181532.6392200001,14074.362787499997,-14074.362787499997,0.5,0.8766717314720154,0.5,0.5,8766717.0,289.456298828125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-75063272.0,0.0,0.0,-0.0,-0.0,225063264.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
18766800.0,4,0.3389438951036683,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,39748.83510867349,53732.374323760945,53732.374323760945,53732.374323760945,0.34325048427595545,-53732.374323760945,-53732.374323760945,-0.34325048427595545,156539.83544146415,0.0,0.0,0.3389438951036683,0.0,0.027099471702222377,0.027099471702222377,0.027099471702222377,0.0007343813665395514,0.06,1.0,-0.004306589172287163,-0.002138631436109373,-0.00216795773617779,5.0,1.0,0.026671745415000503,1.0,10109.356508527704,-10109.356508527704,0.0,10109.356508527704,0.0,53.916568045481085,0.28359,0.1875,-53.916568045481085,-33618.7428365598,1.0,2.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,80.0,0.85,0.5703,0.82,150.0,0.0,614.9999999999999,637.5,-22.500000000000114,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,53916568.045481086,0.0,0.0,-0.0,-607.398784766756,-607.398784766756,607.398784766756,-299999.99999999994,-59999.99999999997,59999.99999999997,0.0,0.0,-0.0,0.0,0.0,-0.0,555507.6159499997,104230.4166,-104230.4166,-215151.3820565599,10109.356508527704,-10109.356508527704,0.5,0.8770994544029236,0.5,0.5,8770995.0,289.5975341796875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-53916568.0,0.0,0.0,-2699550.25,-2699550.25,206616112.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
18770400.0,5,0.38568456723039385,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,57046.15107787459,62825.04832045488,62825.04832045488,62825.04832045488,0.40133585258525084,-62825.04832045488,-62825.04832045488,-0.40133585258525084,156539.83544146415,0.0,0.0,0.38568456723039385,0.0,0.029753670052356074,0.029753670052356074,0.029753670052356074,0.0008852808815844707,0.06,1.0,-0.015651285354856968,-0.013270991750668482,-0.002380293604188486,5.0,1.0,0.027099471702222377,1.0,10900.190275393035,-10900.190275393035,0.0,10900.190275393035,0.0,58.134348135429526,0.28359,0.1875,-58.134348135429526,-34627.54207586075,1.0,2.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,80.0,0.85,0.5703,0.82,150.0,0.0,737.9999999999999,765.0,-27.000000000000114,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,58134348.13542953,-931.827107913668,-931.827107913668,931.827107913668,-8276.617291791179,-7669.218507024423,7669.218507024423,-359999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,676033.5196099995,120525.90365999984,-120525.90365999984,-249778.92413242065,10900.190275393035,-10900.190275393035,0.5,0.8797536492347717,0.5,0.5,8797537.0,290.473876953125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-58134348.0,-2958181.25,-2958181.25,-33785464.0,-33785464.0,244878000.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
18774000.0,6,0.01799827730039602,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,81791.08465742817,8548.542933164234,8548.542933164234,7309.072051385083,0.04669145097011557,-8548.542933164234,-7309.072051385083,-0.04669145097011557,156539.83544146415,0.0,0.0,0.01799827730039602,1239.470881779151,0.034933370852657464,0.034933370852657464,0.034933370852657464,0.001220340399129298,0.06,1.0,-0.028693173669719546,-0.02589850400150695,-0.0027946696682125973,5.0,1.0,0.029753670052356074,1.0,-17239.41428744949,17239.41428744949,17239.41428744949,0.0,27.16708052295175,0.0,0.63457,0.1875,27.16708052295175,-1043.0236410601356,1.0,2.0,142.99338602223938,127.5,15.493386022239386,1239.470881779151,0.0,1239.470881779151,0.0,80.0,0.85,0.5703,0.82,150.0,27.167080522951753,860.9999999999999,892.5,-31.500000000000114,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,27167080.522951752,-3912.4275107913645,-2980.6004028776965,2980.6004028776965,-27105.643168299805,-18829.025876508626,18829.025876508626,-419999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,783631.1031099996,107597.58350000007,-107597.58350000007,-250821.9477734808,-17239.41428744949,17239.41428744949,0.5,0.884933352470398,0.5,0.5,8849334.0,292.1841125488281,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,27167080.0,-9133537.0,-9133537.0,-79930616.0,-79930616.0,211897072.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
18777600.0,7,-0.3368963664110913,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,97714.90486860299,-43649.8486851076,-43649.8486851076,-47383.917665200905,-0.3026955888357213,43649.8486851076,47383.917665200905,0.3026955888357213,156539.83544146415,0.0,0.0,-0.3368963664110913,3734.0689800933,0.04111567555879081,0.04111567555879081,0.04111567555879081,0.0016904987766557479,0.06,1.0,-0.034200777575369996,-0.03091152353066673,-0.0032892540447032647,5.0,1.0,0.034933370852657464,1.0,-51936.00194410409,51936.00194410409,51936.00194410409,0.0,81.84440163276565,0.0,0.63457,0.1875,81.84440163276565,7637.666952178319,1.0,2.0,174.17586225116625,127.5,46.67586225116625,3734.0689800933,0.0,3734.0689800933,0.0,80.0,0.85,0.5703,0.82,150.0,81.84440163276565,983.9999999999999,1020.0,-36.000000000000114,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,81844401.63276565,-8013.972258992804,-4101.54474820144,4101.54474820144,-56822.326296102015,-29716.68312780221,29716.68312780221,-479999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,885735.4842449997,102104.38113500015,-102104.38113500015,-243184.28082130247,-51936.00194410409,51936.00194410409,0.5,0.891115665435791,0.5,0.5,8911157.0,294.225341796875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,81844400.0,-12005940.0,-12005940.0,-123192968.0,-123192968.0,203354512.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
18781200.0,8,-0.45136395232923104,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,112928.19433443029,-60524.68719150424,-60524.68719150424,-65242.145487063215,-0.41677663262562703,60524.68719150424,65242.145487063215,0.41677663262562703,156539.83544146415,0.0,0.0,-0.45136395232923104,4717.4582955589685,0.04727671210581852,0.04727671210581852,0.04727671210581852,0.0022350875075364475,0.06,1.0,-0.03458731970360403,-0.030805182735138548,-0.0037821369684654816,5.0,1.0,0.04111567555879081,1.0,-65613.65751825474,65613.65751825474,65613.65751825474,0.0,103.39861247499054,0.0,0.63457,0.1875,103.39861247499054,10124.319139076804,1.0,2.0,186.4682286944871,127.5,58.96822869448711,4717.4582955589685,0.0,4717.4582955589685,0.0,80.0,0.85,0.5703,0.82,150.0,103.39861247499054,1106.9999999999998,1147.5,-40.50000000000023,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,103398612.47499055,-12554.74250719425,-4540.7702482014465,4540.7702482014465,-95586.84792615016,-38764.52163004815,38764.52163004815,-539999.9999999999,-59999.99999999994,59999.99999999994,0.0,0.0,-0.0,0.0,0.0,-0.0,994129.74645,108394.26220500027,-108394.26220500027,-233059.96168222566,-65613.65751825474,65613.65751825474,0.5,0.8972766995429993,0.5,0.5,8972767.0,296.2595520019531,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,103398616.0,-13081150.0,-13081150.0,-158598656.0,-158598656.0,218281200.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
18784800.0,9,-0.39815284611153995,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,135261.63668566814,-52402.42919056992,-52402.42919056992,-57043.21589201746,-0.36440063790247157,52402.42919056992,57043.21589201746,0.36440063790247157,156539.83544146415,0.0,0.0,-0.39815284611153995,4640.786701447542,0.053176332428771844,0.053176332428771844,0.053176332428771844,0.002827722330575252,0.06,1.0,-0.03375220820906837,-0.029498101614766625,-0.004254106594301747,5.0,1.0,0.04727671210581852,1.0,-64547.25620589091,64547.25620589091,64547.25620589091,0.0,101.71810234629893,0.0,0.63457,0.1875,101.71810234629893,10188.615335916867,1.0,2.0,185.50983376809427,127.5,58.00983376809428,4640.786701447542,0.0,4640.786701447542,0.0,80.0,0.85,0.5703,0.82,150.0,101.71810234629893,1229.9999999999998,1275.0,-45.00000000000023,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,101718102.34629893,-17689.162251798567,-5134.419744604316,5134.419744604316,-141474.28601622477,-45887.438090074604,45887.438090074604,-599999.9999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1117296.4312999998,123166.68484999985,-123166.68484999985,-222871.3463463088,-64547.25620589091,64547.25620589091,0.5,0.9031763076782227,0.5,0.5,9031763.0,298.20745849609375,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,101718104.0,-14846284.0,-14846284.0,-186322096.0,-186322096.0,249450272.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
