time,step,reward,terminated,truncated,fmu_status,fmu_error,failure_type,transition_valid,requested_u_tp,requested_u_battery,requested_caes_mode,requested_u_caes,decoded_u_tp,decoded_u_battery,decoded_u_caes,rt_economic_cashflow_total,rt_economic_cashflow_delta,rt_cashflow_delta,rt_generalized_cashflow_delta,rt_economic_reward,rt_raw_total_cost,rt_raw_generalized_cost,rt_normalized_cost,rt_cost_reference,rt_cost_reference_missing,rt_terminal_soc_bonus,rt_reward,rt_external_cost_cny,rt_terminal_soc_l1_error,rt_terminal_soc_l1_full,rt_terminal_soc_l1_energy,rt_terminal_soc_l2_error,rt_terminal_soc_tolerance,rt_terminal_soc_satisfied,rt_soc_shaping_reward,rt_soc_shaping_potential,rt_soc_shaping_absolute,rt_soc_shaping_coef,rt_soc_recovery_scale,rt_soc_l1_prev,rt_market_settlement_enabled,rt_market_grid_cashflow,rt_market_grid_cost,rt_market_buy_cost,rt_market_sell_revenue,rt_market_energy_buy_mwh,rt_market_energy_sell_mwh,rt_market_buy_yuan_per_kwh,rt_market_sell_yuan_per_kwh,rt_p_grid_mw,rt_fmu_grid_cashflow_delta,rt_carbon_enabled,rt_carbon_mode,rt_carbon_mass_t,rt_carbon_mass_thermal_t,rt_carbon_mass_grid_t,rt_carbon_cost_cny,rt_carbon_thermal_step_cny,rt_carbon_grid_step_cny,rt_carbon_settlement_cny,rt_carbon_price_cny_per_t,rt_carbon_eta_thermal,rt_carbon_eta_grid,rt_carbon_beta_t_per_mwh,rt_carbon_e_thermal_mwh,rt_carbon_e_grid_buy_mwh,rt_carbon_allowance_t,rt_carbon_emissions_t,rt_carbon_position_t,rt_curtailment_enabled,rt_curtailment_energy_mwh,rt_unserved_energy_mwh,rt_curtailment_cost_cny,rt_unserved_cost_cny,rt_cut_total_cost_cny,rt_nu_curt_cny_per_mwh,rt_nu_uns_cny_per_mwh,rt_battery_deg_enabled,rt_battery_deg_mode,rt_battery_deg_cost_cny,rt_battery_discharge_mwh,rt_battery_deg_delta_mwh,rt_battery_deg_delta_prev_mwh,rt_battery_deg_delta_offset_mwh,rt_battery_deg_a0,rt_battery_deg_power_exp,rt_battery_deg_e_life_mwh,rt_battery_deg_capex_total_cny,rt_battery_deg_marginal_cny_per_mwh,rt_c_lin_cny_per_mwh,rt_battery_deg_capex_cny_per_kwh,rt_battery_deg_n_cycles,rt_battery_deg_dod_eq,rt_battery_deg_e_cap_mwh,rt_caes_startup_enabled,rt_caes_startup_cost_cny,rt_caes_startup_events,rt_caes_startup_c_su_cny,rt_caes_startup_c_su_usd_ref,rt_caes_startup_p_ref_w,rt_caes_startup_usd_cny,rt_caes_mode,rt_caes_mode_prev,rt_caes_mode_idle,rt_grid_contract_enabled,rt_grid_contract_cost_cny,rt_grid_contract_excess_mwh,rt_grid_contract_p_lim_w,rt_grid_contract_nu_cny_per_mwh,rt_grid_contract_p_abs_w,rt_economic_cashflow_wind,rt_economic_cashflow_delta_wind,rt_raw_wind_cost,rt_economic_cashflow_pv,rt_economic_cashflow_delta_pv,rt_raw_pv_cost,rt_economic_cashflow_thermal,rt_economic_cashflow_delta_thermal,rt_raw_thermal_cost,rt_economic_cashflow_battery,rt_economic_cashflow_delta_battery,rt_raw_battery_cost,rt_economic_cashflow_caes,rt_economic_cashflow_delta_caes,rt_raw_caes_cost,rt_economic_cashflow_load,rt_economic_cashflow_delta_load,rt_raw_load_cost,rt_economic_cashflow_grid,rt_economic_cashflow_delta_grid,rt_raw_grid_cost,obs_battery_soc,obs_caes_gas_soc,obs_caes_hot_soc,obs_caes_cold_soc,obs_caes_gas_pressure,obs_caes_gas_temperature,obs_caes_hot_temperature,obs_caes_cold_temperature,obs_p_thermal,obs_p_battery,obs_p_caes,obs_p_grid,obs_p_wind_available,obs_p_wind_actual,obs_p_pv_available,obs_p_pv_actual,obs_p_load_actual,obs_p_curtailment,obs_p_unserved,u_tp_dynamic_low,u_tp_dynamic_high,u_battery_dynamic_low,u_battery_dynamic_high,caes_discharge_allowed,caes_idle_allowed,caes_charge_allowed,caes_locked_mode,caes_locked_steps_completed,caes_locked_steps_remaining
10890000.0,0,0.4770433301993705,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,4921.084660000014,84292.54296250001,84292.54296250001,84292.54296250001,0.5384734353705132,-84292.54296250001,-84292.54296250001,-0.5384734353705132,156539.83544146415,0.0,0.0,0.4770433301993705,0.0,0.012092540388020212,0.012092540388020212,0.012092540388020212,0.00014622953303590003,0.06,1.0,-0.061430105171142675,-0.06046270194010106,-0.000967403231041617,5.0,1.0,0.0,1.0,18897.966262500002,-18897.966262500002,0.0,18897.966262500002,0.0,100.7891534,0.63457,0.1875,-100.7891534,-60473.49203999999,1.0,2.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,80.0,0.85,0.5703,0.82,150.0,0.0,122.99999999999999,127.5,-4.500000000000014,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,100789153.4,0.0,0.0,-0.0,0.0,0.0,-0.0,-59999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,125394.57670000002,125394.57670000002,-125394.57670000002,-60473.49203999999,18897.966262500002,-18897.966262500002,0.5,0.8379074335098267,0.5,0.5,8379074.5,276.65728759765625,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-100789152.0,0.0,0.0,-0.0,-0.0,250789152.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
10893600.0,1,0.5249924228857906,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,9214.84692800002,88736.07657250001,88736.07657250001,88736.07657250001,0.5668593960269085,-88736.07657250001,-88736.07657250001,-0.5668593960269085,156539.83544146415,0.0,0.0,0.5249924228857906,0.0,0.02014363682701159,0.02014363682701159,0.02014363682701159,0.0004057661046185376,0.06,1.0,-0.04186697314111782,-0.04025548219495689,-0.0016114909461609273,5.0,1.0,0.012092540388020212,1.0,20204.8879125,-20204.8879125,0.0,20204.8879125,0.0,107.75940219999998,0.63457,0.1875,-107.75940219999998,-64237.426392,1.0,2.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,80.0,0.85,0.5703,0.82,150.0,0.0,245.99999999999997,255.0,-9.000000000000028,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,107759402.19999999,0.0,0.0,-0.0,0.0,0.0,-0.0,-119999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,253925.76535999996,128531.18865999994,-128531.18865999994,-124710.91843199999,20204.8879125,-20204.8879125,0.5,0.8298563361167908,0.5,0.5,8298563.5,273.9989929199219,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-107759400.0,0.0,0.0,-0.0,-0.0,257759408.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
10897200.0,2,0.44356668551319123,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,15557.15056900003,74080.36166375011,74080.36166375011,74080.36166375011,0.4732364861304036,-74080.36166375011,-74080.36166375011,-0.4732364861304036,156539.83544146415,0.0,0.0,0.44356668551319123,0.0,0.025666926132336676,0.025666926132336676,0.025666926132336676,0.0006587910970828274,0.06,1.0,-0.02966980061721236,-0.027616446526625427,-0.002053354090586934,5.0,1.0,0.02014363682701159,1.0,15791.879868750002,-15791.879868750002,0.0,15791.879868750002,0.0,84.22335930000001,0.63457,0.1875,-84.22335930000001,-51946.178154000096,1.0,2.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,80.0,0.85,0.5703,0.82,150.0,0.0,368.99999999999994,382.5,-13.500000000000057,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,84223359.30000001,0.0,0.0,-0.0,0.0,0.0,-0.0,-179999.99999999997,-59999.999999999985,59999.999999999985,0.0,0.0,-0.0,0.0,0.0,-0.0,372214.2471550002,118288.48179500026,-118288.48179500026,-176657.0965860001,15791.879868750002,-15791.879868750002,0.5,0.8243330717086792,0.5,0.5,8243330.5,272.1753234863281,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-84223360.0,0.0,0.0,-0.0,-0.0,234223360.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
10900800.0,3,0.4261789903436771,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,22486.795963000037,70410.3584737499,70410.3584737499,70410.3584737499,0.4497919540747113,-70410.3584737499,-70410.3584737499,-0.4497919540747113,156539.83544146415,0.0,0.0,0.4261789903436771,0.0,0.029910943778094,0.029910943778094,0.029910943778094,0.0008946645576963003,0.06,1.0,-0.023612963731034147,-0.021220088228786627,-0.00239287550224752,5.0,1.0,0.025666926132336676,1.0,15058.585443749998,-15058.585443749998,0.0,15058.585443749998,0.0,80.31245569999999,0.63457,0.1875,-80.31245569999999,-48422.1276359999,1.0,2.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,80.0,0.85,0.5703,0.82,150.0,0.0,491.99999999999994,510.0,-18.000000000000057,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,80312455.69999999,0.0,0.0,-0.0,0.0,0.0,-0.0,-239999.99999999997,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,487566.0201850004,115351.77303000016,-115351.77303000016,-225079.224222,15058.585443749998,-15058.585443749998,0.5,0.8200890421867371,0.5,0.5,8200890.5,270.7740478515625,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-80312456.0,0.0,0.0,-0.0,-0.0,230312448.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
10904400.0,4,0.5222530780188266,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,27448.833452000035,84429.05829249987,84429.05829249987,84429.05829249987,0.5393455158196517,-84429.05829249987,-84429.05829249987,-0.5393455158196517,156539.83544146415,0.0,0.0,0.5222530780188266,0.0,0.032804558403798256,0.032804558403798256,0.032804558403798256,0.001076139052068211,0.06,1.0,-0.017092437800825137,-0.014468073128521275,-0.0026243646723038607,5.0,1.0,0.029910943778094,1.0,19239.245737499998,-19239.245737499998,0.0,19239.245737499998,0.0,102.60931059999999,0.63457,0.1875,-102.60931059999999,-60227.775065999886,1.0,2.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,80.0,0.85,0.5703,0.82,150.0,0.0,614.9999999999999,637.5,-22.500000000000114,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,102609310.6,0.0,0.0,-0.0,0.0,0.0,-0.0,-299999.99999999994,-59999.99999999997,59999.99999999997,0.0,0.0,-0.0,0.0,0.0,-0.0,612755.8327400007,125189.8125550003,-125189.8125550003,-285306.9992879999,19239.245737499998,-19239.245737499998,0.5,0.8171954154968262,0.5,0.5,8171954.5,269.8186340332031,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-102609312.0,0.0,0.0,-0.0,-0.0,252609312.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
10908000.0,5,0.5828549671123529,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,32208.501683291746,92686.27526313004,92686.27526313004,92686.27526313004,0.5920938590598478,-92686.27526313004,-92686.27526313004,-0.5920938590598478,156539.83544146415,0.0,0.0,0.5828549671123529,0.0,0.03410663070206421,0.03410663070206421,0.03410663070206421,0.001163262257846989,0.06,1.0,-0.009238891947494911,-0.006510361491329775,-0.0027285304561651368,5.0,1.0,0.032804558403798256,1.0,21074.75474119542,-21074.75474119542,0.0,21074.75474119542,0.0,112.39869195304223,0.63457,0.1875,-112.39869195304223,-66851.85229064291,1.0,2.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,80.0,0.85,0.5703,0.82,150.0,0.0,737.9999999999999,765.0,-27.000000000000114,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,112398691.95304224,0.0,0.0,-0.0,-901.6436130654971,-901.6436130654971,901.6436130654971,-359999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,745268.996875001,132513.16413500032,-132513.16413500032,-352158.8515786428,21074.75474119542,-21074.75474119542,0.5,0.8158933520317078,0.5,0.5,8158933.5,269.38873291015625,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-112398688.0,0.0,0.0,-4007305.0,-4007305.0,266406000.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
10911600.0,6,0.47608215258057945,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,50945.81488501221,71764.86447813021,71764.86447813021,71764.86447813021,0.45844474204117625,-71764.86447813021,-71764.86447813021,-0.45844474204117625,156539.83544146415,0.0,0.0,0.47608215258057945,0.0,0.030097587198999576,0.030097587198999576,0.030097587198999576,0.0009058647552013831,0.06,1.0,0.017637410539403212,0.020045217515323177,-0.002407806975919966,5.0,1.0,0.03410663070206421,1.0,11928.770556501802,-11928.770556501802,0.0,11928.770556501802,0.0,63.620109634676275,0.63457,0.1875,-63.620109634676275,-41098.780719907954,1.0,2.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,80.0,0.85,0.5703,0.82,150.0,0.0,860.9999999999999,892.5,-31.500000000000114,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,63620109.63467628,0.0,0.0,-0.0,-11488.753601437278,-10587.109988371782,10587.109988371782,-419999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,875692.200785001,130423.20391000004,-130423.20391000004,-393257.63229855074,11928.770556501802,-11928.770556501802,0.5,0.8199024200439453,0.5,0.5,8199024.0,270.7124328613281,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-63620108.0,0.0,0.0,-46608568.0,-46608568.0,260228672.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
10915200.0,7,0.1742377441467234,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,83629.28126273675,22879.01244690638,22879.01244690638,22021.297334414838,0.14067535763220723,-22879.01244690638,-22021.297334414838,-0.14067535763220723,156539.83544146415,0.0,0.0,0.1742377441467234,857.7151124915424,0.023016840448913722,0.023016840448913722,0.023016840448913722,0.0005297749442507508,0.06,1.0,0.03356238651451617,0.03540373375042927,-0.0018413472359130978,5.0,1.0,0.030097587198999576,1.0,-11929.692243857577,11929.692243857577,11929.692243857577,0.0,18.79964738934645,0.0,0.63457,0.1875,18.79964738934645,-2125.2383130394155,1.0,2.0,138.22143890614427,127.5,10.72143890614428,857.7151124915424,0.0,857.7151124915424,0.0,80.0,0.85,0.5703,0.82,150.0,18.79964738934645,983.9999999999999,1020.0,-36.000000000000114,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,18799647.38934645,0.0,0.0,-0.0,-36576.294135673306,-25087.540534236028,25087.540534236028,-479999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,995588.4460100012,119896.2452250002,-119896.2452250002,-395382.87061159016,-11929.692243857577,11929.692243857577,0.5,0.8269831538200378,0.5,0.5,8269831.5,273.0503234863281,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,18799648.0,0.0,0.0,-106321448.0,-106321448.0,237521808.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
10918800.0,8,-0.15362339040735354,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,109628.66750374343,-26230.360435548944,-26230.360435548944,-29507.273378737686,-0.18849689790156648,26230.360435548944,29507.273378737686,0.18849689790156648,156539.83544146415,0.0,0.0,-0.15362339040735354,3276.9129431887404,0.015789506840621192,0.015789506840621192,0.015789506840621192,0.00024930852627002344,0.06,1.0,0.03487350749421295,0.03613666804146265,-0.0012631605472496954,5.0,1.0,0.023016840448913722,1.0,-45577.56107222687,45577.56107222687,45577.56107222687,0.0,71.82432367150491,0.0,0.63457,0.1875,71.82432367150491,6652.185604328755,1.0,2.0,168.46141178985926,127.5,40.961411789859255,3276.9129431887404,0.0,3276.9129431887404,0.0,80.0,0.85,0.5703,0.82,150.0,71.82432367150491,1106.9999999999998,1147.5,-40.50000000000023,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,71824323.67150491,0.0,0.0,-0.0,-74184.42279399557,-37608.12865832227,37608.12865832227,-539999.9999999999,-59999.99999999994,59999.99999999994,0.0,0.0,-0.0,0.0,0.0,-0.0,1112543.7753050013,116955.32929500006,-116955.32929500006,-388730.6850072614,-45577.56107222687,45577.56107222687,0.5,0.8342105150222778,0.5,0.5,8342105.0,275.43658447265625,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,71824320.0,0.0,0.0,-155333744.0,-155333744.0,233509424.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
10922400.0,9,-0.223922107453557,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,137921.1347234352,-35999.2940309368,-35999.2940309368,-40002.32781078801,-0.2555408832389268,35999.2940309368,40002.32781078801,0.2555408832389268,156539.83544146415,0.0,0.0,-0.223922107453557,4003.033779851212,0.009316684727900815,0.009316684727900815,0.009316684727900815,8.680061431910028e-05,0.06,1.0,0.031618775785369826,0.03236411056360189,-0.0007453347782320652,5.0,1.0,0.015789506840621192,1.0,-55676.94953708975,55676.94953708975,55676.94953708975,0.0,87.73964974248665,0.0,0.63457,0.1875,87.73964974248665,8614.811713538831,1.0,2.0,177.53792224814015,127.5,50.03792224814015,4003.033779851212,0.0,4003.033779851212,0.0,80.0,0.85,0.5703,0.82,150.0,87.73964974248666,1229.9999999999998,1275.0,-45.00000000000023,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,87739649.74248666,0.0,0.0,-0.0,-121936.13686784274,-47751.714073847164,47751.714073847164,-599999.9999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1239973.144885002,127429.36958000064,-127429.36958000064,-380115.8732937226,-55676.94953708975,55676.94953708975,0.5,0.8406833410263062,0.5,0.5,8406833.0,277.5737609863281,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,87739648.0,0.0,0.0,-194970528.0,-194970528.0,257230880.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
