time,step,reward,terminated,truncated,fmu_status,fmu_error,failure_type,transition_valid,requested_u_tp,requested_u_battery,requested_caes_mode,requested_u_caes,decoded_u_tp,decoded_u_battery,decoded_u_caes,rt_economic_cashflow_total,rt_economic_cashflow_delta,rt_cashflow_delta,rt_generalized_cashflow_delta,rt_economic_reward,rt_raw_total_cost,rt_raw_generalized_cost,rt_normalized_cost,rt_cost_reference,rt_cost_reference_missing,rt_terminal_soc_bonus,rt_reward,rt_external_cost_cny,rt_terminal_soc_l1_error,rt_terminal_soc_l1_full,rt_terminal_soc_l1_energy,rt_terminal_soc_l2_error,rt_terminal_soc_tolerance,rt_terminal_soc_satisfied,rt_soc_shaping_reward,rt_soc_shaping_potential,rt_soc_shaping_absolute,rt_soc_shaping_coef,rt_soc_recovery_scale,rt_soc_l1_prev,rt_market_settlement_enabled,rt_market_grid_cashflow,rt_market_grid_cost,rt_market_buy_cost,rt_market_sell_revenue,rt_market_energy_buy_mwh,rt_market_energy_sell_mwh,rt_market_buy_yuan_per_kwh,rt_market_sell_yuan_per_kwh,rt_p_grid_mw,rt_fmu_grid_cashflow_delta,rt_carbon_enabled,rt_carbon_mode,rt_carbon_mass_t,rt_carbon_mass_thermal_t,rt_carbon_mass_grid_t,rt_carbon_cost_cny,rt_carbon_thermal_step_cny,rt_carbon_grid_step_cny,rt_carbon_settlement_cny,rt_carbon_price_cny_per_t,rt_carbon_eta_thermal,rt_carbon_eta_grid,rt_carbon_beta_t_per_mwh,rt_carbon_e_thermal_mwh,rt_carbon_e_grid_buy_mwh,rt_carbon_allowance_t,rt_carbon_emissions_t,rt_carbon_position_t,rt_curtailment_enabled,rt_curtailment_energy_mwh,rt_unserved_energy_mwh,rt_curtailment_cost_cny,rt_unserved_cost_cny,rt_cut_total_cost_cny,rt_nu_curt_cny_per_mwh,rt_nu_uns_cny_per_mwh,rt_battery_deg_enabled,rt_battery_deg_mode,rt_battery_deg_cost_cny,rt_battery_discharge_mwh,rt_battery_deg_delta_mwh,rt_battery_deg_delta_prev_mwh,rt_battery_deg_delta_offset_mwh,rt_battery_deg_a0,rt_battery_deg_power_exp,rt_battery_deg_e_life_mwh,rt_battery_deg_capex_total_cny,rt_battery_deg_marginal_cny_per_mwh,rt_c_lin_cny_per_mwh,rt_battery_deg_capex_cny_per_kwh,rt_battery_deg_n_cycles,rt_battery_deg_dod_eq,rt_battery_deg_e_cap_mwh,rt_caes_startup_enabled,rt_caes_startup_cost_cny,rt_caes_startup_events,rt_caes_startup_c_su_cny,rt_caes_startup_c_su_usd_ref,rt_caes_startup_p_ref_w,rt_caes_startup_usd_cny,rt_caes_mode,rt_caes_mode_prev,rt_caes_mode_idle,rt_grid_contract_enabled,rt_grid_contract_cost_cny,rt_grid_contract_excess_mwh,rt_grid_contract_p_lim_w,rt_grid_contract_nu_cny_per_mwh,rt_grid_contract_p_abs_w,rt_economic_cashflow_wind,rt_economic_cashflow_delta_wind,rt_raw_wind_cost,rt_economic_cashflow_pv,rt_economic_cashflow_delta_pv,rt_raw_pv_cost,rt_economic_cashflow_thermal,rt_economic_cashflow_delta_thermal,rt_raw_thermal_cost,rt_economic_cashflow_battery,rt_economic_cashflow_delta_battery,rt_raw_battery_cost,rt_economic_cashflow_caes,rt_economic_cashflow_delta_caes,rt_raw_caes_cost,rt_economic_cashflow_load,rt_economic_cashflow_delta_load,rt_raw_load_cost,rt_economic_cashflow_grid,rt_economic_cashflow_delta_grid,rt_raw_grid_cost,obs_battery_soc,obs_caes_gas_soc,obs_caes_hot_soc,obs_caes_cold_soc,obs_caes_gas_pressure,obs_caes_gas_temperature,obs_caes_hot_temperature,obs_caes_cold_temperature,obs_p_thermal,obs_p_battery,obs_p_caes,obs_p_grid,obs_p_wind_available,obs_p_wind_actual,obs_p_pv_available,obs_p_pv_actual,obs_p_load_actual,obs_p_curtailment,obs_p_unserved,u_tp_dynamic_low,u_tp_dynamic_high,u_battery_dynamic_low,u_battery_dynamic_high,caes_discharge_allowed,caes_idle_allowed,caes_charge_allowed,caes_locked_mode,caes_locked_steps_completed,caes_locked_steps_remaining
3027600.0,0,0.2182178796493232,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,11306.215810359712,52165.625116726624,52165.625116726624,52165.625116726624,0.33324185482635965,-52165.625116726624,-52165.625116726624,-0.33324185482635965,156539.83544146415,0.0,0.0,0.2182178796493232,0.0,0.02264251479862922,0.02264251479862922,0.02264251479862922,0.0005126834764061433,0.06,1.0,-0.11502397517703644,-0.1132125739931461,-0.0018114011838903377,5.0,1.0,0.0,1.0,9728.430787230216,-9728.430787230216,0.0,9728.430787230216,0.0,51.88496419856116,0.63457,0.1875,-51.88496419856116,-31130.978519136694,1.0,2.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,80.0,0.85,0.5703,0.82,150.0,0.0,122.99999999999999,127.5,-4.500000000000014,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,51884964.19856116,-3487.661870503597,-3487.661870503597,3487.661870503597,0.0,0.0,-0.0,-59999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,105924.85619999998,105924.85619999998,-105924.85619999998,-31130.978519136694,9728.430787230216,-9728.430787230216,0.5,0.8273574709892273,0.5,0.5,8273575.0,273.1738586425781,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-51884964.0,-9964748.0,-9964748.0,-0.0,-0.0,211849712.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
3031200.0,1,0.3341877933268246,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,21050.346362078108,63539.02587245888,63539.02587245888,63539.02587245888,0.40589684851315944,-63539.02587245888,-63539.02587245888,-0.40589684851315944,156539.83544146415,0.0,0.0,0.3341877933268246,0.0,0.03640189550777184,0.03640189550777184,0.03640189550777184,0.0013250979965587397,0.06,1.0,-0.07170905518633486,-0.0687969035457131,-0.0029121516406217475,5.0,1.0,0.02264251479862922,1.0,13062.318935264646,-13062.318935264646,0.0,13062.318935264646,0.0,69.66570098807811,0.63457,0.1875,-69.66570098807811,-40732.57638547584,1.0,2.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,80.0,0.85,0.5703,0.82,150.0,0.0,245.99999999999997,255.0,-9.000000000000028,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,69665700.98807812,-7064.4128633093505,-3576.7509928057534,3576.7509928057534,0.0,0.0,-0.0,-119999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,219978.31413000004,114053.45793000006,-114053.45793000006,-71863.55490461254,13062.318935264646,-13062.318935264646,0.5,0.813598096370697,0.5,0.5,8135981.0,268.63079833984375,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-69665704.0,-10247571.0,-10247571.0,-0.0,-0.0,229913264.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
3034800.0,2,0.4323900588172896,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,29050.00573062591,75097.79369967492,75097.79369967492,75097.79369967492,0.479735994917132,-75097.79369967492,-75097.79369967492,-0.479735994917132,156539.83544146415,0.0,0.0,0.4323900588172896,0.0,0.04514870347218536,0.04514870347218536,0.04514870347218536,0.002038405425219322,0.06,1.0,-0.04734593609984241,-0.04373403982206758,-0.0036118962777748286,5.0,1.0,0.03640189550777184,1.0,16216.028936041877,-16216.028936041877,0.0,16216.028936041877,0.0,86.48548765889001,0.28359,0.1875,-86.48548765889001,-50882.10539508524,1.0,2.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,80.0,0.85,0.5703,0.82,150.0,0.0,368.99999999999994,382.5,-13.500000000000057,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,86485487.65889001,-10517.77015467626,-3453.3572913669095,3453.3572913669095,0.0,0.0,-0.0,-179999.99999999997,-59999.999999999985,59999.999999999985,0.0,0.0,-0.0,0.0,0.0,-0.0,342313.4361850001,122335.12205500007,-122335.12205500007,-122745.66029969777,16216.028936041877,-16216.028936041877,0.5,0.8048512935638428,0.5,0.5,8048513.0,265.7427978515625,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-86485488.0,-9824420.0,-9824420.0,-0.0,-0.0,246309904.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
3038400.0,3,0.3341674789556958,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,39321.644475097666,57552.83071016954,57552.83071016954,57552.83071016954,0.3676561339665558,-57552.83071016954,-57552.83071016954,-0.3676561339665558,156539.83544146415,0.0,0.0,0.3341674789556958,0.0,0.051029955191296605,0.051029955191296605,0.051029955191296605,0.002604056326825739,0.06,1.0,-0.033488655010859965,-0.029406258595556234,-0.004082396415303728,5.0,1.0,0.04514870347218536,1.0,10848.469769630012,-10848.469769630012,0.0,10848.469769630012,0.0,57.858505438026725,0.28359,0.1875,-57.858505438026725,-36432.72219606777,1.0,2.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,80.0,0.85,0.5703,0.82,150.0,0.0,491.99999999999994,510.0,-18.000000000000057,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,57858505.438026726,-13653.208079136697,-3135.437924460437,3135.437924460437,0.0,0.0,-0.0,-239999.99999999997,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,452153.2350500002,109839.79886500008,-109839.79886500008,-159178.38249576555,10848.469769630012,-10848.469769630012,0.5,0.7989700436592102,0.5,0.5,7989700.5,263.80096435546875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-57858504.0,-8862169.0,-8862169.0,-0.0,-0.0,216720672.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
3042000.0,4,0.3736182858984989,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,48094.090919391616,62432.96403501804,62432.96403501804,62432.96403501804,0.39883115923144025,-62432.96403501804,-62432.96403501804,-0.39883115923144025,156539.83544146415,0.0,0.0,0.3736182858984989,0.0,0.05518949789161898,0.05518949789161898,0.05518949789161898,0.0030458806775290155,0.06,1.0,-0.025212873332941376,-0.02079771350161186,-0.004415159831329518,5.0,1.0,0.051029955191296605,1.0,12935.311150629495,-12935.311150629495,0.0,12935.311150629495,0.0,68.98832613669065,0.28359,0.1875,-68.98832613669065,-40725.2064400946,1.0,2.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,80.0,0.85,0.5703,0.82,150.0,0.0,614.9999999999999,637.5,-22.500000000000114,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,68988326.13669065,-14959.830064748203,-1306.6219856115058,1306.6219856115058,0.0,0.0,-0.0,-299999.99999999994,-59999.99999999997,59999.99999999997,0.0,0.0,-0.0,0.0,0.0,-0.0,562957.5099200002,110804.27487000002,-110804.27487000002,-199903.58893586014,12935.311150629495,-12935.311150629495,0.5,0.7948104739189148,0.5,0.5,7948105.0,262.4275817871094,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-68988328.0,-3163320.75,-3163320.75,-0.0,-0.0,222151648.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
3045600.0,5,0.32279744159604623,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,57505.53621897437,53531.89165478409,53531.89165478409,53531.89165478409,0.3419697708498076,-53531.89165478409,-53531.89165478409,-0.3419697708498076,156539.83544146415,0.0,0.0,0.32279744159604623,0.0,0.058094452502333915,0.058094452502333915,0.058094452502333915,0.003374965411545931,0.06,1.0,-0.019172329253761403,-0.014524773053574691,-0.004647556200186713,5.0,1.0,0.05518949789161898,1.0,10304.419275000002,-10304.419275000002,0.0,10304.419275000002,0.0,54.95690280000001,0.28359,0.1875,-54.95690280000001,-33816.02708020134,1.0,2.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,80.0,0.85,0.5703,0.82,150.0,0.0,737.9999999999999,765.0,-27.000000000000114,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,54956902.80000001,-15070.54629496403,-110.71623021582673,110.71623021582673,0.0,0.0,-0.0,-359999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,666295.6985300002,103338.18860999995,-103338.18860999995,-233719.61601606148,10304.419275000002,-10304.419275000002,0.5,0.7919055223464966,0.5,0.5,7919055.5,261.4684143066406,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-54956904.0,0.0,0.0,-0.0,-0.0,204956896.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
3049200.0,6,0.44781990771871627,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,64237.78676397439,72418.28983125012,72418.28983125012,72418.28983125012,0.4626189214203557,-72418.28983125012,-72418.28983125012,-0.4626189214203557,156539.83544146415,0.0,0.0,0.44781990771871627,0.0,0.0600927709081317,0.0600927709081317,0.0600927709081317,0.0036111411154171992,0.06,0.0,-0.014799013701639451,-0.009991592028988916,-0.004807421672650536,5.0,1.0,0.058094452502333915,1.0,16079.542556250002,-16079.542556250002,0.0,16079.542556250002,0.0,85.75756030000001,0.63457,0.1875,-85.75756030000001,-49606.4967300001,1.0,2.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,80.0,0.85,0.5703,0.82,150.0,0.0,860.9999999999999,892.5,-31.500000000000114,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,85757560.30000001,-15070.54629496403,0.0,-0.0,0.0,0.0,-0.0,-419999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,782634.4458050004,116338.7472750002,-116338.7472750002,-283326.1127460616,16079.542556250002,-16079.542556250002,0.5,0.7899072170257568,0.5,0.5,7899072.5,260.8086242675781,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-85757560.0,0.0,0.0,-0.0,-0.0,235757568.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
3052800.0,7,0.4431612686746102,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,73220.6724290731,70776.27184362097,70776.27184362097,70776.27184362097,0.4521294636858536,-70776.27184362097,-70776.27184362097,-0.4521294636858536,156539.83544146415,0.0,0.0,0.4431612686746102,0.0,0.060911820777933445,0.060911820777933445,0.060911820777933445,0.0037102499104830844,0.06,0.0,-0.00896819501124341,-0.004095249349008734,-0.004872945662234676,5.0,1.0,0.0600927709081317,1.0,14599.98261869123,-14599.98261869123,0.0,14599.98261869123,0.0,77.86657396635323,0.98555,0.1875,-77.86657396635323,-47193.40355983103,1.0,2.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,80.0,0.85,0.5703,0.82,150.0,0.0,983.9999999999999,1020.0,-36.000000000000114,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,77866573.96635324,-15070.54629496403,0.0,-0.0,-1848.452925070522,-1848.452925070522,1848.452925070522,-479999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,900659.1879550006,118024.74215000018,-118024.74215000018,-330519.5163058926,14599.98261869123,-14599.98261869123,0.5,0.7890881896018982,0.5,0.5,7890882.0,260.5382080078125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-77866576.0,0.0,0.0,-8215346.5,-8215346.5,236081920.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
3056400.0,8,0.33508051765857544,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,97524.96237180092,50772.59688570396,50772.59688570396,50772.59688570396,0.32434298108540977,-50772.59688570396,-50772.59688570396,-0.32434298108540977,156539.83544146415,0.0,0.0,0.33508051765857544,0.0,0.057838891204035736,0.057838891204035736,0.057838891204035736,0.0033453373357122825,0.06,1.0,0.010737536573165687,0.015364647869488546,-0.004627111296322859,5.0,1.0,0.060911820777933445,1.0,5617.606315720366,-5617.606315720366,0.0,5617.606315720366,0.0,29.960567017175286,0.98555,0.1875,-29.960567017175286,-20850.700627255777,1.0,2.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,80.0,0.85,0.5703,0.82,150.0,0.0,1106.9999999999998,1147.5,-40.50000000000023,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,29960567.017175287,-17652.31280935252,-2581.7665143884897,2581.7665143884897,-13521.388275698324,-11672.935350627802,11672.935350627802,-539999.9999999999,-59999.99999999994,59999.99999999994,0.0,0.0,-0.0,0.0,0.0,-0.0,1020068.8803900006,119409.69243500009,-119409.69243500009,-351370.2169331484,5617.606315720366,-5617.606315720366,0.5,0.7921611070632935,0.5,0.5,7921611.0,261.55279541015625,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-29960568.0,-8196084.0,-8196084.0,-50966896.0,-50966896.0,239123552.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
3060000.0,9,0.24289244099386617,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,133900.9899882098,34428.14609443936,34428.14609443936,34192.302213056166,0.2184255663526738,-34428.14609443936,-34192.302213056166,-0.2184255663526738,156539.83544146415,0.0,0.0,0.24289244099386617,235.84388138319795,0.05211172861791069,0.05211172861791069,0.05211172861791069,0.002715632259546772,0.06,1.0,0.02446687464119237,0.028635812930625226,-0.004168938289432856,5.0,1.0,0.057838891204035736,1.0,-3280.279059471679,3280.279059471679,3280.279059471679,0.0,5.169294261423766,0.0,0.63457,0.1875,5.169294261423766,-1332.3975375021691,1.0,2.0,130.44804851728998,127.5,2.9480485172899744,235.84388138319795,0.0,235.84388138319795,0.0,80.0,0.85,0.5703,0.82,150.0,5.169294261423767,1229.9999999999998,1275.0,-45.00000000000023,1.0,0.0,0.0,0.0,0.0,0.0,300.0,1000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00010178796376597282,2.03,1600000.0,400000000.0,0.0,250.0,1000.0,5000.0,0.8,400.0,1.0,0.0,0.0,4617.0,3.42,800000.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,200000000.0,600.0,5169294.261423767,-20989.89138129496,-3337.578571942442,3337.578571942442,-35627.57667984469,-22106.18840414637,22106.18840414637,-599999.9999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1143221.0725200013,123152.19213000068,-123152.19213000068,-352702.61447065056,-3280.279059471679,3280.279059471679,0.5,0.7978882789611816,0.5,0.5,7978882.5,263.4437561035156,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,5169294.5,-9684812.0,-9684812.0,-92586736.0,-92586736.0,247102256.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
